h,h_lat,h_lon,radius_squared,radius,K_delta_1,K_delta_1_minimum,K_delta_1_maximum,K_delta_1_stationarity_span,K_delta_M,K_delta_M_minimum,K_delta_M_maximum,K_delta_M_stationarity_span,placement_count,delta_K_delta,absolute_delta_K_delta,opposite_lag_error_1,opposite_lag_error_M,opposite_lag_error_delta
"(0,0)",0,0,0,0,7.8693868077473326,7.8693868077473326,7.8693868077473326,0,7.8693868077473352,7.8693868077473326,7.8693868077473361,3.5527136788005009e-15,25,-2.6645352591003757e-15,2.6645352591003757e-15,0,0,0
"(0,1)",0,1,1,1,0.81915091639368831,0.81915091639368764,0.81915091639368853,8.8817841970012523e-16,2.8949856204602491,2.8949856204602495,2.8949856204602504,8.8817841970012523e-16,20,-2.075834704066561,2.075834704066561,0,0,0
"(1,0)",1,0,1,1,0.81915091639368853,0.81915091639368809,0.81915091639368853,4.4408920985006262e-16,2.8949856204602495,2.8949856204602504,2.8949856204602504,0,20,-2.075834704066561,2.075834704066561,0,0,0
"(1,1)",1,1,2,1.4142135623730951,0.39973148571568728,0.39973148571568684,0.39973148571568773,8.8817841970012523e-16,1.9131796222129829,1.9131796222129827,1.9131796222129835,8.8817841970012523e-16,16,-1.5134481364972956,1.5134481364972956,0,0,0
"(0,2)",0,2,4,2,0.16158143836038139,0.16158143836038064,0.16158143836038219,1.5543122344752192e-15,1.0650056922542783,1.0650056922542777,1.065005692254279,1.3322676295501878e-15,15,-0.90342425389389691,0.90342425389389691,0,0,0
"(2,0)",2,0,4,2,0.16158143836038072,0.16158143836038041,0.16158143836038086,4.4408920985006262e-16,1.0650056922542781,1.0650056922542781,1.0650056922542783,2.2204460492503131e-16,15,-0.90342425389389736,0.90342425389389736,0,0,0
"(1,2)",1,2,5,2.2360679774997898,0.11483591244470404,0.11483591244470359,0.11483591244470448,8.8817841970012523e-16,0.84106373801748369,0.84106373801748346,0.84106373801748413,6.6613381477509392e-16,12,-0.72622782557277965,0.72622782557277965,0,0,0
"(2,1)",2,1,5,2.2360679774997898,0.11483591244470352,0.11483591244470293,0.11483591244470359,6.6613381477509392e-16,0.84106373801748369,0.84106373801748346,0.84106373801748391,4.4408920985006262e-16,12,-0.72622782557278021,0.72622782557278021,0,0,0
"(2,2)",2,2,8,2.8284271247461903,0.050720422636291139,0.050720422636290619,0.050720422636291396,7.7715611723760958e-16,0.46512598213850409,0.46512598213850392,0.46512598213850431,3.8857805861880479e-16,9,-0.41440555950221297,0.41440555950221297,0,0,0
"(0,3)",0,3,9,3,0.040364118570057228,0.040364118570057228,0.040364118570057228,0,0.39179369891090904,0.39179369891090904,0.39179369891090904,0,10,-0.35142958034085181,0.35142958034085181,0,0,0
"(3,0)",3,0,9,3,0.040364118570056784,0.040364118570056784,0.040364118570056784,0,0.39179369891090854,0.39179369891090848,0.39179369891090859,1.1102230246251565e-16,10,-0.35142958034085175,0.35142958034085175,0,0,0
"(1,3)",1,3,10,3.1622776601683795,0.032612826764290115,0.032612826764290115,0.032612826764290115,0,0.33310500240043051,0.33310500240043051,0.33310500240043051,0,8,-0.30049217563614039,0.30049217563614039,0,0,0
