quantity,value
signed_displacement_count,81
delta_K_delta_at_origin,-2.6645352591003757e-15
largest_nonzero_absolute_delta_K_delta,2.075834704066561
largest_nonzero_radius,1
maximum_stationarity_span,3.5527136788005009e-15
maximum_opposite_lag_error,0
maximum_within_radius_directional_spread,6.6613381477509392e-16
