year,month,day_num,direction,lag,model,fitted_gamma_tau1,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2024,7,1,lat,1.2760,Debiased_Whittle,11.7014,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lat,1.4960,Debiased_Whittle,11.7158,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lat,1.7160,Debiased_Whittle,11.7209,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lat,1.9360,Debiased_Whittle,11.7226,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lat,2.1560,Debiased_Whittle,11.7233,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lat,-2.1560,Vecchia_mm20,14.9861,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-1.9360,Vecchia_mm20,14.9683,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-1.7160,Vecchia_mm20,14.9336,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-1.4960,Vecchia_mm20,14.8664,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-1.2760,Vecchia_mm20,14.7361,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-1.0560,Vecchia_mm20,14.4852,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-0.8360,Vecchia_mm20,14.0061,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-0.6160,Vecchia_mm20,13.1086,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-0.3960,Vecchia_mm20,11.5097,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-0.1760,Vecchia_mm20,9.1584,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-0.1320,Vecchia_mm20,8.7140,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,-0.0440,Vecchia_mm20,8.1334,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.0000,Vecchia_mm20,8.0829,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.0440,Vecchia_mm20,8.2141,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.1320,Vecchia_mm20,8.9061,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.1760,Vecchia_mm20,9.3746,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.3960,Vecchia_mm20,11.6895,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.6160,Vecchia_mm20,13.2134,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,0.8360,Vecchia_mm20,14.0628,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,1.0560,Vecchia_mm20,14.5151,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,1.2760,Vecchia_mm20,14.7517,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
