day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-6,Vecc_b2 and b20.99,1250.0,0.02,100,26.94758849077179,2.491969088828468,3.3561130403923314,-0.20000021697070217,-0.0666759128992342,2.5630518747164113e-07,5.7577959562845695,17574.206290745908,18695.526458978653,470
2024-07-7,Vecc_b2 and b20.99,1250.0,0.02,100,27.718641734312623,3.238432874059754,0.8228032078441104,0.10006993526112343,-0.3000845302786789,-0.00012199697525063501,6.546999772345278,17340.602026298744,16445.451317548752,360
2024-07-8,Vecc_b2 and b20.99,1250.0,0.02,100,27.601336285031042,2.6294128788414706,1.1884348889143634,0.1000001219325625,-0.29999997445372123,-2.339170005547442e-07,4.697668448555788,18647.911860733195,23746.314420461655,505
2024-07-9,Vecc_b2 and b20.99,1250.0,0.02,100,25.517081985207152,2.8639247671329526,2.9682549279103845,-0.16666556401094576,-0.0666736433594137,1.2243705432673726e-06,3.4920902250811072,18654.88523647484,20600.80515742302,504
2024-07-10,Vecc_b2 and b20.99,1250.0,0.02,100,27.021512373995698,2.3787323595564,3.068910840454212,0.19994657575830316,-0.3716214772071787,-1.0873989053237562e-09,5.835351191151447,18372.110274773673,25489.383273124695,601
2024-07-11,Vecc_b2 and b20.99,1250.0,0.02,100,25.27959081789407,3.1417924846138514,2.5924675624595164,0.13333336639151516,-0.19999556038803737,4.1769016215641294e-08,3.8964813492098287,16927.97086362551,22476.106165409088,533
2024-07-12,Vecc_b2 and b20.99,1250.0,0.02,100,25.141029106243003,3.1520449135317476,2.0588229203817487,0.015171334810454315,-0.33789601959291304,0.0010374113050908335,3.3382175746188305,15552.13306961314,35330.38831567764,801
