latitude (degrees_north),longitude (degrees_east),z
-2.997916666666667,121.00208333333333,-5.0
-2.997916666666667,121.05208333333333,-49.0
-2.997916666666667,121.10208333333334,240.65756
-2.997916666666667,121.15208333333334,522.4308
-2.997916666666667,121.20208333333333,529.4167
-2.997916666666667,121.25208333333333,341.49445
-2.997916666666667,121.30208333333333,710.2689
-2.997916666666667,121.35208333333334,578.498
-2.997916666666667,121.40208333333334,905.6201
-2.997916666666667,121.45208333333333,670.769
-2.997916666666667,121.50208333333333,684.78455
-2.997916666666667,121.55208333333333,544.52936
-2.997916666666667,121.60208333333334,477.70248
-2.997916666666667,121.65208333333334,560.71967
-2.997916666666667,121.70208333333333,700.1684
-2.997916666666667,121.75208333333333,572.15765
-2.997916666666667,121.80208333333333,373.46045
-2.997916666666667,121.85208333333334,652.90674
-2.997916666666667,121.90208333333334,380.2648
-2.997916666666667,121.95208333333333,504.06534
-2.997916666666667,122.00208333333333,639.1913
-2.997916666666667,122.05208333333333,734.5956
-2.997916666666667,122.10208333333334,715.28625
-2.997916666666667,122.15208333333334,459.46143
-2.997916666666667,122.20208333333333,22.523956
-2.997916666666667,122.25208333333333,193.636
-2.997916666666667,122.30208333333333,-60.0
-2.997916666666667,122.35208333333334,-30.0
-2.997916666666667,122.40208333333334,30.0
-2.997916666666667,122.45208333333333,-12.0
-2.997916666666667,122.50208333333333,-277.0
-2.997916666666667,122.55208333333333,-383.0
-2.997916666666667,122.60208333333334,-349.0
-2.997916666666667,122.65208333333334,-648.0
-2.997916666666667,122.70208333333333,-1111.0
-2.997916666666667,122.75208333333333,-1646.0
-2.997916666666667,122.80208333333333,-1988.0
-2.997916666666667,122.85208333333334,-2225.0
-2.997916666666667,122.90208333333334,-2642.0
-2.997916666666667,122.95208333333333,-3020.0
-2.997916666666667,123.00208333333333,-3511.0
-2.997916666666667,123.05208333333333,-3660.0
-2.997916666666667,123.10208333333334,-3826.0
-2.997916666666667,123.15208333333334,-3839.0
-2.997916666666667,123.20208333333333,-3442.0
-2.997916666666667,123.25208333333333,-3487.0
-2.997916666666667,123.30208333333333,-3778.0
-2.997916666666667,123.35208333333334,-3795.0
-2.997916666666667,123.40208333333334,-3816.0
-2.997916666666667,123.45208333333333,-3988.0
-2.997916666666667,123.50208333333333,-4029.0
-2.997916666666667,123.55208333333333,-4001.0
-2.997916666666667,123.60208333333334,-4082.0
-2.997916666666667,123.65208333333334,-4331.0
-2.997916666666667,123.70208333333333,-4557.0
-2.997916666666667,123.75208333333333,-4786.0
-2.997916666666667,123.80208333333333,-4866.0
-2.997916666666667,123.85208333333334,-4669.0
-2.997916666666667,123.90208333333334,-4683.0
-2.997916666666667,123.95208333333333,-4690.0
-2.997916666666667,124.00208333333333,-4727.0
