method,seed_lat,seed_lon,seed_total_s,subgrid_used,selection_reason,jk_j90_cells,jk_max_cells,jk_median_cells,jk_mean_euclid_cells,jk_stable_fraction_1cell,surface_clear,jkq_j90_cells,jkq_max_cells,jkq_stable_fraction_halfcell,jkq_valid_fraction,subgrid_stable,jk_threshold_cells,jk_loo_seed_lat,jk_loo_seed_lon,jk_loo_q_seed_lat,jk_loo_q_seed_lon,lat_step,lon_step,fft_components_s,fft_aggregate_s,quadratic_s,diagnostic_s,subgrid_numerically_accepted,subgrid_numerical_reason,subgrid_hessian_condition,subgrid_min_eigenvalue,subgrid_delta_lat,subgrid_delta_lon,day,day_idx,points_per_hour,rows_total,rows_valid,valid_rate
M3_fft,-0.0440000000,-0.2520000000,0.0154980411,False,discrete_fft_argmin,0.4000000000,1.0000000000,0.0000000000,0.2020305089,1.0000000000,True,0.6633412822,1.0000000000,0.8571428571,0.2857142857,False,0.5000000000,"[0.0, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004]","[-0.18900000000000716, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[0.0, -0.04400000000000004, -0.04400000000000004, -0.03307433546312742, -0.04400000000000004, -0.036911816182141385, -0.04400000000000004]","[-0.18900000000000716, -0.25200000000000955, -0.25200000000000955, -0.22434916536587363, -0.25200000000000955, -0.22626094095054367, -0.25200000000000955]",0.0440000000,0.0630000000,0.0153400830,0.0001579580,0.0001407920,0.0011672910,False,delta_outside_half_cell,2.1394004162,40.3849497382,0.0000000000,0.0000000000,2024-07-01,0,18126,145008,131428,0.9063499945
M3_fft_Q,-0.0440000000,-0.2520000000,0.0156388331,False,delta_outside_half_cell,0.4000000000,1.0000000000,0.0000000000,0.2020305089,1.0000000000,True,0.6633412822,1.0000000000,0.8571428571,0.2857142857,False,0.5000000000,"[0.0, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004]","[-0.18900000000000716, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[0.0, -0.04400000000000004, -0.04400000000000004, -0.03307433546312742, -0.04400000000000004, -0.036911816182141385, -0.04400000000000004]","[-0.18900000000000716, -0.25200000000000955, -0.25200000000000955, -0.22434916536587363, -0.25200000000000955, -0.22626094095054367, -0.25200000000000955]",0.0440000000,0.0630000000,0.0153400830,0.0001579580,0.0001407920,0.0011672910,False,delta_outside_half_cell,2.1394004162,40.3849497382,0.0000000000,0.0000000000,2024-07-01,0,18126,145008,131428,0.9063499945
M3_fft_JKQ,-0.0440000000,-0.2520000000,0.0168061241,False,jackknife_subgrid_unstable,0.4000000000,1.0000000000,0.0000000000,0.2020305089,1.0000000000,True,0.6633412822,1.0000000000,0.8571428571,0.2857142857,False,0.5000000000,"[0.0, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004]","[-0.18900000000000716, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[0.0, -0.04400000000000004, -0.04400000000000004, -0.03307433546312742, -0.04400000000000004, -0.036911816182141385, -0.04400000000000004]","[-0.18900000000000716, -0.25200000000000955, -0.25200000000000955, -0.22434916536587363, -0.25200000000000955, -0.22626094095054367, -0.25200000000000955]",0.0440000000,0.0630000000,0.0153400830,0.0001579580,0.0001407920,0.0011672910,False,delta_outside_half_cell,2.1394004162,40.3849497382,0.0000000000,0.0000000000,2024-07-01,0,18126,145008,131428,0.9063499945
M3_fft,-0.0440000000,-0.2520000000,0.0153347080,False,discrete_fft_argmin,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,True,0.1104974186,0.1243418468,1.0000000000,1.0000000000,True,0.5000000000,"[-0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004]","[-0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[-0.0329949429744602, -0.03341191532507718, -0.032528611630227355, -0.030038621795110264, -0.03058032503590661, -0.027903074200656342, -0.026124616689336043]","[-0.24980486895640183, -0.2520719950658255, -0.2539527564590429, -0.25459875609104543, -0.24396240613202733, -0.24038534835714412, -0.242955754373295]",0.0440000000,0.0630000000,0.0152042500,0.0001304580,0.0001010830,0.0011190830,True,accepted,1.9497597414,78.6038060494,0.0134710647,0.0037811153,2024-07-02,1,18126,145008,140191,0.9667811431
M3_fft_Q,-0.0305289353,-0.2482188847,0.0154357911,True,accepted,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,True,0.1104974186,0.1243418468,1.0000000000,1.0000000000,True,0.5000000000,"[-0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004]","[-0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[-0.0329949429744602, -0.03341191532507718, -0.032528611630227355, -0.030038621795110264, -0.03058032503590661, -0.027903074200656342, -0.026124616689336043]","[-0.24980486895640183, -0.2520719950658255, -0.2539527564590429, -0.25459875609104543, -0.24396240613202733, -0.24038534835714412, -0.242955754373295]",0.0440000000,0.0630000000,0.0152042500,0.0001304580,0.0001010830,0.0011190830,True,accepted,1.9497597414,78.6038060494,0.0134710647,0.0037811153,2024-07-02,1,18126,145008,140191,0.9667811431
M3_fft_JKQ,-0.0305289353,-0.2482188847,0.0165548741,True,clear_and_quadratic_accepted,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,True,0.1104974186,0.1243418468,1.0000000000,1.0000000000,True,0.5000000000,"[-0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004, -0.04400000000000004]","[-0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[-0.0329949429744602, -0.03341191532507718, -0.032528611630227355, -0.030038621795110264, -0.03058032503590661, -0.027903074200656342, -0.026124616689336043]","[-0.24980486895640183, -0.2520719950658255, -0.2539527564590429, -0.25459875609104543, -0.24396240613202733, -0.24038534835714412, -0.242955754373295]",0.0440000000,0.0630000000,0.0152042500,0.0001304580,0.0001010830,0.0011190830,True,accepted,1.9497597414,78.6038060494,0.0134710647,0.0037811153,2024-07-02,1,18126,145008,140191,0.9667811431
M3_fft,-0.0880000000,-0.2520000000,0.0154570840,False,discrete_fft_argmin,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,True,0.0980259505,0.1133733731,1.0000000000,1.0000000000,True,0.5000000000,"[-0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008]","[-0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[-0.08818235200498951, -0.08621449077622022, -0.08783345920559797, -0.09009277786353244, -0.08621422292685126, -0.08394550745381968, -0.08124139868706322]","[-0.25272647915950053, -0.2529928212508897, -0.254104882647323, -0.2579794300635275, -0.25611277340332866, -0.2534735990311596, -0.25123980774687854]",0.0440000000,0.0630000000,0.0153277090,0.0001293750,0.0000789170,0.0010491670,True,accepted,1.3333464775,87.7290184803,0.0017701729,-0.0020239358,2024-07-03,2,18126,145008,140352,0.9678914267
M3_fft_Q,-0.0862298271,-0.2540239358,0.0155360010,True,accepted,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,True,0.0980259505,0.1133733731,1.0000000000,1.0000000000,True,0.5000000000,"[-0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008]","[-0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[-0.08818235200498951, -0.08621449077622022, -0.08783345920559797, -0.09009277786353244, -0.08621422292685126, -0.08394550745381968, -0.08124139868706322]","[-0.25272647915950053, -0.2529928212508897, -0.254104882647323, -0.2579794300635275, -0.25611277340332866, -0.2534735990311596, -0.25123980774687854]",0.0440000000,0.0630000000,0.0153277090,0.0001293750,0.0000789170,0.0010491670,True,accepted,1.3333464775,87.7290184803,0.0017701729,-0.0020239358,2024-07-03,2,18126,145008,140352,0.9678914267
M3_fft_JKQ,-0.0862298271,-0.2540239358,0.0165851680,True,clear_and_quadratic_accepted,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,True,0.0980259505,0.1133733731,1.0000000000,1.0000000000,True,0.5000000000,"[-0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008, -0.08800000000000008]","[-0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955, -0.25200000000000955]","[-0.08818235200498951, -0.08621449077622022, -0.08783345920559797, -0.09009277786353244, -0.08621422292685126, -0.08394550745381968, -0.08124139868706322]","[-0.25272647915950053, -0.2529928212508897, -0.254104882647323, -0.2579794300635275, -0.25611277340332866, -0.2534735990311596, -0.25123980774687854]",0.0440000000,0.0630000000,0.0153277090,0.0001293750,0.0000789170,0.0010491670,True,accepted,1.3333464775,87.7290184803,0.0017701729,-0.0020239358,2024-07-03,2,18126,145008,140352,0.9678914267
M3_fft,0.0000000000,-0.1260000000,0.0152832080,False,discrete_fft_argmin,1.0000000000,1.0000000000,0.0000000000,0.4285714286,1.0000000000,False,0.2567432318,0.4936394375,1.0000000000,0.8571428571,True,0.5000000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.18900000000000716, -0.18900000000000716, -0.18900000000000716, -0.12600000000000477, -0.12600000000000477, -0.12600000000000477, -0.12600000000000477]","[0.019049896110707468, 0.01854347208501793, 0.017899945685695865, 0.0, 0.013690733203856545, 0.014681358558977788, 0.01668773449483817]","[-0.1600611658300154, -0.15971200890355788, -0.15981736999806642, -0.12600000000000477, -0.1546673951892042, -0.15087410160176054, -0.1515885583634339]",0.0440000000,0.0630000000,0.0151639170,0.0001192910,0.0000786670,0.0010451670,True,accepted,2.3842627734,76.2354474804,0.0170453278,-0.0310992846,2024-07-04,3,18126,145008,139272,0.9604435617
