day,m3_seed_lat,m3_seed_lon,q_seed_lat,q_seed_lon,jkq_seed_lat,jkq_seed_lon,q_movement_cells,jk_j90_cells,jkq_j90_cells,jkq_valid_fraction,surface_clear,subgrid_stable,subgrid_numerically_accepted,subgrid_numerical_reason,diagnostic_s
2024-07-01,-0.0440000000,-0.2520000000,-0.0440000000,-0.2520000000,-0.0440000000,-0.2520000000,0.0000000000,0.4000000000,0.6633412822,0.2857142857,True,False,False,delta_outside_half_cell,0.0011672910
2024-07-02,-0.0440000000,-0.2520000000,-0.0305289353,-0.2482188847,-0.0305289353,-0.2482188847,0.3119878437,0.0000000000,0.1104974186,1.0000000000,True,True,True,accepted,0.0011190830
2024-07-03,-0.0880000000,-0.2520000000,-0.0862298271,-0.2540239358,-0.0862298271,-0.2540239358,0.0514842426,0.0000000000,0.0980259505,1.0000000000,True,True,True,accepted,0.0010491670
2024-07-04,0.0000000000,-0.1260000000,0.0170453278,-0.1570992846,0.0170453278,-0.1570992846,0.6274980966,1.0000000000,0.2567432318,0.8571428571,False,True,True,accepted,0.0010451670
2024-07-05,0.0440000000,-0.2520000000,0.0565652854,-0.2219510276,0.0440000000,-0.2520000000,0.5559237263,0.4000000000,0.4769678166,0.7142857143,True,False,True,accepted,0.0010268340
2024-07-06,0.0440000000,-0.3150000000,0.0233886614,-0.3125197552,0.0233886614,-0.3125197552,0.4700909418,0.4000000000,0.2876749250,0.8571428571,True,True,True,accepted,0.0010299590
2024-07-07,0.0000000000,-0.3780000000,0.0055085254,-0.3655456386,0.0055085254,-0.3655456386,0.2339960082,0.0000000000,0.1157799330,1.0000000000,True,True,True,accepted,0.0011108750
2024-07-08,-0.0880000000,-0.3780000000,-0.0880000000,-0.3780000000,-0.0880000000,-0.3780000000,0.0000000000,0.0000000000,0.4133818673,0.2857142857,True,False,False,delta_outside_half_cell,0.0011202090
2024-07-09,0.0000000000,-0.3150000000,0.0065254320,-0.3044327433,0.0065254320,-0.3044327433,0.2238955715,0.0000000000,0.2409417590,1.0000000000,True,True,True,accepted,0.0010364170
2024-07-10,0.0000000000,-0.1260000000,0.0056725032,-0.1206288016,0.0056725032,-0.1206288016,0.1545615679,0.4000000000,0.3463250595,1.0000000000,True,True,True,accepted,0.0010417920
2024-07-11,0.0000000000,-0.1260000000,-0.0106022572,-0.1051736107,-0.0106022572,-0.1051736107,0.4090763557,0.4000000000,0.3286469074,0.8571428571,True,True,True,accepted,0.0009692080
2024-07-12,0.0000000000,0.0000000000,-0.0127011944,-0.0079091517,-0.0127011944,-0.0079091517,0.3147815720,0.0000000000,0.0614260341,1.0000000000,True,True,True,accepted,0.0010932090
2024-07-13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.8872847894,0.7142857143,False,False,False,delta_outside_half_cell,0.0009387500
2024-07-14,0.0000000000,-0.0630000000,0.0000000000,-0.0630000000,0.0000000000,-0.0630000000,0.0000000000,1.0000000000,0.9044321825,0.5714285714,False,False,False,delta_outside_half_cell,0.0009371670
2024-07-15,0.0000000000,0.0000000000,-0.0109195013,-0.0025322902,-0.0109195013,-0.0025322902,0.2514045233,0.0000000000,0.1295813716,1.0000000000,True,True,True,accepted,0.0009278330
2024-07-16,-0.0440000000,0.0000000000,-0.0309784888,-0.0018316128,-0.0309784888,-0.0018316128,0.2973680710,0.0000000000,0.2068586793,1.0000000000,True,True,True,accepted,0.0009430420
2024-07-17,0.0000000000,0.0000000000,0.0124176758,0.0241637274,0.0124176758,0.0241637274,0.4761928382,0.0000000000,0.0710256178,1.0000000000,True,True,True,accepted,0.0009706250
2024-07-18,0.0440000000,-0.0630000000,0.0408063917,-0.0476683126,0.0408063917,-0.0476683126,0.2539533307,0.4000000000,0.3832287650,0.8571428571,True,True,True,accepted,0.0009401670
2024-07-19,0.0000000000,-0.0630000000,-0.0044547539,-0.0755475403,-0.0044547539,-0.0755475403,0.2234234678,0.0000000000,0.1095082496,1.0000000000,True,True,True,accepted,0.0009349580
2024-07-20,0.0440000000,-0.3150000000,0.0224612073,-0.3253271900,0.0224612073,-0.3253271900,0.5162352681,1.0000000000,0.2220377304,1.0000000000,False,True,True,accepted,0.0009885420
2024-07-21,0.0000000000,-0.2520000000,0.0029884128,-0.2442548181,0.0029884128,-0.2442548181,0.1404528876,0.0000000000,0.1119300051,1.0000000000,True,True,True,accepted,0.0009487500
2024-07-22,0.0000000000,-0.1260000000,0.0183043347,-0.1130923700,0.0183043347,-0.1130923700,0.4637233868,0.4000000000,0.2162498972,1.0000000000,True,True,True,accepted,0.0011370000
2024-07-23,0.0000000000,-0.0630000000,-0.0037619928,-0.0882943355,-0.0037619928,-0.0882943355,0.4105001518,0.0000000000,0.2919002253,0.8571428571,True,True,True,accepted,0.0009185420
2024-07-24,-0.0880000000,-0.0630000000,-0.0819578476,-0.0537810362,-0.0819578476,-0.0537810362,0.2006751363,0.0000000000,0.2290639660,1.0000000000,True,True,True,accepted,0.0009491670
2024-07-25,-0.0440000000,-0.1260000000,-0.0440000000,-0.1260000000,-0.0440000000,-0.1260000000,0.0000000000,1.0000000000,1.0000000000,0.5714285714,False,False,False,delta_outside_half_cell,0.0009016250
2024-07-26,0.0000000000,-0.2520000000,-0.0147155515,-0.2480457826,-0.0147155515,-0.2480457826,0.3402829922,0.0000000000,0.0902277210,1.0000000000,True,True,True,accepted,0.0008965420
2024-07-27,0.0000000000,0.0000000000,0.0181061421,-0.0263430725,0.0181061421,-0.0263430725,0.5866679809,0.0000000000,0.2423133649,0.8571428571,True,True,True,accepted,0.0010557499
2024-07-28,0.0440000000,0.0000000000,0.0238334618,-0.0159799910,0.0238334618,-0.0159799910,0.5238372088,0.4000000000,0.0895289425,1.0000000000,True,True,True,accepted,0.0009131660
