method,n_days,mean_seed_s,median_seed_s,subgrid_use_rate,mean_jkq_j90_cells
M3_fft,28,0.0168513781,0.0166080415,0.0000000000,0.3066044176
M3_fft_JKQ,28,0.0179406937,0.0175955625,0.7857142857,0.3066044176
M3_fft_Q,28,0.0169367352,0.0166797085,0.8214285714,0.3066044176
