direction,model,n,rmse_mean,rmse_median,mae_mean,mae_median,bias_mean,bias_median
lat,Corridor_4x4_lag643,112,0.1129,0.1122,0.0993,0.0971,-0.0860,-0.0839
lat,Debiased_Whittle,112,0.1357,0.1361,0.1184,0.1183,-0.1051,-0.1030
lat,Vecchia_mm20,112,0.0721,0.0652,0.0616,0.0544,-0.0312,-0.0284
lon,Corridor_4x4_lag643,112,0.1739,0.1727,0.1592,0.1580,-0.1586,-0.1572
lon,Debiased_Whittle,112,0.2001,0.1956,0.1861,0.1786,-0.1856,-0.1786
lon,Vecchia_mm20,112,0.1032,0.0942,0.0906,0.0851,-0.0729,-0.0686
