year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2022,7,1,lat,Vecchia_mm20,0.0440,0.5355,17779.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.5636,17874,4.4311,0.6329,17898,5.6410,0.6387,17846,6.6334,0.5443,17821,7.7717,0.5030,17820,7.5407,0.5339,17838,6.5384,0.4527,17708,6.2094,0.4147,17427.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.1320,0.7233,17437.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.7196,17552,4.4311,0.8055,17578,5.6410,0.8548,17517,6.6334,0.7668,17496,7.7717,0.7219,17491,7.5407,0.7196,17508,6.5384,0.6404,17352,6.2094,0.5577,17007.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.1760,0.7576,17273.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.7518,17390,4.4311,0.8475,17418,5.6410,0.8669,17354,6.6334,0.7987,17334,7.7717,0.7507,17327,7.5407,0.7558,17349,6.5384,0.6902,17189,6.2094,0.5990,16828.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.3960,0.8577,16473.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.8210,16588,4.4311,0.9043,16619,5.6410,0.9109,16555,6.6334,0.8851,16534,7.7717,0.8384,16521,7.5407,0.8784,16553,6.5384,0.8614,16398,6.2094,0.7620,16017.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.6160,0.9104,15680.3750,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.8788,15790,4.4311,0.9379,15819,5.6410,0.9344,15769,6.6334,0.9106,15744,7.7717,0.8764,15729,7.5407,0.9261,15756,6.5384,0.9300,15611,6.2094,0.8887,15225.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.8360,0.9396,14890.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.9090,14990,4.4311,0.9695,15020,5.6410,0.9421,14980,6.6334,0.9513,14952,7.7717,0.9089,14948,7.5407,0.9606,14964,6.5384,0.9585,14821,6.2094,0.9170,14450.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.0560,0.9572,14096.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.9344,14191,4.4311,0.9778,14221,5.6410,0.9468,14181,6.6334,0.9429,14154,7.7717,0.9289,14151,7.5407,0.9786,14172,6.5384,0.9950,14031,6.2094,0.9528,13672.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.2760,0.9520,13304.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.9559,13396,4.4311,0.9962,13422,5.6410,0.9623,13381,6.6334,0.9186,13354,7.7717,0.9207,13359,7.5407,0.9712,13388,6.5384,0.9627,13240,6.2094,0.9280,12892.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.4960,0.9516,12517.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.9804,12606,4.4311,1.0052,12625,5.6410,0.9828,12583,6.6334,0.9261,12559,7.7717,0.8970,12569,7.5407,0.9586,12593,6.5384,0.9446,12459,6.2094,0.9180,12146.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.7160,0.9499,11734.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.9655,11817,4.4311,1.0146,11838,5.6410,0.9566,11792,6.6334,0.9292,11777,7.7717,0.9166,11782,7.5407,0.9710,11807,6.5384,0.9478,11672,6.2094,0.8982,11388.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.9360,0.9700,10950.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,0.9826,11029,4.4311,1.0304,11048,5.6410,0.9880,11003,6.6334,0.9722,10990,7.7717,0.9425,10992,7.5407,0.9829,11017,6.5384,0.9477,10886,6.2094,0.9139,10636.0000,5.2373
