variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n1_rangetime_long,2772,4.98878052,0.45659248,0.99827734,2371.76367649,2764.59631430,0.89065603,0.76409912,-0.12655691,0.85618245,0.92512961
s05_n1_rangetime_long,2773,4.98820440,0.53134984,0.99965439,2372.29502633,2765.59596868,0.89097808,0.76427030,-0.12670778,0.85650450,0.92545166
s05_n1_rangetime_long,2774,4.98783175,1.76982863,0.99886156,2374.06485496,2766.59483024,0.89129988,0.76484048,-0.12645940,0.85682630,0.92577346
s05_n1_rangetime_long,2775,4.98772471,0.57423607,0.99542255,2374.63909103,2767.59025280,0.89162057,0.76502548,-0.12659509,0.85714699,0.92609415
s05_n1_rangetime_long,2776,4.98609636,0.29765123,0.99662078,2374.93674226,2768.58687358,0.89194165,0.76512137,-0.12682027,0.85746807,0.92641523
s05_n1_rangetime_long,2777,4.98157805,4.77780097,0.99731582,2379.71454323,2769.58418940,0.89226295,0.76666061,-0.12560233,0.85778937,0.92673653
s05_n1_rangetime_long,2778,4.97811786,0.43738205,0.99356996,2380.15192528,2770.57775937,0.89258304,0.76680152,-0.12578152,0.85810946,0.92705662
s05_n1_rangetime_long,2779,4.97733789,0.71446258,0.99853769,2380.86638786,2771.57629705,0.89290473,0.76703170,-0.12587304,0.85843116,0.92737831
s05_n1_rangetime_long,2780,4.97685258,0.00004200,0.99601272,2380.86642986,2772.57230977,0.89322562,0.76703171,-0.12619390,0.85875204,0.92769919
s05_n1_rangetime_long,2781,4.97471578,0.02077056,0.99920647,2380.88720042,2773.57151624,0.89354752,0.76703840,-0.12650912,0.85907395,0.92802110
s05_n1_rangetime_long,2782,4.97224972,2.11024975,0.98371457,2382.99745018,2774.55523081,0.89386444,0.76771825,-0.12614619,0.85939086,0.92833802
s05_n1_rangetime_long,2783,4.96575282,0.16859010,0.99872410,2383.16604027,2775.55395491,0.89418620,0.76777256,-0.12641363,0.85971262,0.92865978
s05_n1_rangetime_long,2784,4.96452832,1.30215202,0.99617019,2384.46819229,2776.55012510,0.89450713,0.76819207,-0.12631506,0.86003355,0.92898071
s05_n1_rangetime_long,2785,4.96332900,0.00218752,0.99397356,2384.47037981,2777.54409866,0.89482735,0.76819278,-0.12663457,0.86035377,0.92930093
s05_n1_rangetime_long,2786,4.96277919,1.06759058,0.99434035,2385.53797039,2778.53843901,0.89514769,0.76853672,-0.12661098,0.86067411,0.92962127
s05_n1_rangetime_long,2787,4.95914402,0.43797161,0.99828781,2385.97594200,2779.53672682,0.89546931,0.76867782,-0.12679149,0.86099573,0.92994289
s05_n1_rangetime_long,2788,4.95840888,0.00273630,0.99891946,2385.97867831,2780.53564628,0.89579112,0.76867870,-0.12711243,0.86131754,0.93026470
s05_n1_rangetime_long,2789,4.95561975,0.02280123,0.99218654,2386.00147953,2781.52783283,0.89611077,0.76868604,-0.12742473,0.86163719,0.93058435
s05_n1_rangetime_long,2790,4.95322361,0.36573954,0.99748697,2386.36721907,2782.52531980,0.89643213,0.76880387,-0.12762825,0.86195855,0.93090571
s05_n1_rangetime_long,2791,4.94833891,0.18523697,0.99948773,2386.55245604,2783.52480753,0.89675413,0.76886355,-0.12789058,0.86228055,0.93122771
s05_n1_rangetime_long,2792,4.94763325,0.80178867,0.99958441,2387.35424470,2784.52439194,0.89707616,0.76912186,-0.12795430,0.86260258,0.93154974
s05_n1_rangetime_long,2793,4.94443835,6.70224770,0.99987427,2394.05649240,2785.52426621,0.89739828,0.77128109,-0.12611720,0.86292470,0.93187186
s05_n1_rangetime_long,2794,4.94314584,0.00000236,0.99813314,2394.05649476,2786.52239935,0.89771985,0.77128109,-0.12643876,0.86324627,0.93219342
