scenario,mode_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
true,6.940829429116779e-06,2.3463293894366924e-05,6.940829429116779e-06,3.874352981362271e-09,4.2453747452012964e-05
true,0.00392156862745098,0.0036708285567073314,0.00392156862745098,0.0033525571661141514,0.0043468199341785895
true,0.00784313725490196,0.007602691245767809,0.00784313725490196,0.007120036244379431,0.008507183474729807
true,0.011764705882352941,0.010830393185097742,0.011764705882352941,0.010741573614879959,0.01261471340426186
true,0.01568627450980392,0.014717307214473289,0.01568627450980392,0.014286427823395663,0.016705279915113787
true,0.0196078431372549,0.018350124975423186,0.0196078431372549,0.018181928872063487,0.020960211869884084
true,0.023529411764705882,0.022405797698028078,0.023529411764705882,0.02185624734214924,0.025246696253967086
true,0.027450980392156862,0.026973801883779524,0.027450980392156862,0.025702081130158778,0.029258296725289352
true,0.03137254901960784,0.030860367403553295,0.03137254901960784,0.029491533409017417,0.033330356131043404
true,0.03529411764705882,0.034711783907922254,0.03529411764705882,0.033256191142599915,0.03732497673292397
true,0.0392156862745098,0.038577915793303594,0.0392156862745098,0.037287935362169934,0.041356497313159914
true,0.043137254901960784,0.0423519814972674,0.043137254901960784,0.041214910096337584,0.045301954321012514
true,0.047058823529411764,0.04638689381776064,0.047058823529411764,0.04505723257790538,0.049243648108164985
true,0.050980392156862744,0.051088970655055854,0.050980392156862744,0.04867120571913275,0.053395011512068866
true,0.054901960784313725,0.054990384086407565,0.054901960784313725,0.052598001436076736,0.0575224123770456
true,0.058823529411764705,0.058682351261586045,0.058823529411764705,0.056543335710780525,0.06155000335907953
true,0.06274509803921569,0.06289145324572437,0.06274509803921569,0.06035636963924405,0.06562300638190577
true,0.06666666666666667,0.06714030453941953,0.06666666666666667,0.06427953745215811,0.06952092345312874
true,0.07058823529411765,0.071018609755327,0.07058823529411765,0.06829056073567505,0.07339489622884009
true,0.07450980392156863,0.07454051045359569,0.07450980392156863,0.07211323431973396,0.07748998647543186
true,0.0784313725490196,0.07832370544408795,0.0784313725490196,0.07598217288022516,0.0813371217821697
true,0.08235294117647059,0.08190334012510053,0.08235294117647059,0.0799467975940731,0.08521182624461651
true,0.08627450980392157,0.08596751117429514,0.08627450980392157,0.08368603357649136,0.08956858963651589
true,0.09019607843137255,0.08980457243762502,0.09019607843137255,0.08742717126632449,0.09349773469678876
true,0.09411764705882353,0.09359631899243567,0.09411764705882353,0.09129141046351709,0.09754989469865599
true,0.09803921568627451,0.09744428161783844,0.09803921568627451,0.09486670970518613,0.10162840819260385
true,0.10196078431372549,0.10149501274011692,0.10196078431372549,0.09871959674957174,0.10563361029867017
true,0.10588235294117647,0.10545581905819368,0.10588235294117647,0.1027578456002278,0.10955835212889616
true,0.10980392156862745,0.10908982496670652,0.10980392156862745,0.1065504663780047,0.1138174948169304
true,0.11372549019607843,0.11273084351530394,0.11372549019607843,0.1103462466241304,0.1177851517967386
true,0.11764705882352941,0.11640824042069042,0.11764705882352941,0.11413161438389921,0.12192662755855772
true,0.12156862745098039,0.12074484444549417,0.12156862745098039,0.11783346059028514,0.12577220701486766
true,0.12549019607843137,0.12477657589987273,0.12549019607843137,0.12183333208494283,0.12977561128102907
true,0.12941176470588237,0.1287909581676126,0.12941176470588237,0.12539580543611317,0.13392704218024015
true,0.13333333333333333,0.13271045684911942,0.13333333333333333,0.12906666205309136,0.13816626220973818
true,0.13725490196078433,0.136630538276426,0.13725490196078433,0.13306623762141148,0.14235682336963504
true,0.1411764705882353,0.14057640381523762,0.1411764705882353,0.13727695911437404,0.14639579460135435
true,0.1450980392156863,0.1445634709120355,0.1450980392156863,0.14127602662270272,0.15027534504466888
true,0.14901960784313725,0.1479743061034161,0.14901960784313725,0.14518321693365943,0.1542855997774494
true,0.15294117647058825,0.15192290182710277,0.15294117647058825,0.14882285137071377,0.15822711654725052
true,0.1568627450980392,0.15610347811481118,0.1568627450980392,0.15281148919219267,0.16201013309185605
true,0.1607843137254902,0.16000758696972608,0.1607843137254902,0.15666241622926189,0.16600523098958272
true,0.16470588235294117,0.1644503640497679,0.16470588235294117,0.16064959747891094,0.1702071706939451
true,0.16862745098039217,0.16796125352667043,0.16862745098039217,0.16444690678067253,0.1742050922702221
true,0.17254901960784313,0.1722351488464171,0.17254901960784313,0.1679497043728565,0.1783097255222992
true,0.17647058823529413,0.17594192171376113,0.17647058823529413,0.1719611675298969,0.18198106933270844
true,0.1803921568627451,0.17969696886160208,0.1803921568627451,0.17585764340732685,0.18602336950495346
true,0.1843137254901961,0.18317032087393714,0.1843137254901961,0.1796499973137305,0.18982995228877933
true,0.18823529411764706,0.18699855313443936,0.18823529411764706,0.1834706045443806,0.19399132075969172
true,0.19215686274509805,0.19091244688992828,0.19215686274509805,0.18724115208579936,0.19824330012208244
