scenario,band,coefficient_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
true,low,0.0001388888888888889,0.0004695102871987381,0.0001388888888888889,7.75274174708013e-08,0.0008495171755762177
true,low,0.004027777777777778,0.004001353656784011,0.004027777777777778,0.002410263934805748,0.006766625668701461
true,low,0.007916666666666667,0.006551871914006931,0.007916666666666667,0.004781237587119005,0.011439179708121385
true,low,0.011805555555555555,0.009909401464916834,0.011805555555555555,0.007768461152643808,0.015431284723071217
true,low,0.015694444444444445,0.014503907719691357,0.015694444444444445,0.010530056228562377,0.01999390593545551
true,low,0.01972222222222222,0.016559500620103026,0.01972222222222222,0.013284344738209976,0.024399952627573076
true,low,0.02361111111111111,0.020221565559831386,0.02361111111111111,0.017551957056097026,0.02920848506904827
true,low,0.0275,0.024183622894571138,0.0275,0.02052369518199829,0.03440589861925889
true,low,0.03138888888888889,0.027284122004470616,0.03138888888888889,0.024889090964943558,0.03814379779892015
true,low,0.035416666666666666,0.030461683450699995,0.035416666666666666,0.028553417175361136,0.04202624760771006
true,low,0.03930555555555556,0.033733019546383206,0.03930555555555556,0.03214577774438697,0.046350910585522265
true,low,0.043194444444444445,0.03670135949056273,0.043194444444444445,0.03467111702131028,0.05131730806295481
true,low,0.04708333333333333,0.040098619565780085,0.04708333333333333,0.03900799238097902,0.055964045548838354
true,low,0.051111111111111114,0.04528219270007292,0.051111111111111114,0.04151839693082578,0.05984223601454048
true,low,0.055,0.047947186962522294,0.055,0.04605436308226401,0.06598255440976897
true,low,0.058888888888888886,0.051746037576576955,0.058888888888888886,0.048907813085833585,0.06928937923524585
true,low,0.06277777777777778,0.05517406584978602,0.06277777777777778,0.05316325384961718,0.07179718483857912
true,low,0.06666666666666667,0.060178866231035355,0.06666666666666667,0.055800923185789976,0.07589704308699295
true,low,0.07069444444444445,0.06486555596795081,0.07069444444444445,0.05948084967126427,0.0798107018635558
true,low,0.07458333333333333,0.0677040672433593,0.07458333333333333,0.06311386695779816,0.08390265576423087
true,low,0.07847222222222222,0.07345480893161233,0.07847222222222222,0.06708606579276338,0.08698167805788613
true,low,0.08236111111111111,0.07677231457260321,0.08236111111111111,0.07163549161513293,0.09316330684525082
true,low,0.08638888888888889,0.08160424922004193,0.08638888888888889,0.07523375627482556,0.09698425826418951
true,low,0.09027777777777778,0.08441319754342769,0.09027777777777778,0.07845899752875528,0.1006610774516773
true,low,0.09416666666666666,0.0877521057274208,0.09416666666666666,0.08340253851229246,0.10494920677220612
true,low,0.09805555555555556,0.09237470088567934,0.09805555555555556,0.08633175783386063,0.10851636028015497
true,low,0.10208333333333333,0.09781584711113396,0.10208333333333333,0.08949405067712923,0.11358201039372955
true,low,0.10597222222222222,0.10080086742974763,0.10597222222222222,0.09241807249741399,0.11661345235058307
true,low,0.10986111111111112,0.10641082858704544,0.10986111111111112,0.09669780996175971,0.12026645653791812
true,low,0.11375,0.1094593190861065,0.11375,0.10064651180592454,0.12588582828155556
true,low,0.11763888888888889,0.11344176943962642,0.11763888888888889,0.10373294387024384,0.12939590518657346
true,low,0.12166666666666667,0.12004913182319293,0.12166666666666667,0.10671095365349258,0.13271668729292374
true,low,0.12555555555555556,0.12253417948169625,0.12555555555555556,0.11218172078999084,0.1366496424855554
true,low,0.12944444444444445,0.126092451598678,0.12944444444444445,0.116481571954447,0.1430048797152356
true,low,0.13333333333333333,0.1302029439406236,0.13333333333333333,0.1214620201865735,0.14620002398659904
true,low,0.1373611111111111,0.13470754769831533,0.1373611111111111,0.12444813617897581,0.1504301048047834
true,low,0.14125,0.13869705280606892,0.14125,0.12717551522101364,0.1529717562631411
true,low,0.1451388888888889,0.14054747204203752,0.1451388888888889,0.131514318989906,0.15601302196002934
true,low,0.1490277777777778,0.14565349374129,0.1490277777777778,0.13535033507093647,0.1604214504232232
true,low,0.15305555555555556,0.14892587730455883,0.15305555555555556,0.13930961771017028,0.16607414753197708
true,low,0.15694444444444444,0.15213301961583292,0.15694444444444444,0.14247489193180093,0.1702322859891246
true,low,0.16083333333333333,0.15493819582740853,0.16083333333333333,0.14499618338288212,0.17340206304820333
true,low,0.16472222222222221,0.1571546553424293,0.16472222222222221,0.1492935253020544,0.17757554998194097
true,low,0.1686111111111111,0.16028666134978775,0.1686111111111111,0.15256014567581103,0.1814216966815918
true,low,0.1726388888888889,0.16367961508679166,0.1726388888888889,0.1559754412691696,0.18451589119979672
true,low,0.17652777777777778,0.16796428281580547,0.17652777777777778,0.16002284794055846,0.1881464336737933
true,low,0.18041666666666667,0.17032362144739746,0.18041666666666667,0.1627422949835631,0.19148831120496682
true,low,0.18430555555555556,0.17415324636696825,0.18430555555555556,0.16722677283652376,0.195891409270804
true,low,0.18833333333333332,0.17861576204122934,0.18833333333333332,0.1708404338799185,0.20067370695918244
true,low,0.1922222222222222,0.18184392091422144,0.1922222222222222,0.1744739935050884,0.20522369627949175
true,low,0.19611111111111112,0.18420150329681706,0.19611111111111112,0.17803743983581763,0.20866434646692686
true,low,0.2,0.18814499716690797,0.2,0.180877616870427,0.21286808435609036
true,low,0.20402777777777778,0.19022741312618904,0.20402777777777778,0.1847913652684912,0.21735668215633813
true,low,0.20791666666666667,0.19440551002035272,0.20791666666666667,0.18795584698040121,0.22140224311642304
true,low,0.21180555555555555,0.1974388249409127,0.21180555555555555,0.19062582095336697,0.22601794720219362
true,low,0.21569444444444444,0.20111299383896963,0.21569444444444444,0.19483037353169785,0.22974050853515388
true,low,0.21958333333333332,0.20381520241325163,0.21958333333333332,0.1985214532102266,0.23359214552887403
true,low,0.22361111111111112,0.20573821924026475,0.22361111111111112,0.2023761968726865,0.23725649109761143
true,low,0.2275,0.2093158857793292,0.2275,0.2063798907309331,0.24186621932087504
true,low,0.2313888888888889,0.21308838908900046,0.2313888888888889,0.21050032164324134,0.2482422160194714
true,low,0.23527777777777778,0.2165782375870526,0.23527777777777778,0.21493779607617494,0.25133954942313713
true,low,0.23930555555555555,0.22095527786648594,0.23930555555555555,0.2190238225531169,0.2553460947252916
true,low,0.24319444444444444,0.2249698489788938,0.24319444444444444,0.22281064603126258,0.260491539821208
true,low,0.24708333333333332,0.2285952318862552,0.24708333333333332,0.22451309590069615,0.2642800989212579
true,low,0.2509722222222222,0.2313924482158166,0.2509722222222222,0.2279802167263161,0.2676718564400445
true,low,0.255,0.23551082181110872,0.255,0.2312709656661755,0.27178547011596255
true,low,0.2588888888888889,0.23958476176115046,0.2588888888888889,0.23475392143415932,0.27479877539472003
true,low,0.2627777777777778,0.2435912258121966,0.2627777777777778,0.23863394304032598,0.27864559785270987
true,low,0.26666666666666666,0.2475954194768982,0.26666666666666666,0.24248243726640534,0.2812365486678537
true,low,0.27055555555555555,0.2526923531609159,0.27055555555555555,0.24548916433300433,0.28510959738804537
true,low,0.27458333333333335,0.25975079806377305,0.27458333333333335,0.2485727588181042,0.28970734916618057
true,low,0.27847222222222223,0.2637125148275976,0.27847222222222223,0.25239621153356084,0.29432600964503125
true,low,0.2823611111111111,0.26774731598881507,0.2823611111111111,0.25517639060409464,0.2989238931782327
true,low,0.28625,0.2733967703640092,0.28625,0.2573987779363371,0.30383445919421603
true,low,0.2902777777777778,0.27561361363885417,0.2902777777777778,0.26126069262440876,0.30780138408571134
true,low,0.2941666666666667,0.2784593249061067,0.2941666666666667,0.2654620755579771,0.31312918903058606
true,low,0.2980555555555556,0.2813357654569707,0.2980555555555556,0.2699265880242361,0.31810287762116346
true,low,0.30194444444444446,0.2839754647267316,0.30194444444444446,0.2743354546134514,0.3219373717445581
true,low,0.3059722222222222,0.288181375433442,0.3059722222222222,0.27790926132694344,0.3262575751408864
true,low,0.3098611111111111,0.29070159307108584,0.3098611111111111,0.2811502985209834,0.32980131312544575
true,low,0.31375,0.29448978342344495,0.31375,0.28548484300650845,0.3341571050033459
true,low,0.3176388888888889,0.2977196949970916,0.3176388888888889,0.289886295740077,0.3394212173430526
true,low,0.3215277777777778,0.3021482645755403,0.3215277777777778,0.2949406998319204,0.34448892702871536
