scenario,scenario_label,expected_primary_band,band,orientation,power_simulations,mean_true_dgp_energy_ratio,median_true_dgp_energy_ratio,q025_true_dgp_energy_ratio,q975_true_dgp_energy_ratio,candidate_null_q025,candidate_null_q975,two_sided_rejection_rate,low_side_rejection_rate,high_side_rejection_rate
true,true model,none,low,H,64,0.9891496814652765,0.986132337270051,0.9144619384813838,1.0650186386712015,0.9096607463062812,1.0659893793295987,0.03125,0.015625,0.015625
true,true model,none,low,V,64,0.9981616954912623,1.0036640646661055,0.9252600465209825,1.0941176560226897,0.9346588016426693,1.0918102025990948,0.109375,0.078125,0.03125
true,true model,none,low,D,64,0.9969399160937176,1.0004388784101996,0.9295712463424516,1.0704437645660434,0.9347935093785839,1.0596273731111538,0.09375,0.046875,0.046875
true,true model,none,low,all,64,0.9947504310167523,0.9927492989143142,0.9396165323325391,1.0436462191911724,0.9565325367186183,1.0498769042421259,0.109375,0.078125,0.03125
true,true model,none,middle,H,64,0.98564079446291,0.984338982822696,0.9572983883013668,1.022707507957394,0.9558740365919604,1.0313418011474302,0.03125,0.03125,0.0
true,true model,none,middle,V,64,0.9978063561767004,0.9976906700328125,0.9698430563635834,1.0298378174971239,0.9661908343632896,1.0382109860812927,0.015625,0.015625,0.0
true,true model,none,middle,D,64,1.0023432874477956,0.9997185235131463,0.9838573210509669,1.0330932711839225,0.9730531255350447,1.030688915302018,0.046875,0.0,0.046875
true,true model,none,middle,all,64,0.9952634793624686,0.9950062729535927,0.9787365540189509,1.0144353104018782,0.9739311379148282,1.0261516883112753,0.0,0.0,0.0
true,true model,none,high,H,64,0.9983445396896428,0.9981680723607882,0.9866285169529362,1.0125340374977008,0.9851164976853718,1.02006354281619,0.0,0.0,0.0
true,true model,none,high,V,64,0.9961649660104699,0.9963360062668462,0.9815708719203875,1.0113969069097175,0.9786234004559564,1.014408570849822,0.015625,0.015625,0.0
true,true model,none,high,D,64,1.0006997913337556,1.000033337904078,0.9844710085747274,1.0148373641638628,0.9863489518578663,1.021322400711918,0.046875,0.03125,0.015625
true,true model,none,high,all,64,0.9984030990112895,0.9981586703597745,0.9891838179461094,1.0075027549553603,0.9890423868949929,1.0131988458244894,0.03125,0.03125,0.0
lon_short,longitude range 0.5x,low,low,H,64,1.533189998900498,1.5286704099319894,1.4162265298910217,1.6561082402392961,0.9229799714498582,1.0594318670218175,1.0,0.0,1.0
lon_short,longitude range 0.5x,low,low,V,64,0.6403970563687238,0.6413500506411903,0.5936163635895665,0.7056264463001645,0.9302160199146986,1.0911141914439688,1.0,1.0,0.0
lon_short,longitude range 0.5x,low,low,D,64,0.931067279513712,0.9325451729913087,0.8693441666351258,0.9997073641125889,0.945985360545892,1.0612096378523403,0.6875,0.6875,0.0
lon_short,longitude range 0.5x,low,low,all,64,1.0348847782609778,1.0357425816340458,0.9818052666202589,1.0821071069708628,0.9505592009870633,1.0534385698834632,0.21875,0.0,0.21875
lon_short,longitude range 0.5x,low,middle,H,64,1.3447078841686055,1.3410378853433182,1.3060200720215618,1.3947839522350214,0.9618195548480345,1.0253184852558597,1.0,0.0,1.0
lon_short,longitude range 0.5x,low,middle,V,64,0.5231044345607554,0.522706386427636,0.5088797315782334,0.5400573150165402,0.9668192665007262,1.0492271366911043,1.0,1.0,0.0
lon_short,longitude range 0.5x,low,middle,D,64,0.8598732008770074,0.8574211913843115,0.8450789354291153,0.8860987044198176,0.9709085742915414,1.032668783935712,1.0,1.0,0.0
lon_short,longitude range 0.5x,low,middle,all,64,0.9092285065354562,0.9092912522186745,0.8910580954222751,0.9277368551612245,0.9770853247145675,1.0265888754808012,1.0,1.0,0.0
lon_short,longitude range 0.5x,low,high,H,64,1.104963485935951,1.1044279203865373,1.0926330454899815,1.1207238188551019,0.9868927867972113,1.0187849674325555,1.0,0.0,1.0
lon_short,longitude range 0.5x,low,high,V,64,0.5664042722678064,0.5661673595838266,0.5575434461007999,0.5764996611646664,0.9821558166821595,1.017914761146507,1.0,1.0,0.0
lon_short,longitude range 0.5x,low,high,D,64,0.8751819736224777,0.8752322734000059,0.8610495073948702,0.8873962938479203,0.9882076028234383,1.020157323628538,1.0,1.0,0.0
lon_short,longitude range 0.5x,low,high,all,64,0.848849910608745,0.848011382904696,0.8408671486842356,0.8573878049711654,0.9911526825264881,1.0114981400977963,1.0,1.0,0.0
lon_long,longitude range 2x,low,low,H,64,0.7443877943978467,0.7421322930104794,0.6893357396040379,0.798592079564187,0.8911330213751658,1.0971098101211805,1.0,1.0,0.0
lon_long,longitude range 2x,low,low,V,64,2.18158942806346,2.1869503351739095,2.0138053499617867,2.3674205671447566,0.9269494013727906,1.0944629410424982,1.0,0.0,1.0
lon_long,longitude range 2x,low,low,D,64,1.5267905382055353,1.5380426048360052,1.4272167295754399,1.64744710223286,0.9304034102885668,1.0554466156463913,1.0,0.0,1.0
lon_long,longitude range 2x,low,low,all,64,1.4842559202222807,1.4854681872312625,1.3951431660814795,1.5608781743799645,0.9518691555171198,1.0519345928990909,1.0,0.0,1.0
lon_long,longitude range 2x,low,middle,H,64,0.7910417999883541,0.790777934467342,0.7678363917249961,0.8206299185291712,0.9511552895387995,1.0332788864635913,1.0,1.0,0.0
lon_long,longitude range 2x,low,middle,V,64,2.1433717592410932,2.1421450435689877,2.0773767151844105,2.210029914073686,0.9659085083707372,1.0342276248623807,1.0,0.0,1.0
lon_long,longitude range 2x,low,middle,D,64,1.4075183584579654,1.404880243382482,1.3800947848770129,1.4503974048188983,0.9698989436639043,1.0333208944393997,1.0,0.0,1.0
lon_long,longitude range 2x,low,middle,all,64,1.4473106392291375,1.4454340037388294,1.4238752333770666,1.4740789538764885,0.971310031489623,1.0293711173645999,1.0,0.0,1.0
lon_long,longitude range 2x,low,high,H,64,0.8876824358115794,0.8873097481144645,0.8772094072112021,0.9004384094727732,0.9803659512138732,1.0228052967260444,1.0,1.0,0.0
lon_long,longitude range 2x,low,high,V,64,1.5473880287200106,1.548180650113359,1.5229927468983637,1.5697318378467104,0.9784322634929387,1.0154974713279272,1.0,0.0,1.0
lon_long,longitude range 2x,low,high,D,64,1.2332856633541354,1.2317288094705738,1.2131470000028044,1.2508638809425863,0.9845099875957443,1.0225056136505544,1.0,0.0,1.0
lon_long,longitude range 2x,low,high,all,64,1.2227853759619087,1.2226888671255682,1.210629956528848,1.2338459179250996,0.9863767518134707,1.016434314997444,1.0,0.0,1.0
smooth_rough,smoothness 0.3,high,low,H,64,1.1667210672799744,1.162335004087491,1.0797436442675385,1.2574402683504278,0.9152883461462409,1.0659001617800787,0.984375,0.0,0.984375
smooth_rough,smoothness 0.3,high,low,V,64,1.1690557646566075,1.1761882537096202,1.08488670979626,1.2824955940552591,0.9370893133958498,1.0897651977787968,0.96875,0.0,0.96875
smooth_rough,smoothness 0.3,high,low,D,64,1.0552062766351367,1.0593806733582865,0.9843400817290217,1.131801286539038,0.936272992915666,1.0604775378964366,0.484375,0.0,0.484375
smooth_rough,smoothness 0.3,high,low,all,64,1.1303277028572394,1.1285132360868868,1.0689123313271294,1.1870841853702425,0.9611894075569373,1.0462249857807382,1.0,0.0,1.0
smooth_rough,smoothness 0.3,high,middle,H,64,0.9423282954510985,0.9412507537710084,0.9151435175589835,0.9784167032273164,0.9593976642939038,1.0264677820851917,0.84375,0.84375,0.0
smooth_rough,smoothness 0.3,high,middle,V,64,0.9410904774837394,0.9416861015814968,0.9141909137103806,0.9717402598278357,0.9669032856248658,1.0358643348692826,0.90625,0.90625,0.0
smooth_rough,smoothness 0.3,high,middle,D,64,0.7887114387395728,0.7859775497367444,0.7745224908101827,0.8120445520971342,0.9718694160153222,1.0290448639987884,1.0,1.0,0.0
