time_k,time_l,outer_rectangle_index,inner_rectangle_index,outer_rectangle_id,inner_rectangle_id,outer_delta_lat,outer_delta_lon,inner_delta_lat,inner_delta_lon,center_lat_grid,center_lon_grid,outer_length_squared,inner_length_squared,short_cross_distance,long_cross_distance,cross_distance_squared_multiset,axis_assignment,relative_handedness,orientation_key,reported_strict_global_tie,deltaH_AA,deltaH_AB,deltaH_BB,H0_AA,H0_AB,H0_BB,lambda_min,axis_symmetrized_H0_AA,axis_symmetrized_H0_AB,axis_symmetrized_H0_BB,axis_symmetrized_lambda_min,deltaH_max_abs_deviation_from_reference,H0_max_abs_deviation_from_reference,lambda_reference_deltaH_actual_H0,lambda_actual_deltaH_reference_H0
0,1,2940,5180,s004_020_t00_01,s009_015_t00_01,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596864,16.992565190851678,3.7390416056413938,16.976163160983514,-0.19027520927526692,16.992565190851678,3.7390418092148461,16.976163163843122,-0.19027520739344558,0,0,-0.19027520927526692,-0.19027520927526692
0,1,2940,2408,s004_020_t00_01,s003_021_t00_01,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914684874,-4.0522604580349304,0.16722651712596864,16.992565190851678,3.7390420127882984,16.976163166702726,-0.19027520551162433,16.992565190851678,3.7390418092148439,16.976163163843118,-0.19027520739344558,8.8817841970012523e-16,4.0714690463516945e-07,-0.19027520551162438,-0.19027520927526687
0,1,644,3444,s000_024_t00_01,s005_019_t00_01,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596864,16.992565190851678,3.7390416056413938,16.976163160983514,-0.19027520927526692,16.992565190851678,3.7390418092148461,16.976163163843122,-0.19027520739344558,0,0,-0.19027520927526692,-0.19027520927526692
0,1,644,1260,s000_024_t00_01,s001_023_t00_01,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914684874,-4.0522604580349304,0.16722651712596864,16.992565190851678,3.7390420127882984,16.976163166702726,-0.19027520551162433,16.992565190851678,3.7390418092148434,16.976163163843118,-0.19027520739344558,8.8817841970012523e-16,4.0714690463516945e-07,-0.19027520551162438,-0.19027520927526687
1,2,2947,5187,s004_020_t01_02,s009_015_t01_02,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596687,16.992565190851678,3.7390416056413933,16.976163160983511,-0.19027520927526698,16.992565190851678,3.7390418092148465,16.976163163843118,-0.19027520739344561,1.7763568394002505e-15,3.5527136788005009e-15,-0.19027520927526692,-0.19027520927526692
1,2,2947,2415,s004_020_t01_02,s003_021_t01_02,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914684874,-4.0522604580349295,0.16722651712596678,16.992565190851678,3.7390420127882988,16.976163166702726,-0.1902752055116243,16.992565190851678,3.739041809214843,16.976163163843118,-0.19027520739344556,1.8596235662471372e-15,4.0714690507925866e-07,-0.19027520551162438,-0.19027520927526687
1,2,651,3451,s000_024_t01_02,s005_019_t01_02,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596864,16.992565190851678,3.7390416056413933,16.976163160983514,-0.19027520927526692,16.992565190851678,3.7390418092148465,16.976163163843118,-0.19027520739344558,0,4.4408920985006262e-16,-0.19027520927526692,-0.19027520927526692
1,2,651,1267,s000_024_t01_02,s001_023_t01_02,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914684874,-4.0522604580349295,0.16722651712596684,16.992565190851678,3.7390420127882984,16.976163166702726,-0.19027520551162436,16.992565190851678,3.739041809214843,16.976163163843118,-0.19027520739344556,1.8041124150158794e-15,4.0714690463516945e-07,-0.19027520551162438,-0.19027520927526687
2,3,2953,5193,s004_020_t02_03,s009_015_t02_03,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914683028,-4.0522604580349313,0.16722651712596687,16.992565190851678,3.7390416056413933,16.976163160983514,-0.19027520927526695,16.992565190851678,3.7390418092148456,16.976163163843118,-0.19027520739344564,1.8457457784393227e-15,4.4408920985006262e-16,-0.19027520927526692,-0.19027520927526695
2,3,2953,2421,s004_020_t02_03,s003_021_t02_03,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914683028,-4.0522604580349313,0.16722651712596687,16.992565190851678,3.7390420127883006,16.976163166702726,-0.19027520551162447,16.992565190851678,3.7390418092148447,16.976163163843118,-0.19027520739344564,1.8457457784393227e-15,4.071469068556155e-07,-0.19027520551162436,-0.19027520927526695
2,3,657,3457,s000_024_t02_03,s005_019_t02_03,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914684804,-4.0522604580349313,0.16722651712596687,16.992565190851678,3.7390416056413933,16.976163160983514,-0.19027520927526695,16.992565190851678,3.7390418092148456,16.976163163843118,-0.19027520739344561,1.7763568394002505e-15,4.4408920985006262e-16,-0.19027520927526692,-0.19027520927526692
2,3,657,1273,s000_024_t02_03,s001_023_t02_03,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914684804,-4.0522604580349313,0.16722651712596864,16.992565190851678,3.7390420127883006,16.976163166702726,-0.19027520551162436,16.992565190851678,3.7390418092148447,16.976163163843118,-0.19027520739344558,6.9388939039072284e-17,4.071469068556155e-07,-0.19027520551162436,-0.19027520927526692
3,4,2958,5198,s004_020_t03_04,s009_015_t03_04,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914683167,-4.0522604580349313,0.16722651712596692,16.992565190851678,3.7390416056413938,16.976163160983511,-0.19027520927526698,16.992565190851678,3.7390418092148456,16.976163163843118,-0.19027520739344564,1.7208456881689926e-15,3.5527136788005009e-15,-0.19027520927526692,-0.19027520927526692
3,4,2958,2426,s004_020_t03_04,s003_021_t03_04,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914683167,-4.0522604580349313,0.16722651712596864,16.992565190851678,3.7390420127883006,16.976163166702722,-0.19027520551162447,16.992565190851678,3.7390418092148456,16.976163163843115,-0.19027520739344561,1.7069679003611782e-15,4.071469068556155e-07,-0.19027520551162441,-0.19027520927526692
3,4,662,3462,s000_024_t03_04,s005_019_t03_04,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596692,16.992565190851678,3.7390416056413938,16.976163160983511,-0.19027520927526698,16.992565190851678,3.7390418092148456,16.976163163843118,-0.19027520739344561,1.7208456881689926e-15,3.5527136788005009e-15,-0.19027520927526692,-0.19027520927526692
3,4,662,1278,s000_024_t03_04,s001_023_t03_04,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914684874,-4.0522604580349313,0.16722651712596864,16.992565190851678,3.7390420127883006,16.976163166702726,-0.19027520551162436,16.992565190851678,3.7390418092148456,16.976163163843118,-0.19027520739344558,0,4.071469068556155e-07,-0.19027520551162436,-0.19027520927526692
4,5,2962,5202,s004_020_t04_05,s009_015_t04_05,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914683097,-4.0522604580349313,0.16722651712596501,16.992565190851682,3.7390416056413929,16.976163160983518,-0.190275209275267,16.992565190851682,3.7390418092148456,16.976163163843122,-0.19027520739344567,3.6359804056473877e-15,3.5527136788005009e-15,-0.19027520927526692,-0.190275209275267
4,5,2962,2430,s004_020_t04_05,s003_021_t04_05,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914683097,-4.0522604580349313,0.16722651712596687,16.992565190851682,3.7390420127883002,16.976163166702726,-0.1902752055116245,16.992565190851682,3.7390418092148452,16.976163163843118,-0.19027520739344564,1.7763568394002505e-15,4.0714690641152629e-07,-0.19027520551162438,-0.19027520927526695
4,5,666,3466,s000_024_t04_05,s005_019_t04_05,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914681252,-4.0522604580349313,0.16722651712596498,16.992565190851685,3.7390416056413929,16.976163160983518,-0.19027520927526703,16.992565190851685,3.7390418092148456,16.976163163843125,-0.19027520739344572,3.6637359812630166e-15,7.1054273576010019e-15,-0.19027520927526687,-0.19027520927526706
4,5,666,1282,s000_024_t04_05,s001_023_t04_05,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914681252,-4.0522604580349313,0.16722651712596687,16.992565190851685,3.7390420127883006,16.976163166702726,-0.19027520551162444,16.992565190851685,3.7390418092148447,16.976163163843118,-0.19027520739344575,3.6221026178395732e-15,4.071469068556155e-07,-0.19027520551162433,-0.19027520927526706
5,6,2965,5205,s004_020_t05_06,s009_015_t05_06,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914684804,-4.0522604580349313,0.16722651712596687,16.992565190851678,3.7390416056413929,16.976163160983514,-0.19027520927526695,16.992565190851678,3.7390418092148456,16.976163163843122,-0.19027520739344561,1.7763568394002505e-15,8.8817841970012523e-16,-0.19027520927526692,-0.19027520927526692
5,6,2965,2433,s004_020_t05_06,s003_021_t05_06,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914684804,-4.0522604580349304,0.16722651712596687,16.992565190851678,3.7390420127882997,16.976163166702726,-0.19027520551162436,16.992565190851678,3.7390418092148434,16.976163163843118,-0.19027520739344561,1.7763568394002505e-15,4.0714690596743708e-07,-0.19027520551162438,-0.19027520927526689
5,6,669,3469,s000_024_t05_06,s005_019_t05_06,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914684804,-4.0522604580349313,0.16722651712596687,16.992565190851678,3.7390416056413929,16.976163160983514,-0.19027520927526695,16.992565190851678,3.7390418092148456,16.976163163843122,-0.19027520739344561,1.7763568394002505e-15,8.8817841970012523e-16,-0.19027520927526692,-0.19027520927526692
5,6,669,1285,s000_024_t05_06,s001_023_t05_06,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914684804,-4.0522604580349304,0.16722651712596687,16.992565190851678,3.7390420127882997,16.976163166702726,-0.19027520551162436,16.992565190851678,3.7390418092148439,16.976163163843118,-0.19027520739344561,1.7763568394002505e-15,4.0714690596743708e-07,-0.19027520551162438,-0.19027520927526689
6,7,2967,5207,s004_020_t06_07,s009_015_t06_07,4,-4,2,-4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,counterclockwise,"outer=(4,-4);inner=(2,-4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596509,16.992565190851678,3.7390416056413942,16.976163160983514,-0.19027520927526695,16.992565190851678,3.7390418092148465,16.976163163843118,-0.19027520739344564,3.5527136788005009e-15,4.4408920985006262e-16,-0.19027520927526689,-0.190275209275267
6,7,2967,2435,s004_020_t06_07,s003_021_t06_07,4,-4,4,-2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,clockwise,"outer=(4,-4);inner=(4,-2)",False,0.051935141914684874,-4.0522604580349295,0.16722651712596692,16.992565190851678,3.7390420127882988,16.976163166702726,-0.1902752055116243,16.992565190851678,3.739041809214843,16.976163163843118,-0.19027520739344556,1.7763568394002505e-15,4.0714690507925866e-07,-0.19027520551162438,-0.19027520927526687
6,7,671,3471,s000_024_t06_07,s005_019_t06_07,4,4,2,4,2,2,32,20,1,5,1;1;25;25,inner_long_longitude,clockwise,"outer=(4,4);inner=(2,4)",True,0.051935141914684874,-4.0522604580349313,0.16722651712596509,16.992565190851678,3.7390416056413942,16.976163160983514,-0.19027520927526695,16.992565190851678,3.7390418092148465,16.976163163843118,-0.19027520739344564,3.5527136788005009e-15,4.4408920985006262e-16,-0.19027520927526689,-0.190275209275267
6,7,671,1287,s000_024_t06_07,s001_023_t06_07,4,4,4,2,2,2,32,20,1,5,1;1;25;25,inner_long_latitude,counterclockwise,"outer=(4,4);inner=(4,2)",False,0.051935141914684874,-4.0522604580349295,0.16722651712596692,16.992565190851678,3.7390420127882988,16.976163166702726,-0.1902752055116243,16.992565190851678,3.739041809214843,16.976163163843118,-0.19027520739344556,1.7763568394002505e-15,4.0714690507925866e-07,-0.19027520551162438,-0.19027520927526687
