axis_assignment,pair_count,spatial_orientation_count,reported_strict_tie_count,deltaH_AA,deltaH_AB,deltaH_BB,H0_AA,H0_AB,H0_BB,lambda_min,lambda_within_assignment_span,axis_symmetrized_lambda_min
inner_long_longitude,14,2,14,0.051935141914684228,-4.0522604580349304,0.16722651712596673,16.992565190851678,3.7390416056413929,16.976163160983507,-0.190275209275267,1.1102230246251565e-16,-0.19027520739344567
inner_long_latitude,14,2,0,0.051935141914684228,-4.0522604580349304,0.16722651712596748,16.992565190851678,3.7390420127883002,16.976163166702722,-0.19027520551162436,1.9428902930940239e-16,-0.19027520739344564
