year,month,day_num,model,n_anchor_obs,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
2022,7,1,Vecchia_mm20,1515,242.0831,242.3903,242.5168,242.9785,243.3498,243.8202,244.4863,246.3783,1.6920,0.0635
2022,7,1,Debiased_Whittle,1515,242.0897,242.3955,242.5208,242.9799,243.3497,243.8172,244.4806,246.3752,1.6958,0.0597
2022,7,1,Corridor_4x4_lag643,1515,242.0834,242.3906,242.5174,242.9797,243.3512,243.8216,244.4846,246.3798,1.7020,0.0595
2022,7,2,Vecchia_mm20,1481,244.6301,244.2976,244.1943,244.4506,245.0080,244.8925,245.8913,247.7256,2.0200,-0.2589
2022,7,2,Debiased_Whittle,1481,244.5028,244.2084,244.0508,244.2923,244.8285,244.7073,245.6756,247.5344,2.0136,-0.3024
2022,7,2,Corridor_4x4_lag643,1481,244.5448,244.2311,244.0853,244.3258,244.8677,244.7449,245.7225,247.5762,2.0119,-0.2919
2022,7,3,Vecchia_mm20,1370,248.6683,248.4325,248.6266,248.2978,248.6647,249.1191,249.6722,251.4539,1.7633,0.2883
2022,7,3,Debiased_Whittle,1370,248.6099,248.4182,248.6297,248.3241,248.6637,249.0817,249.5935,251.3891,1.7427,0.3035
2022,7,3,Corridor_4x4_lag643,1370,248.6298,248.4256,248.6351,248.3160,248.6619,249.0870,249.6096,251.3968,1.7488,0.2985
2022,7,4,Vecchia_mm20,1493,246.4412,246.5362,245.9326,246.3315,246.4202,246.8596,247.8396,249.7450,1.6083,-0.2348
2022,7,4,Debiased_Whittle,1493,246.4418,246.5247,245.9212,246.2972,246.3902,246.8290,247.7668,249.7261,1.5754,-0.2277
2022,7,4,Corridor_4x4_lag643,1493,246.4420,246.5251,245.9183,246.2987,246.3875,246.8228,247.7745,249.7245,1.5809,-0.2264
2022,7,5,Vecchia_mm20,1381,248.6756,248.8386,248.6598,248.6019,248.9346,248.8488,249.4446,250.8279,1.6332,-0.2553
2022,7,5,Debiased_Whittle,1381,248.7277,248.8594,248.6745,248.6340,248.9464,248.8456,249.4815,250.8323,1.6836,-0.2475
2022,7,5,Corridor_4x4_lag643,1381,248.7203,248.8591,248.6741,248.6277,248.9524,248.8529,249.4726,250.8354,1.6733,-0.2518
2022,7,6,Vecchia_mm20,1507,245.9006,245.8109,245.7770,245.8611,246.3548,246.1130,247.5434,249.6616,0.5890,-0.2948
2022,7,6,Debiased_Whittle,1507,245.8655,245.8764,245.8558,245.9884,246.5423,246.3296,247.7700,249.8832,0.5172,-0.2619
2022,7,6,Corridor_4x4_lag643,1507,245.8933,245.8661,245.8554,245.9726,246.5020,246.2783,247.7208,249.8463,0.5318,-0.2652
2022,7,7,Vecchia_mm20,1361,250.1563,249.1998,248.7170,248.6014,248.1575,247.9698,248.2848,250.1094,0.7786,-0.3359
2022,7,7,Debiased_Whittle,1361,250.4525,249.5294,249.0314,248.8810,248.4010,248.2043,248.4911,250.2776,0.7779,-0.3822
2022,7,7,Corridor_4x4_lag643,1361,250.4437,249.4823,248.9825,248.8419,248.3673,248.1685,248.4662,250.2634,0.7766,-0.3757
2022,7,8,Vecchia_mm20,1287,251.3932,251.3396,251.4437,251.2735,250.6991,250.2053,251.3030,252.1551,0.9385,-0.3226
2022,7,8,Debiased_Whittle,1287,251.7227,251.6743,251.7288,251.5459,250.9499,250.3914,251.4182,252.2822,1.0201,-0.2769
2022,7,8,Corridor_4x4_lag643,1287,251.6456,251.5956,251.6690,251.4858,250.8909,250.3547,251.4102,252.2604,0.9916,-0.2897
2022,7,9,Vecchia_mm20,1442,247.6297,247.2183,246.9295,246.9215,246.4837,246.6156,246.9101,248.6320,1.0695,0.2129
2022,7,9,Debiased_Whittle,1442,247.8193,247.4081,247.1227,247.0756,246.6269,246.7542,247.0269,248.7240,1.1052,0.2226
2022,7,9,Corridor_4x4_lag643,1442,247.7884,247.3616,247.0688,247.0472,246.5742,246.7097,246.9967,248.7109,1.0911,0.2215
2022,7,10,Vecchia_mm20,1363,247.2878,246.8624,246.3294,245.9961,246.4168,246.3907,247.2283,248.9732,1.0256,-0.4327
2022,7,10,Debiased_Whittle,1363,247.2882,246.8299,246.3907,246.0343,246.4747,246.3980,247.1857,248.9139,1.2070,-0.4488
2022,7,10,Corridor_4x4_lag643,1363,247.3227,246.8779,246.3910,246.0507,246.4570,246.4072,247.1958,248.9272,1.1540,-0.4499
2022,7,11,Vecchia_mm20,1380,249.1978,248.7963,247.8166,247.3241,247.1787,247.4690,248.6401,250.2762,1.1823,0.0250
2022,7,11,Debiased_Whittle,1380,249.1957,248.7835,247.8238,247.3228,247.1915,247.4785,248.6600,250.2954,1.2725,0.0475
2022,7,11,Corridor_4x4_lag643,1380,249.1954,248.7966,247.8290,247.3353,247.1831,247.4890,248.6592,250.2956,1.2625,0.0461
2022,7,12,Vecchia_mm20,1404,249.9111,249.6487,249.4512,249.6575,249.7463,249.9985,249.7635,251.9680,1.8885,-0.3292
2022,7,12,Debiased_Whittle,1404,249.7184,249.4488,249.2395,249.4374,249.5547,249.8505,249.6363,251.8651,1.9777,-0.3727
2022,7,12,Corridor_4x4_lag643,1404,249.7517,249.4841,249.2808,249.4812,249.5820,249.8609,249.6426,251.8629,1.9714,-0.3693
2022,7,13,Vecchia_mm20,1496,250.1076,249.6365,249.1471,248.7241,248.7141,248.7617,249.2519,250.9320,1.6059,0.0200
2022,7,13,Debiased_Whittle,1496,249.9989,249.5002,248.9861,248.5569,248.5330,248.5777,249.0867,250.7657,1.5609,0.0434
2022,7,13,Corridor_4x4_lag643,1496,250.0250,249.5430,249.0429,248.6212,248.5941,248.6332,249.1398,250.8126,1.5734,0.0315
2022,7,14,Vecchia_mm20,1457,249.2066,249.1306,248.5823,248.2421,248.5507,248.3720,249.3230,251.2197,-0.0115,-0.1274
2022,7,14,Debiased_Whittle,1457,249.0645,248.9375,248.3501,247.9728,248.2874,248.1307,249.1337,251.1128,0.0567,-0.1281
2022,7,14,Corridor_4x4_lag643,1457,249.0812,248.9773,248.4096,248.0491,248.3581,248.1925,249.1719,251.1188,0.0401,-0.1296
2022,7,15,Vecchia_mm20,1285,251.6487,251.6493,251.9834,252.1423,252.5152,252.8763,253.2162,254.4919,1.3439,-0.5842
2022,7,15,Debiased_Whittle,1285,251.4083,251.4077,251.7656,251.9121,252.2663,252.5768,252.9139,254.2546,1.1886,-0.5725
2022,7,15,Corridor_4x4_lag643,1285,251.4315,251.4414,251.7881,251.9380,252.2952,252.6259,252.9659,254.2805,1.2107,-0.5727
2022,7,16,Vecchia_mm20,1412,255.6930,255.2557,255.0584,254.7689,255.0004,255.1148,255.9203,257.6966,1.3346,-0.1859
2022,7,16,Debiased_Whittle,1412,255.9187,255.4795,255.2646,254.9791,255.1455,255.2103,255.9582,257.6908,1.1478,-0.1271
2022,7,16,Corridor_4x4_lag643,1412,255.8849,255.4461,255.2339,254.9385,255.1138,255.1893,255.9505,257.6945,1.1808,-0.1373
2022,7,17,Vecchia_mm20,1489,255.9482,255.6186,255.3532,254.6843,254.4858,254.2881,254.4830,255.9137,0.8817,-0.1130
