data_type,day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,coords,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.500000,raw,1.126622,0.524780,0.080481,3.245450,0.034228,94.818459,29.215811,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget_free,0.500000,raw,1.092922,0.357711,0.084330,1.043610,0.140864,7.408625,7.099037,2.194752
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.500000,raw,0.959928,0.357847,0.084032,2.060249,0.024012,85.800828,41.645852,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget_free,0.500000,raw,0.839198,0.431652,0.081714,0.194995,337.928606,0.000577,0.002959,1.857630
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.500000,raw,0.991021,0.332358,0.078072,2.670752,0.037512,71.198170,26.658472,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget_free,0.500000,raw,0.925947,0.454630,0.078963,2.625487,0.038013,69.068590,26.306964,0.045333
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.500000,raw,1.277747,0.322377,0.078103,9.727430,0.119721,81.250749,8.352746,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget_free,0.500000,raw,1.209194,0.340389,0.078638,9.233174,0.280684,32.895281,3.562727,1.723832
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.500000,raw,1.113207,0.328911,0.074788,3.476012,0.040954,84.874983,24.417346,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget_free,0.500000,raw,1.086479,0.352985,0.078501,1.658255,0.124524,13.316706,8.030552,1.898226
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.500000,raw,1.111339,0.310735,0.071347,2.821100,0.025977,108.598846,38.495215,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget_free,0.500000,raw,1.082673,0.358370,0.089004,0.664901,0.096709,6.875299,10.340329,2.158143
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.500000,raw,1.006886,0.413672,0.086321,2.744502,0.038496,71.292765,25.976578,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget_free,0.500000,raw,1.013464,0.327041,0.076249,0.861140,0.544055,1.582820,1.838051,1.921137
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.500000,raw,1.070646,0.258139,0.093753,4.455206,0.066902,66.592625,14.947147,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget_free,0.500000,raw,1.064311,0.294768,0.071736,3.264459,0.184762,17.668458,5.412370,1.517599
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.500000,raw,1.115650,0.293182,0.075682,2.689936,0.022465,119.738641,44.513573,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget_free,0.500000,raw,1.075503,0.343567,0.072393,0.464826,0.144811,3.209874,6.905542,2.218890
