candidate,hour,n_source_slots,n_effective_slots,raw_bbox_pixels,step2_good_pixels,unusable_for_step2_pixels,unusable_for_step2_pct,step2_good_pct
lat1to6_lon129to139,0,30,30,1057268,959808,97460,9.218097965700277,90.78190203429972
lat1to6_lon129to139,1,30,30,1056648,974397,82251,7.784143820837214,92.21585617916278
lat1to6_lon129to139,2,30,30,299054,278627,20427,6.830538966206772,93.16946103379323
lat1to6_lon129to139,3,30,30,298322,278439,19883,6.664945930906873,93.33505406909313
lat1to6_lon129to139,4,30,30,298056,277796,20260,6.79738035805352,93.20261964194648
lat1to6_lon129to139,5,30,30,297925,277984,19941,6.693295292439372,93.30670470756063
lat1to6_lon129to139,6,30,30,297497,282465,15032,5.052824062091382,94.94717593790861
lat1to6_lon129to139,7,30,30,297070,285182,11888,4.001750429191773,95.99824957080823
lat1to6_lon135to145,0,30,30,395848,357125,38723,9.782290171985206,90.21770982801479
lat1to6_lon135to145,1,30,30,395131,365501,29630,7.49877888598971,92.50122111401029
lat1to6_lon135to145,2,30,0,0,0,0,,
lat1to6_lon135to145,3,30,0,0,0,0,,
lat1to6_lon135to145,4,30,0,0,0,0,,
lat1to6_lon135to145,5,30,0,0,0,0,,
lat1to6_lon135to145,6,30,0,0,0,0,,
lat1to6_lon135to145,7,30,0,0,0,0,,
