candidate,date,raw_bbox_pixels,step2_good_pixels,unusable_for_step2_pixels,unusable_for_step2_pct,step2_good_pct
lat1to6_lon129to139,2022-07-01,130349,128625,1724,1.3226031653484107,98.67739683465159
lat1to6_lon129to139,2022-07-02,130417,126894,3523,2.701334948664668,97.29866505133533
lat1to6_lon129to139,2022-07-03,130412,109236,21176,16.237769530411313,83.76223046958869
lat1to6_lon129to139,2022-07-04,130309,119533,10776,8.269574626464788,91.73042537353521
lat1to6_lon129to139,2022-07-05,130094,125610,4484,3.446738512152751,96.55326148784725
lat1to6_lon129to139,2022-07-06,130090,116899,13191,10.139903143977246,89.86009685602275
lat1to6_lon129to139,2022-07-07,129824,118286,11538,8.887416810451072,91.11258318954893
lat1to6_lon129to139,2022-07-08,129683,119493,10190,7.857622047608399,92.1423779523916
lat1to6_lon129to139,2022-07-09,129803,114513,15290,11.779388766053174,88.22061123394683
lat1to6_lon129to139,2022-07-10,129981,124391,5590,4.300628553403959,95.69937144659605
lat1to6_lon129to139,2022-07-11,130127,121735,8392,6.449084356052165,93.55091564394783
lat1to6_lon129to139,2022-07-12,130181,113135,17046,13.094076708582666,86.90592329141734
lat1to6_lon129to139,2022-07-13,130194,116746,13448,10.329201038450313,89.67079896154969
lat1to6_lon129to139,2022-07-14,130037,118467,11570,8.89746764382445,91.10253235617554
lat1to6_lon129to139,2022-07-15,130169,124751,5418,4.162281341947776,95.83771865805222
lat1to6_lon129to139,2022-07-16,130169,103882,26287,20.19451635950188,79.80548364049812
lat1to6_lon129to139,2022-07-17,130193,114148,16045,12.32401127556781,87.67598872443219
lat1to6_lon129to139,2022-07-18,130123,126678,3445,2.647495062364071,97.35250493763593
lat1to6_lon129to139,2022-07-19,129959,117904,12055,9.2760024315361,90.7239975684639
lat1to6_lon129to139,2022-07-20,129810,122826,6984,5.380171019181881,94.61982898081811
lat1to6_lon129to139,2022-07-21,129666,111494,18172,14.014467940709206,85.98553205929079
lat1to6_lon129to139,2022-07-22,129765,119159,10606,8.173236234732016,91.82676376526798
lat1to6_lon129to139,2022-07-23,129945,119392,10553,8.12112816961022,91.87887183038978
lat1to6_lon129to139,2022-07-24,130117,123525,6592,5.066209642091349,94.93379035790865
lat1to6_lon129to139,2022-07-25,130250,128025,2225,1.7082533589251438,98.29174664107485
lat1to6_lon129to139,2022-07-26,130324,126923,3401,2.6096497958933123,97.39035020410668
lat1to6_lon129to139,2022-07-27,130193,126576,3617,2.778183158848786,97.22181684115121
lat1to6_lon129to139,2022-07-28,129978,129138,840,0.6462632137746388,99.35373678622535
lat1to6_lon129to139,2022-07-30,129808,128341,1467,1.1301306545051153,98.86986934549489
lat1to6_lon129to139,2022-07-31,129870,118373,11497,8.852698852698852,91.14730114730115
lat1to6_lon135to145,2022-07-01,26423,25798,625,2.365363509064073,97.63463649093593
lat1to6_lon135to145,2022-07-02,26426,25779,647,2.4483463255884357,97.55165367441157
lat1to6_lon135to145,2022-07-03,26416,23889,2527,9.566172016959419,90.43382798304059
lat1to6_lon135to145,2022-07-04,26403,21892,4511,17.085179714426392,82.91482028557361
lat1to6_lon135to145,2022-07-05,26379,25837,542,2.0546646954016454,97.94533530459836
lat1to6_lon135to145,2022-07-06,26402,24920,1482,5.613211120369669,94.38678887963033
lat1to6_lon135to145,2022-07-07,26346,21415,4931,18.716313671904654,81.28368632809534
lat1to6_lon135to145,2022-07-08,26290,25309,981,3.7314568276911375,96.26854317230887
lat1to6_lon135to145,2022-07-09,26326,24445,1881,7.145027729241055,92.85497227075895
lat1to6_lon135to145,2022-07-10,26351,25125,1226,4.652574854844218,95.34742514515578
lat1to6_lon135to145,2022-07-11,26383,23603,2780,10.537088276541713,89.46291172345829
lat1to6_lon135to145,2022-07-12,26375,25006,1369,5.190521327014218,94.80947867298578
lat1to6_lon135to145,2022-07-13,26349,23633,2716,10.307791567042392,89.69220843295761
lat1to6_lon135to145,2022-07-14,26310,22586,3724,14.154313949068795,85.8456860509312
lat1to6_lon135to145,2022-07-15,26335,24439,1896,7.199544332637175,92.80045566736283
lat1to6_lon135to145,2022-07-16,26349,24523,1826,6.930054271509356,93.06994572849065
lat1to6_lon135to145,2022-07-17,26404,16905,9499,35.97560975609756,64.02439024390245
lat1to6_lon135to145,2022-07-18,26420,24594,1826,6.911430734292203,93.0885692657078
lat1to6_lon135to145,2022-07-19,26416,21332,5084,19.245911568746216,80.75408843125379
lat1to6_lon135to145,2022-07-20,26329,20636,5693,21.62254548216795,78.37745451783205
lat1to6_lon135to145,2022-07-21,26297,23570,2727,10.370004182986653,89.62999581701335
lat1to6_lon135to145,2022-07-22,26313,22260,4053,15.403032721468476,84.59696727853152
lat1to6_lon135to145,2022-07-23,26340,25076,1264,4.798785117691724,95.20121488230828
lat1to6_lon135to145,2022-07-24,26373,24018,2355,8.929587077693094,91.0704129223069
lat1to6_lon135to145,2022-07-25,26380,26217,163,0.6178923426838514,99.38210765731615
lat1to6_lon135to145,2022-07-26,26392,26007,385,1.4587753864807518,98.54122461351925
lat1to6_lon135to145,2022-07-27,26360,25699,661,2.5075872534142643,97.49241274658574
lat1to6_lon135to145,2022-07-28,26339,26260,79,0.2999354569269904,99.70006454307301
lat1to6_lon135to145,2022-07-30,26367,26356,11,0.041718815185648725,99.95828118481435
lat1to6_lon135to145,2022-07-31,26386,25497,889,3.369210945198211,96.6307890548018
