year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2025,7,1,lon,Vecchia_mm20,0.1800,7.2623,15779.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,7.3930,16295,14.5919,9.4274,15740,17.3518,9.1231,15382,19.5354,8.4063,15085,18.6540,7.7501,15568,15.4044,6.0307,15388,13.4510,5.4133,16205,11.3957,4.5548,16574.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.3690,9.1147,15287.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,9.1952,15871,14.5919,11.7851,15289,17.3518,11.4635,14877,19.5354,10.9031,14506,18.6540,9.6880,14988,15.4044,7.6528,14811,13.4510,6.8526,15767,11.3957,5.3775,16192.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.5580,10.2910,14849.2500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,10.4034,15461,14.5919,13.0249,14846,17.3518,12.7704,14450,19.5354,12.3986,13998,18.6540,11.0536,14493,15.4044,8.8587,14318,13.4510,7.9374,15365,11.3957,5.8811,15863.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.7470,11.2295,14452.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,11.1948,15050,14.5919,13.5805,14452,17.3518,14.0665,14064,19.5354,13.7008,13546,18.6540,12.1572,14041,15.4044,9.9436,13915,13.4510,8.9567,15018,11.3957,6.2361,15534.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.9360,11.8969,14092.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,11.8331,14661,14.5919,14.3321,14094,17.3518,14.8076,13694,19.5354,14.7981,13188,18.6540,12.8483,13666,15.4044,10.5851,13563,13.4510,9.6260,14680,11.3957,6.3452,15195.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.1250,12.3355,13758.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.1999,14307,14.5919,14.4007,13737,17.3518,15.3462,13345,19.5354,15.7448,12912,18.6540,13.2104,13321,15.4044,11.1450,13196,13.4510,10.1182,14369,11.3957,6.5184,14877.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.3140,12.6329,13429.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.4303,13954,14.5919,14.2880,13400,17.3518,15.6135,13004,19.5354,16.3335,12682,18.6540,13.5760,12992,15.4044,11.6104,12831,13.4510,10.5006,14032,11.3957,6.7111,14543.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.5030,12.7960,13109.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.7939,13602,14.5919,14.1762,13059,17.3518,15.7669,12667,19.5354,16.3811,12430,18.6540,13.9547,12717,15.4044,11.7967,12487,13.4510,10.7539,13680,11.3957,6.7449,14231.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.6920,12.9075,12794.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.6328,13272,14.5919,14.2840,12723,17.3518,16.2232,12336,19.5354,16.3667,12194,18.6540,14.2620,12424,15.4044,11.6742,12158,13.4510,10.9054,13343,11.3957,6.9119,13903.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.8810,12.9977,12477.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.6627,12939,14.5919,14.2718,12369,17.3518,16.8498,11994,19.5354,16.7636,11877,18.6540,14.3173,12181,15.4044,11.3507,11862,13.4510,10.7879,13007,11.3957,6.9774,13592.0000,7.7096
2025,7,1,lat,Debiased_Whittle,0.0440,4.1818,16228.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,4.6212,16640,14.5772,5.8259,16157,17.4470,5.1435,15806,19.4568,4.3760,15612,18.5485,4.3475,16053,15.3882,3.2940,15891,13.3475,2.8699,16667,11.2491,2.9766,17002.0000,7.6478
2025,7,1,lat,Debiased_Whittle,0.1320,7.3150,15645.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,7.5509,16131,14.5772,9.9029,15602,17.4470,9.1152,15219,19.4568,8.3602,14917,18.5485,7.6193,15430,15.3882,5.9831,15268,13.3475,5.2861,16106,11.2491,4.7022,16492.0000,7.6478
2025,7,1,lat,Debiased_Whittle,0.1760,8.1994,15416.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,8.3469,15918,14.5772,10.9139,15372,17.4470,10.3960,14964,19.4568,9.6377,14650,18.5485,8.4601,15191,15.3882,6.7753,15025,13.3475,5.9764,15908,11.2491,5.0889,16304.0000,7.6478
2025,7,1,lat,Debiased_Whittle,0.3960,10.7507,14461.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,10.7622,14983,14.5772,13.8566,14360,17.4470,14.0324,13902,19.4568,12.3472,13604,18.5485,10.5987,14200,15.3882,9.7346,14045,13.3475,8.1980,15077,11.2491,6.4754,15523.0000,7.6478
