year,month,day_num,model,n_anchor_obs,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
2025,7,1,Vecchia_mm20,1424,242.1581,242.1868,242.1868,242.5554,242.5594,243.1640,243.2523,244.1221,1.3186,0.2458
2025,7,1,Debiased_Whittle,1424,242.1503,242.1611,242.1813,242.6149,242.5891,243.1788,243.2536,244.1172,1.2485,0.2916
2025,7,1,Corridor_4x4_lag643,1424,242.1578,242.1850,242.1865,242.5981,242.5965,243.1873,243.2646,244.1201,1.2622,0.2828
2025,7,2,Vecchia_mm20,1330,242.7038,242.6859,243.2262,243.2991,243.8105,243.9419,244.1074,245.6398,0.8479,-0.1573
2025,7,2,Debiased_Whittle,1330,242.7704,242.8226,243.3683,243.4886,243.9934,244.0959,244.2187,245.6938,0.8574,-0.2377
2025,7,2,Corridor_4x4_lag643,1330,242.7787,242.8167,243.3705,243.4588,243.9680,244.0721,244.2015,245.6902,0.8587,-0.2191
2025,7,3,Vecchia_mm20,1515,240.6109,240.4264,239.5556,238.6447,239.4861,238.9584,239.3361,240.6466,0.6048,-0.0693
2025,7,3,Debiased_Whittle,1515,240.7207,240.5715,239.7549,238.8007,239.6066,239.0286,239.3910,240.6836,0.5718,-0.1348
2025,7,3,Corridor_4x4_lag643,1515,240.7148,240.5629,239.7329,238.7879,239.5980,239.0259,239.3850,240.6809,0.5737,-0.1250
2025,7,4,Vecchia_mm20,1497,235.4987,235.4954,234.7122,234.8555,235.5265,235.7168,237.4336,239.8102,0.9501,-0.3029
2025,7,4,Debiased_Whittle,1497,235.4949,235.4898,234.7101,234.8540,235.5167,235.7009,237.4119,239.7855,0.9323,-0.3198
2025,7,4,Corridor_4x4_lag643,1497,235.4958,235.4920,234.7104,234.8531,235.5181,235.7037,237.4177,239.7926,0.9360,-0.3162
2025,7,5,Vecchia_mm20,1490,243.6523,242.4004,240.7051,240.5244,240.1332,240.5871,241.7374,243.1926,0.5128,-0.0084
2025,7,5,Debiased_Whittle,1490,243.6092,242.3038,240.5837,240.4178,240.0261,240.4751,241.6480,243.1551,0.5482,0.0198
2025,7,5,Corridor_4x4_lag643,1490,243.6077,242.3189,240.5950,240.4324,240.0375,240.4856,241.6572,243.1484,0.5357,0.0133
2025,7,6,Vecchia_mm20,1467,242.8383,241.6906,241.2332,240.4686,240.4532,240.9009,241.5129,243.6561,1.3428,-0.0403
2025,7,6,Debiased_Whittle,1467,242.7951,241.6227,241.1574,240.4204,240.3841,240.8039,241.4419,243.5990,1.4321,-0.0874
2025,7,6,Corridor_4x4_lag643,1467,242.8040,241.6407,241.1781,240.4333,240.4033,240.8345,241.4600,243.6126,1.4193,-0.0811
