year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2025,7,1,lat,Corridor_4x4_lag643,3.1615,2.2226,2.1381,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,Debiased_Whittle,5.6223,4.7937,4.7937,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751
2025,7,1,lat,Vecchia_mm20,1.4938,1.1380,-0.0157,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940
2025,7,1,lon,Corridor_4x4_lag643,0.5562,0.4539,-0.1818,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lon,Debiased_Whittle,2.6800,2.4606,2.4606,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751
2025,7,1,lon,Vecchia_mm20,2.2291,1.9901,-1.9901,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940
2025,7,2,lat,Corridor_4x4_lag643,2.0086,1.5003,0.7988,7.5882,0.1887,0.2685,0.9915,-0.0053,-0.2916,1.0556
2025,7,2,lat,Debiased_Whittle,3.9238,3.2392,3.2392,4.8618,0.1520,0.1904,1.0636,0.0043,-0.4466,0.9543
2025,7,2,lat,Vecchia_mm20,1.2522,0.9992,-0.0899,8.5452,0.3268,0.5688,1.6053,0.0041,-0.1889,1.9327
2025,7,2,lon,Corridor_4x4_lag643,0.9190,0.8365,-0.8365,7.5882,0.1887,0.2685,0.9915,-0.0053,-0.2916,1.0556
2025,7,2,lon,Debiased_Whittle,1.6463,1.5067,1.5067,4.8618,0.1520,0.1904,1.0636,0.0043,-0.4466,0.9543
2025,7,2,lon,Vecchia_mm20,1.4407,1.2676,-1.2676,8.5452,0.3268,0.5688,1.6053,0.0041,-0.1889,1.9327
2025,7,3,lat,Corridor_4x4_lag643,1.4396,1.2345,0.7270,11.0159,0.1530,0.2222,0.9926,-0.0400,-0.2507,2.1888
2025,7,3,lat,Debiased_Whittle,5.1920,4.9103,4.9103,7.3905,0.1373,0.1929,0.9083,-0.0633,-0.3094,1.2716
2025,7,3,lat,Vecchia_mm20,0.8825,0.7080,-0.6692,12.4526,0.2550,0.3930,1.4604,-0.0230,-0.1381,3.2648
2025,7,3,lon,Corridor_4x4_lag643,0.7382,0.6448,-0.5517,11.0159,0.1530,0.2222,0.9926,-0.0400,-0.2507,2.1888
2025,7,3,lon,Debiased_Whittle,3.5936,3.4783,3.4783,7.3905,0.1373,0.1929,0.9083,-0.0633,-0.3094,1.2716
2025,7,3,lon,Vecchia_mm20,1.8736,1.6329,-1.6329,12.4526,0.2550,0.3930,1.4604,-0.0230,-0.1381,3.2648
2025,7,4,lat,Corridor_4x4_lag643,1.2969,0.9819,0.9813,10.6301,0.1510,0.1867,1.1244,-0.0014,-0.0131,2.3924
2025,7,4,lat,Debiased_Whittle,5.1089,4.9523,4.9523,6.7565,0.1344,0.1584,1.0481,-0.0001,-0.0003,1.8540
2025,7,4,lat,Vecchia_mm20,1.1521,0.9156,0.9040,10.0272,0.2031,0.2686,1.5987,-0.0045,-0.0172,3.4398
2025,7,4,lon,Corridor_4x4_lag643,0.8021,0.5918,-0.3613,10.6301,0.1510,0.1867,1.1244,-0.0014,-0.0131,2.3924
2025,7,4,lon,Debiased_Whittle,3.6126,3.5225,3.5225,6.7565,0.1344,0.1584,1.0481,-0.0001,-0.0003,1.8540
2025,7,4,lon,Vecchia_mm20,0.9014,0.7722,-0.3003,10.0272,0.2031,0.2686,1.5987,-0.0045,-0.0172,3.4398
2025,7,5,lat,Corridor_4x4_lag643,2.9913,2.6586,1.9331,17.2388,0.1575,0.2078,1.0746,0.0085,-0.3957,1.4687
2025,7,5,lat,Debiased_Whittle,4.2279,3.7036,3.2397,16.4135,0.1271,0.1616,1.1702,-0.0350,-0.4416,0.6533
2025,7,5,lat,Vecchia_mm20,1.7342,1.3997,-1.3088,20.0855,0.2447,0.3328,1.5630,0.0029,-0.4044,2.9463
2025,7,5,lon,Corridor_4x4_lag643,1.3292,1.1888,-0.1915,17.2388,0.1575,0.2078,1.0746,0.0085,-0.3957,1.4687
2025,7,5,lon,Debiased_Whittle,1.9972,1.6421,1.0274,16.4135,0.1271,0.1616,1.1702,-0.0350,-0.4416,0.6533
2025,7,5,lon,Vecchia_mm20,2.9608,2.8364,-2.8364,20.0855,0.2447,0.3328,1.5630,0.0029,-0.4044,2.9463
2025,7,6,lat,Corridor_4x4_lag643,6.3396,4.7558,3.7615,17.4777,0.1953,0.2887,1.1627,0.0687,-0.3228,1.9987
2025,7,6,lat,Debiased_Whittle,7.1263,5.4412,4.5334,16.7865,0.1877,0.2412,1.0883,0.0588,-0.3658,1.5359
2025,7,6,lat,Vecchia_mm20,4.7131,3.1267,2.6305,18.8992,0.2735,0.4558,1.5659,0.0549,-0.2353,3.1041
2025,7,6,lon,Corridor_4x4_lag643,1.6266,1.4652,-0.5891,17.4777,0.1953,0.2887,1.1627,0.0687,-0.3228,1.9987
2025,7,6,lon,Debiased_Whittle,1.8601,1.5885,0.0640,16.7865,0.1877,0.2412,1.0883,0.0588,-0.3658,1.5359
2025,7,6,lon,Vecchia_mm20,1.4980,1.2095,-1.1453,18.8992,0.2735,0.4558,1.5659,0.0549,-0.2353,3.1041
2025,7,7,lat,Corridor_4x4_lag643,1.4946,1.1710,0.3711,11.8774,0.1815,0.2658,1.1567,0.0059,-0.2500,1.1196
2025,7,7,lat,Debiased_Whittle,4.8996,4.3515,4.3515,7.9682,0.1243,0.1828,1.1112,-0.0023,-0.4059,0.3215
2025,7,7,lat,Vecchia_mm20,1.8968,1.6155,-1.6149,14.7416,0.2956,0.5380,1.8198,0.0180,-0.2075,1.7465
2025,7,7,lon,Corridor_4x4_lag643,1.4399,1.2761,-0.0352,11.8774,0.1815,0.2658,1.1567,0.0059,-0.2500,1.1196
2025,7,7,lon,Debiased_Whittle,4.3792,3.7743,3.7743,7.9682,0.1243,0.1828,1.1112,-0.0023,-0.4059,0.3215
2025,7,7,lon,Vecchia_mm20,1.2703,1.1288,-1.1288,14.7416,0.2956,0.5380,1.8198,0.0180,-0.2075,1.7465
2025,7,8,lat,Corridor_4x4_lag643,2.6052,1.9599,1.5437,11.5394,0.1608,0.2496,1.0211,-0.0293,-0.2013,2.3030
2025,7,8,lat,Debiased_Whittle,4.6470,3.8842,3.8842,9.3895,0.1395,0.2112,1.0792,-0.0034,-0.3104,1.6992
2025,7,8,lat,Vecchia_mm20,1.5263,1.3613,-0.8831,14.0464,0.2609,0.4395,1.6022,-0.0339,-0.1377,3.4889
2025,7,8,lon,Corridor_4x4_lag643,1.0845,0.9222,-0.1311,11.5394,0.1608,0.2496,1.0211,-0.0293,-0.2013,2.3030
2025,7,8,lon,Debiased_Whittle,2.6166,2.1849,2.1849,9.3895,0.1395,0.2112,1.0792,-0.0034,-0.3104,1.6992
2025,7,8,lon,Vecchia_mm20,2.1910,2.0074,-2.0074,14.0464,0.2609,0.4395,1.6022,-0.0339,-0.1377,3.4889
2025,7,9,lat,Corridor_4x4_lag643,3.2041,2.1388,1.9062,10.7315,0.1999,0.3008,1.2444,-0.0058,0.0079,1.2936
2025,7,9,lat,Debiased_Whittle,5.0179,3.8977,3.5171,8.6338,0.1544,0.2353,1.0635,0.0311,-0.4825,0.7521
2025,7,9,lat,Vecchia_mm20,2.3618,1.6343,1.4619,11.6124,0.3570,0.5731,1.9829,0.0009,-0.0179,1.9724
2025,7,9,lon,Corridor_4x4_lag643,1.7846,1.5289,-1.5281,10.7315,0.1999,0.3008,1.2444,-0.0058,0.0079,1.2936
2025,7,9,lon,Debiased_Whittle,0.9511,0.8619,0.1227,8.6338,0.1544,0.2353,1.0635,0.0311,-0.4825,0.7521
2025,7,9,lon,Vecchia_mm20,1.9700,1.7361,-1.4071,11.6124,0.3570,0.5731,1.9829,0.0009,-0.0179,1.9724
2025,7,10,lat,Corridor_4x4_lag643,1.3781,1.0948,-0.0826,14.9879,0.2262,0.2986,1.3126,-0.0183,0.0044,1.7702
2025,7,10,lat,Debiased_Whittle,3.9881,3.4852,3.4852,10.6728,0.1792,0.2535,0.9707,0.0001,-0.0001,1.5415
2025,7,10,lat,Vecchia_mm20,2.2651,1.8141,-1.7074,17.3202,0.3831,0.5449,1.9162,-0.0411,-0.0218,2.7472
2025,7,10,lon,Corridor_4x4_lag643,1.1465,0.8585,0.2638,14.9879,0.2262,0.2986,1.3126,-0.0183,0.0044,1.7702
2025,7,10,lon,Debiased_Whittle,4.1383,3.6640,3.6640,10.6728,0.1792,0.2535,0.9707,0.0001,-0.0001,1.5415
2025,7,10,lon,Vecchia_mm20,0.9449,0.7709,-0.6855,17.3202,0.3831,0.5449,1.9162,-0.0411,-0.0218,2.7472
2025,7,11,lat,Corridor_4x4_lag643,7.2662,5.0724,5.0198,14.0562,0.2509,0.3226,1.3829,-0.0040,-0.0822,1.1179
2025,7,11,lat,Debiased_Whittle,8.8525,6.4240,6.4025,12.2562,0.1735,0.2066,0.9599,0.0121,-0.1031,0.5967
2025,7,11,lat,Vecchia_mm20,4.2222,2.8589,2.6094,18.8157,0.5090,0.6403,2.3043,-0.0076,-0.0558,1.7962
2025,7,11,lon,Corridor_4x4_lag643,2.4681,1.6847,1.4027,14.0562,0.2509,0.3226,1.3829,-0.0040,-0.0822,1.1179
2025,7,11,lon,Debiased_Whittle,3.8033,2.7308,2.5374,12.2562,0.1735,0.2066,0.9599,0.0121,-0.1031,0.5967
2025,7,11,lon,Vecchia_mm20,1.2281,0.9492,-0.3596,18.8157,0.5090,0.6403,2.3043,-0.0076,-0.0558,1.7962
2025,7,12,lat,Corridor_4x4_lag643,4.5018,3.5412,2.2289,14.8423,0.1802,0.2733,1.1085,-0.0084,-0.3352,1.8263
2025,7,12,lat,Debiased_Whittle,4.6663,3.9471,1.4557,15.6606,0.1413,0.1974,1.1961,-0.0243,-0.4254,1.2828
