year,month,day_num,direction,lag,mean_over_7_pairs,mean_pair_count,pair_1_2,n_pairs_1_2,pair_2_3,n_pairs_2_3,pair_3_4,n_pairs_3_4,pair_4_5,n_pairs_4_5,pair_5_6,n_pairs_5_6,pair_6_7,n_pairs_6_7,pair_7_8,n_pairs_7_8
2025,7,1,lat,-2.1560,19.8018,8831.8571,22.7727,9013,21.4052,8632,23.1662,8245,22.6725,8436,19.5373,8625,15.2415,9277,13.8173,9595.0000
2025,7,1,lat,-1.9360,18.6142,9599.7143,21.9607,9789,20.3232,9413,21.8619,9024,20.6983,9196,19.0189,9397,13.8612,10028,12.5754,10351.0000
2025,7,1,lat,-1.7160,17.3565,10340.4286,20.4258,10577,19.5494,10179,20.5547,9798,19.3126,9950,17.6558,10079,12.5488,10701,11.4484,11099.0000
2025,7,1,lat,-1.4960,16.5185,11042.2857,19.1692,11308,18.8919,10933,20.0013,10540,18.1450,10625,16.5172,10767,12.1215,11344,10.7834,11779.0000
2025,7,1,lat,-1.2760,15.8544,11679.2857,18.3283,11872,18.5800,11528,18.4360,11201,16.9576,11266,15.8704,11452,11.9255,11974,10.8828,12462.0000
2025,7,1,lat,-1.0560,15.1203,12255.1429,17.1781,12448,17.4926,12066,16.8225,11701,15.9240,11785,15.2973,12044,12.1365,12586,10.9912,13156.0000
2025,7,1,lat,-0.8360,14.0523,12881.2857,15.3158,13100,16.0865,12643,15.3190,12238,14.8808,12360,14.1271,12690,12.0553,13256,10.5820,13882.0000
2025,7,1,lat,-0.6160,13.1869,13564.4286,14.1137,13850,15.6279,13294,14.5856,12833,13.7176,13072,12.9354,13382,11.3632,13874,9.9646,14646.0000
2025,7,1,lat,-0.3960,12.3507,14324.2857,13.5172,14698,15.0357,14107,14.4501,13651,13.1155,13820,11.5186,14102,9.8906,14527,8.9275,15365.0000
2025,7,1,lat,-0.1760,11.0874,15143.1429,12.4694,15582,13.5246,15010,12.8811,14563,11.7947,14640,10.0943,14899,8.7906,15268,8.0568,16040.0000
2025,7,1,lat,-0.1320,10.7975,15311.7143,12.2775,15744,13.2470,15193,12.3755,14761,11.3864,14808,9.8613,15076,8.5452,15417,7.8897,16183.0000
2025,7,1,lat,-0.0440,10.0434,15634.5714,11.2901,16048,12.4129,15526,11.1580,15131,10.5805,15110,9.2650,15419,8.0337,15732,7.5635,16476.0000
2025,7,1,lat,0.0000,9.5341,15781.0000,10.5058,16186,11.8089,15677,10.3687,15293,10.2359,15243,8.7622,15573,7.6667,15882,7.3906,16613.0000
2025,7,1,lat,0.0440,9.8218,15629.8571,11.0233,16020,12.0823,15519,10.6355,15152,10.4638,15074,9.2443,15419,7.8446,15740,7.4587,16485.0000
2025,7,1,lat,0.1320,10.2921,15296.7143,11.5278,15685,12.7840,15159,11.2437,14786,10.7382,14738,9.8665,15091,8.3090,15433,7.5757,16185.0000
2025,7,1,lat,0.1760,10.5510,15115.8571,11.8171,15494,13.1254,14962,11.6948,14597,10.9197,14542,10.0092,14906,8.6151,15285,7.6760,16025.0000
2025,7,1,lat,0.3960,11.8491,14260.4286,13.0889,14557,14.5088,14016,13.1209,13732,12.1073,13751,11.3755,14042,10.2334,14462,8.5086,15263.0000
