year,month,day_num,direction,lag,model,fitted_gamma_tau1,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2025,7,1,lat,-2.1560,Corridor_4x4_lag643,12.9369,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-1.9360,Corridor_4x4_lag643,12.9368,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-1.7160,Corridor_4x4_lag643,12.9364,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-1.4960,Corridor_4x4_lag643,12.9350,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-1.2760,Corridor_4x4_lag643,12.9302,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-1.0560,Corridor_4x4_lag643,12.9142,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-0.8360,Corridor_4x4_lag643,12.8607,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-0.6160,Corridor_4x4_lag643,12.6871,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-0.3960,Corridor_4x4_lag643,12.1620,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-0.1760,Corridor_4x4_lag643,10.8995,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-0.1320,Corridor_4x4_lag643,10.5812,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,-0.0440,Corridor_4x4_lag643,10.0685,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,0.0000,Corridor_4x4_lag643,9.9582,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,0.0440,Corridor_4x4_lag643,9.9837,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,0.1320,Corridor_4x4_lag643,10.3915,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,0.1760,Corridor_4x4_lag643,10.6970,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,lat,0.3960,Corridor_4x4_lag643,12.0494,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
