variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n0,1145,8.33052159,1.28591984,0.99923975,1549.20275597,1140.79362583,0.36752372,0.49909883,0.13157511,0.33305014,0.40199730
s05_n0,1146,8.32575931,0.21437321,0.99960085,1549.41712919,1141.79322668,0.36784576,0.49916789,0.13132213,0.33337218,0.40231934
s05_n0,1147,8.32094396,1.05916536,0.99952919,1550.47629455,1142.79275587,0.36816777,0.49950912,0.13134135,0.33369419,0.40264135
s05_n0,1148,8.31890622,0.49665413,0.99974949,1550.97294868,1143.79250536,0.36848985,0.49966912,0.13117927,0.33401627,0.40296343
s05_n0,1149,8.31750687,0.84221982,0.99852059,1551.81516850,1144.79102595,0.36881154,0.49994045,0.13112891,0.33433796,0.40328512
s05_n0,1150,8.31529171,0.03385418,0.99970318,1551.84902269,1145.79072914,0.36913361,0.49995136,0.13081775,0.33466003,0.40360719
s05_n0,1151,8.31506518,1.10022914,0.99911097,1552.94925182,1146.78984011,0.36945549,0.50030582,0.13085033,0.33498191,0.40392907
s05_n0,1152,8.31051755,4.86848163,0.99581336,1557.81773345,1147.78565347,0.36977631,0.50187427,0.13209796,0.33530273,0.40424989
s05_n0,1153,8.30817124,0.00202504,0.99959041,1557.81975848,1148.78524387,0.37009834,0.50187492,0.13177658,0.33562476,0.40457192
s05_n0,1154,8.30634995,3.30859630,0.99793620,1561.12835478,1149.78318007,0.37041984,0.50294084,0.13252100,0.33594626,0.40489342
s05_n0,1155,8.30306697,0.10755100,0.99952586,1561.23590578,1150.78270593,0.37074185,0.50297549,0.13223363,0.33626827,0.40521543
s05_n0,1156,8.30249829,0.19215830,0.99982234,1561.42806408,1151.78252827,0.37106396,0.50303739,0.13197343,0.33659038,0.40553754
s05_n0,1157,8.29950290,0.22245798,0.99887070,1561.65052205,1152.78139897,0.37138576,0.50310906,0.13172330,0.33691218,0.40585934
s05_n0,1158,8.29375168,3.36539888,0.99955588,1565.01592094,1153.78095485,0.37170778,0.50419327,0.13248549,0.33723420,0.40618136
s05_n0,1159,8.29225948,0.19858490,0.99661893,1565.21450584,1154.77757379,0.37202886,0.50425725,0.13222839,0.33755528,0.40650244
s05_n0,1160,8.29136675,0.00000066,0.99753457,1565.21450649,1155.77510836,0.37235023,0.50425725,0.13190702,0.33787665,0.40682381
s05_n0,1161,8.29053779,1.12063867,0.99939552,1566.33514517,1156.77450388,0.37267220,0.50461828,0.13194608,0.33819862,0.40714578
s05_n0,1162,8.28659793,3.40650913,0.99990365,1569.74165429,1157.77440753,0.37299433,0.50571574,0.13272141,0.33852075,0.40746791
s05_n0,1163,8.28371676,0.27512283,0.99976393,1570.01677712,1158.77417146,0.37331642,0.50580437,0.13248795,0.33884284,0.40779000
s05_n0,1164,8.27936804,0.43222718,0.99924463,1570.44900431,1159.77341609,0.37363834,0.50594362,0.13230528,0.33916476,0.40811192
s05_n0,1165,8.27762313,0.30754538,0.99978597,1570.75654969,1160.77320206,0.37396044,0.50604270,0.13208226,0.33948686,0.40843402
s05_n0,1166,8.27329883,0.05045119,0.99978814,1570.80700088,1161.77299020,0.37428254,0.50605896,0.13177642,0.33980896,0.40875611
s05_n0,1167,8.27151745,2.54318167,0.99932021,1573.35018255,1162.77231041,0.37460448,0.50687828,0.13227380,0.34013090,0.40907806
s05_n0,1168,8.26919281,2.99614331,0.99720395,1576.34632586,1163.76951437,0.37492575,0.50784353,0.13291779,0.34045217,0.40939932
s05_n0,1169,8.26695773,0.02683364,0.99862640,1576.37315950,1164.76814077,0.37524747,0.50785218,0.13260471,0.34077389,0.40972105
s05_n0,1170,8.26298246,0.64121306,0.99777698,1577.01437256,1165.76591775,0.37556892,0.50805875,0.13248984,0.34109534,0.41004250
s05_n0,1171,8.26250212,0.43733926,0.99973254,1577.45171182,1166.76565029,0.37589100,0.50819965,0.13230865,0.34141742,0.41036457
s05_n0,1172,8.26070982,0.81197057,0.99635060,1578.26368239,1167.76200089,0.37621198,0.50846124,0.13224925,0.34173841,0.41068556
s05_n0,1173,8.25630619,0.02220508,0.99953505,1578.28588748,1168.76153594,0.37653400,0.50846839,0.13193439,0.34206042,0.41100758
s05_n0,1174,8.25510258,2.87094546,0.99595762,1581.15683293,1169.75749356,0.37685486,0.50939331,0.13253845,0.34238128,0.41132844
s05_n0,1175,8.25348667,1.86161160,0.99957626,1583.01844454,1170.75706982,0.37717689,0.50999306,0.13281616,0.34270331,0.41165047
s05_n0,1176,8.24958727,2.35989324,0.99978997,1585.37833778,1171.75685979,0.37749899,0.51075333,0.13325434,0.34302541,0.41197257
s05_n0,1177,8.24922831,0.06898731,0.99782344,1585.44732508,1172.75468323,0.37782045,0.51077556,0.13295510,0.34334687,0.41229403
s05_n0,1178,8.24771689,0.46329918,0.99432522,1585.91062426,1173.74900845,0.37814079,0.51092481,0.13278403,0.34366721,0.41261437
s05_n0,1179,8.24347297,1.12579149,0.99925030,1587.03641575,1174.74825876,0.37846271,0.51128751,0.13282479,0.34398913,0.41293629
s05_n0,1180,8.24114915,0.03894534,0.99939878,1587.07536109,1175.74765753,0.37878468,0.51130005,0.13251537,0.34431110,0.41325826
s05_n0,1181,8.23737582,0.00060267,0.99859252,1587.07596377,1176.74625006,0.37910639,0.51130025,0.13219385,0.34463282,0.41357997
s05_n0,1182,8.23674299,0.26542934,0.99987984,1587.34139311,1177.74612990,0.37942852,0.51138576,0.13195724,0.34495494,0.41390210
s05_n0,1183,8.23289338,0.36663732,0.99668521,1587.70803043,1178.74281511,0.37974962,0.51150388,0.13175426,0.34527604,0.41422320
s05_n0,1184,8.23266198,0.15835644,0.99984770,1587.86638686,1179.74266281,0.38007173,0.51155489,0.13148316,0.34559816,0.41454531
s05_n0,1185,8.22594693,0.11986395,0.99973719,1587.98625082,1180.74240000,0.38039381,0.51159351,0.13119969,0.34592024,0.41486739
s05_n0,1186,8.22426895,0.23859136,0.99943555,1588.22484217,1181.74183555,0.38071580,0.51167037,0.13095458,0.34624222,0.41518938
s05_n0,1187,8.22108649,0.63212213,0.99731757,1588.85696430,1182.73915312,0.38103710,0.51187402,0.13083692,0.34656352,0.41551068
s05_n0,1188,8.22027728,0.12713480,0.99938552,1588.98409910,1183.73853864,0.38135907,0.51191498,0.13055592,0.34688549,0.41583264
s05_n0,1189,8.21468456,0.78144464,0.99930513,1589.76554374,1184.73784378,0.38168101,0.51216673,0.13048573,0.34720743,0.41615459
s05_n0,1190,8.21387494,0.42333717,0.99895564,1590.18888091,1185.73679942,0.38200283,0.51230312,0.13030028,0.34752926,0.41647641
s05_n0,1191,8.21230081,0.78390527,0.99979621,1590.97278619,1186.73659563,0.38232493,0.51255567,0.13023073,0.34785136,0.41679851
s05_n0,1192,8.20767214,0.01265766,0.99831361,1590.98544385,1187.73490924,0.38264656,0.51255974,0.12991319,0.34817298,0.41712013
s05_n0,1193,8.20583784,0.00300556,0.99516503,1590.98844941,1188.73007428,0.38296716,0.51256071,0.12959355,0.34849358,0.41744074
s05_n0,1194,8.19892598,1.41102767,0.98816397,1592.39947708,1189.71823824,0.38328551,0.51301530,0.12972978,0.34881194,0.41775909
s05_n0,1195,8.19787388,0.04206442,0.99925812,1592.44154150,1190.71749636,0.38360744,0.51302885,0.12942141,0.34913386,0.41808102
s05_n0,1196,8.19697708,1.05307024,0.99961226,1593.49461174,1191.71710861,0.38392948,0.51336811,0.12943863,0.34945590,0.41840306
s05_n0,1197,8.19318711,1.32950618,0.99877835,1594.82411792,1192.71588696,0.38425125,0.51379643,0.12954518,0.34977767,0.41872483
s05_n0,1198,8.19223556,3.89149281,0.99791682,1598.71561073,1193.71380378,0.38457275,0.51505013,0.13047739,0.35009917,0.41904633
s05_n0,1199,8.18859905,0.00253305,0.98960989,1598.71814378,1194.70341367,0.38489156,0.51505095,0.13015938,0.35041798,0.41936514
s05_n0,1200,8.18290777,0.03462988,0.99818853,1598.75277366,1195.70160220,0.38521315,0.51506210,0.12984896,0.35073957,0.41968672
s05_n0,1201,8.18162184,0.27475251,0.99825385,1599.02752616,1196.69985605,0.38553475,0.51515062,0.12961587,0.35106117,0.42000833
s05_n0,1202,8.18103965,4.76597803,0.99876315,1603.79350420,1197.69861920,0.38585651,0.51668605,0.13082954,0.35138293,0.42033009
s05_n0,1203,8.17856679,1.54672349,0.99967737,1605.34022769,1198.69829657,0.38617857,0.51718435,0.13100578,0.35170500,0.42065215
s05_n0,1204,8.17420566,0.07004119,0.99988826,1605.41026888,1199.69818483,0.38650070,0.51720692,0.13070621,0.35202712,0.42097428
s05_n0,1205,8.17237394,2.68951524,0.99385985,1608.09978412,1200.69204468,0.38682089,0.51807338,0.13125249,0.35234731,0.42129447
s05_n0,1206,8.16843404,0.08624371,0.99448382,1608.18602783,1201.68652850,0.38714128,0.51810117,0.13095989,0.35266770,0.42161486
s05_n0,1207,8.16763705,1.11668479,0.99566448,1609.30271262,1202.68219298,0.38746205,0.51846093,0.13099888,0.35298847,0.42193563
s05_n0,1208,8.16576763,0.07258598,0.99843612,1609.37529860,1203.68062910,0.38778371,0.51848431,0.13070060,0.35331013,0.42225729
s05_n0,1209,8.16241436,2.17827326,0.99878318,1611.55357187,1204.67941228,0.38810548,0.51918607,0.13108059,0.35363190,0.42257906
s05_n0,1210,8.15881596,3.83517623,0.99619923,1615.38874810,1205.67561151,0.38842642,0.52042163,0.13199521,0.35395284,0.42290000
s05_n0,1211,8.15545063,2.65629122,0.99886296,1618.04503932,1206.67447448,0.38874822,0.52127740,0.13252918,0.35427464,0.42322180
s05_n0,1212,8.15103597,0.44857391,0.99947775,1618.49361323,1207.67395223,0.38907022,0.52142191,0.13235169,0.35459664,0.42354380
s05_n0,1213,8.14990466,0.00908081,0.98722037,1618.50269404,1208.66117260,0.38938826,0.52142484,0.13203657,0.35491469,0.42386184
s05_n0,1214,8.14701749,1.44956909,0.99933761,1619.95226313,1209.66051021,0.38971022,0.52189184,0.13218162,0.35523664,0.42418380
s05_n0,1215,8.14467108,0.01485401,0.99825602,1619.96711714,1210.65876622,0.39003182,0.52189662,0.13186480,0.35555824,0.42450540
s05_n0,1216,8.14343436,0.88940623,0.99963275,1620.85652337,1211.65839897,0.39035387,0.52218316,0.13182929,0.35588029,0.42482744
s05_n0,1217,8.13985568,0.42257602,0.99776801,1621.27909938,1212.65616698,0.39067531,0.52231930,0.13164399,0.35620173,0.42514889
s05_n0,1218,8.13662350,0.00130760,0.99967454,1621.28040699,1213.65584152,0.39099737,0.52231972,0.13132235,0.35652379,0.42547095
s05_n0,1219,8.13448581,0.23239499,0.99902643,1621.51280198,1214.65486795,0.39131922,0.52239459,0.13107537,0.35684564,0.42579280
s05_n0,1220,8.13372853,6.58668394,0.99898768,1628.09948592,1215.65385564,0.39164106,0.52451659,0.13287553,0.35716748,0.42611464
s05_n0,1221,8.13174471,3.35176328,0.99921746,1631.45124920,1216.65307309,0.39196297,0.52559641,0.13363343,0.35748940,0.42643655
s05_n0,1222,8.13010457,0.46459636,0.99929917,1631.91584556,1217.65237226,0.39228491,0.52574608,0.13346117,0.35781133,0.42675849
s05_n0,1223,8.12303652,0.36803961,0.99952695,1632.28388517,1218.65189921,0.39260693,0.52586465,0.13325773,0.35813335,0.42708051
s05_n0,1224,8.12165682,1.13223356,0.99739231,1633.41611872,1219.64929152,0.39292825,0.52622942,0.13330117,0.35845467,0.42740183
s05_n0,1225,8.12078363,0.65707502,0.99931648,1634.07319374,1220.64860800,0.39325020,0.52644111,0.13319091,0.35877662,0.42772378
s05_n0,1226,8.11990082,0.57208930,0.99779044,1634.64528304,1221.64639844,0.39357165,0.52662541,0.13305376,0.35909807,0.42804523
s05_n0,1227,8.11778077,8.80003739,0.99983857,1643.44532043,1222.64623701,0.39389376,0.52946048,0.13556672,0.35942018,0.42836734
s05_n0,1228,8.11591705,0.47899249,0.99619355,1643.92431292,1223.64243057,0.39421470,0.52961479,0.13540009,0.35974112,0.42868828
s05_n0,1229,8.11205501,0.39660174,0.99820957,1644.32091466,1224.64064013,0.39453629,0.52974256,0.13520627,0.36006271,0.42900987
s05_n0,1230,8.10891092,0.17922526,0.99526807,1644.50013992,1225.63590821,0.39485693,0.52980030,0.13494337,0.36038335,0.42933051
s05_n0,1231,8.10691822,1.86672000,0.99960616,1646.36685992,1226.63551436,0.39517897,0.53040169,0.13522273,0.36070539,0.42965255
s05_n0,1232,8.10483699,0.09612837,0.99868419,1646.46298830,1227.63419855,0.39550071,0.53043266,0.13493196,0.36102713,0.42997429
s05_n0,1233,8.10152299,2.47010971,0.99952490,1648.93309801,1228.63372345,0.39582272,0.53122845,0.13540573,0.36134914,0.43029630
s05_n0,1234,8.10037765,1.67951456,0.99982768,1650.61261256,1229.63355113,0.39614483,0.53176953,0.13562470,0.36167125,0.43061841
s05_n0,1235,8.09775062,0.04551897,0.99705748,1650.65813153,1230.63060861,0.39646605,0.53178419,0.13531815,0.36199247,0.43093963
s05_n0,1236,8.09423877,0.03081740,0.99861828,1650.68894893,1231.62922689,0.39678777,0.53179412,0.13500635,0.36231419,0.43126135
s05_n0,1237,8.09288724,3.37320908,0.99920372,1654.06215801,1232.62843061,0.39710967,0.53288085,0.13577118,0.36263610,0.43158325
s05_n0,1238,8.08666212,0.63639387,0.99765352,1654.69855188,1233.62608412,0.39743108,0.53308587,0.13565479,0.36295750,0.43190466
s05_n0,1239,8.08397811,0.82665508,0.99858902,1655.52520696,1234.62467315,0.39775279,0.53335219,0.13559940,0.36327922,0.43222637
s05_n0,1240,8.08180653,2.25151531,0.99745799,1657.77672227,1235.62213114,0.39807414,0.53407755,0.13600341,0.36360056,0.43254772
s05_n0,1241,8.07748857,1.70129722,0.99983418,1659.47801949,1236.62196532,0.39839625,0.53462565,0.13622940,0.36392267,0.43286983
s05_n0,1242,8.07676149,0.65684780,0.99690814,1660.13486729,1237.61887345,0.39871742,0.53483726,0.13611984,0.36424384,0.43319100
s05_n0,1243,8.07508064,0.05894817,0.99122570,1660.19381546,1238.61009915,0.39903676,0.53485625,0.13581950,0.36456318,0.43351034
s05_n0,1244,8.07328486,0.00629560,0.99976872,1660.20011106,1239.60986787,0.39935885,0.53485828,0.13549943,0.36488527,0.43383243
s05_n0,1245,8.06986630,1.70696480,0.99973417,1661.90707585,1240.60960203,0.39968093,0.53540821,0.13572728,0.36520735,0.43415451
s05_n0,1246,8.06902479,0.01457734,0.98124437,1661.92165319,1241.59084641,0.39999705,0.53541290,0.13541585,0.36552347,0.43447063
s05_n0,1247,8.06621198,0.36104161,0.99778318,1662.28269480,1242.58862959,0.40031850,0.53552922,0.13521072,0.36584492,0.43479208
s05_n0,1248,8.06504517,0.40026015,0.99954389,1662.68295495,1243.58817348,0.40064052,0.53565817,0.13501765,0.36616694,0.43511410
s05_n0,1249,8.06276217,3.57504156,0.99979954,1666.25799651,1244.58797303,0.40096262,0.53680992,0.13584730,0.36648904,0.43543620
s05_n0,1250,8.05885119,2.72222112,0.99968428,1668.98021763,1245.58765731,0.40128468,0.53768693,0.13640224,0.36681110,0.43575826
s05_n0,1251,8.05824704,0.23191997,0.99691195,1669.21213760,1246.58456925,0.40160585,0.53776164,0.13615579,0.36713227,0.43607943
s05_n0,1252,8.05599649,0.51099340,0.99237628,1669.72313100,1247.57694554,0.40192556,0.53792627,0.13600070,0.36745198,0.43639914
s05_n0,1253,8.05321530,4.45095546,0.99975224,1674.17408646,1248.57669778,0.40224765,0.53936021,0.13711256,0.36777407,0.43672123
s05_n0,1254,8.05013813,0.04727937,0.98225433,1674.22136583,1249.55895210,0.40256410,0.53937544,0.13681134,0.36809052,0.43703767
s05_n0,1255,8.04573766,0.45426781,0.99533596,1674.67563363,1250.55428807,0.40288476,0.53952179,0.13663703,0.36841118,0.43735834
s05_n0,1256,8.04244686,0.05777378,0.99410172,1674.73340742,1251.54838978,0.40320502,0.53954040,0.13633538,0.36873144,0.43767860
s05_n0,1257,8.04173806,0.95854075,0.99788223,1675.69194816,1252.54627202,0.40352651,0.53984921,0.13632270,0.36905293,0.43800008
s05_n0,1258,8.03977182,0.32368223,0.99895864,1676.01563039,1253.54523066,0.40384833,0.53995349,0.13610515,0.36937476,0.43832191
s05_n0,1259,8.03735585,0.83299913,0.99104774,1676.84862952,1254.53627840,0.40416762,0.54022185,0.13605424,0.36969404,0.43864119
s05_n0,1260,8.03388194,0.99318008,0.99817982,1677.84180961,1255.53445822,0.40448919,0.54054182,0.13605263,0.37001561,0.43896277
s05_n0,1261,8.03324874,0.00672491,0.99984474,1677.84853452,1256.53430295,0.40481131,0.54054399,0.13573268,0.37033773,0.43928489
s05_n0,1262,8.03006977,0.47978295,0.97020159,1678.32831747,1257.50450455,0.40512387,0.54069856,0.13557468,0.37065029,0.43959745
s05_n0,1263,8.02785525,0.00655954,0.99841915,1678.33487701,1258.50292370,0.40544553,0.54070067,0.13525514,0.37097195,0.43991911
s05_n0,1264,8.02476534,1.00791799,0.99522101,1679.34279500,1259.49814471,0.40576615,0.54102538,0.13525923,0.37129258,0.44023973
s05_n0,1265,8.02311338,2.30750702,0.99436809,1681.65030202,1260.49251280,0.40608651,0.54176878,0.13568228,0.37161293,0.44056008
s05_n0,1266,8.02083445,0.22486691,0.99899797,1681.87516893,1261.49151077,0.40640835,0.54184123,0.13543288,0.37193477,0.44088193
s05_n0,1267,8.01903344,0.06052483,0.99732769,1681.93569376,1262.48883846,0.40672965,0.54186073,0.13513107,0.37225607,0.44120323
