spatial_bin_lower,spatial_bin_upper,temporal_bin_lower,temporal_bin_upper,pair_count,fraction_of_visible_pairs,mean_margin_matched_log_gap,mean_margin_matched_correlation_gap,mean_fitted_null_actual_correlation_difference
0,0.125,0,0.125,0,0,,,
0,0.125,0.125,0.25,0,0,,,
0,0.125,0.25,0.375,0,0,,,
0,0.125,0.375,0.5,0,0,,,
0,0.125,0.5,0.625,2780,0.0130648920972,0.0561847887764,0.0326324211398,0.00948712597717
0,0.125,0.625,0.75,0,0,,,
0,0.125,0.75,0.875,0,0,,,
0,0.125,0.875,1,0,0,,,
0,0.125,1,1.125,1491,0.00700710579743,0.0893079286574,0.0312179720028,0.0103367693611
0,0.125,1.125,1.25,0,0,,,
0,0.125,1.25,1.375,0,0,,,
0,0.125,1.375,1.5,0,0,,,
0,0.125,1.5,1.625,648,0.00304534175502,0.107182022861,0.0225716110422,0.00629843082556
0,0.125,1.625,1.75,0,0,,,
0,0.125,1.75,1.875,0,0,,,
0,0.125,1.875,2,0,0,,,
0,0.125,2,2.125,1109,0.00521185803444,0.08497324313,0.0109802208222,0.00320834279588
0,0.125,2.125,2.25,0,0,,,
0,0.125,2.25,2.375,0,0,,,
0,0.125,2.375,2.5,0,0,,,
0,0.125,2.5,2.625,1332,0.00625986916309,0.0580231751955,0.004601172953,0.00235363118937
0,0.125,2.625,2.75,0,0,,,
0,0.125,2.75,2.875,0,0,,,
0,0.125,2.875,3,0,0,,,
0,0.125,3,3.125,843,0.00396176404241,0.0461758090719,0.0022293237588,0.00219332989907
0,0.125,3.125,3.25,0,0,,,
0,0.125,3.25,3.375,0,0,,,
0,0.125,3.375,3.5,394,0.00185164298068,0.0662899391494,0.00192605948746,0.00165484041486
0.125,0.25,0,0.125,0,0,,,
0.125,0.25,0.125,0.25,0,0,,,
0.125,0.25,0.25,0.375,0,0,,,
0.125,0.25,0.375,0.5,0,0,,,
0.125,0.25,0.5,0.625,378,0.00177644935709,0.165707756825,0.0884554745816,0.0145754453148
0.125,0.25,0.625,0.75,0,0,,,
0.125,0.25,0.75,0.875,0,0,,,
0.125,0.25,0.875,1,0,0,,,
0.125,0.25,1,1.125,1188,0.00558312655087,0.160865777881,0.0536024220071,0.00903162910414
0.125,0.25,1.125,1.25,0,0,,,
0.125,0.25,1.25,1.375,0,0,,,
0.125,0.25,1.375,1.5,0,0,,,
0.125,0.25,1.5,1.625,1714,0.00805511692608,0.155474514677,0.0317580616251,0.0035755344645
0.125,0.25,1.625,1.75,0,0,,,
0.125,0.25,1.75,1.875,0,0,,,
0.125,0.25,1.875,2,0,0,,,
0.125,0.25,2,2.125,780,0.00366568914956,0.167921776896,0.0206740629851,0.00133670841113
0.125,0.25,2.125,2.25,0,0,,,
0.125,0.25,2.25,2.375,0,0,,,
0.125,0.25,2.375,2.5,0,0,,,
0.125,0.25,2.5,2.625,168,0.000789533047598,0.151123910757,0.011443776112,-0.0075757869768
0.125,0.25,2.625,2.75,0,0,,,
0.125,0.25,2.75,2.875,0,0,,,
0.125,0.25,2.875,3,0,0,,,
0.125,0.25,3,3.125,157,0.000737837431386,0.17668555074,0.00800875774779,-0.00348366783127
0.125,0.25,3.125,3.25,0,0,,,
0.125,0.25,3.25,3.375,0,0,,,
0.125,0.25,3.375,3.5,99,0.000465260545906,0.198131147936,0.00538437208057,-0.000706624454894
0.25,0.375,0,0.125,0,0,,,
0.25,0.375,0.125,0.25,0,0,,,
0.25,0.375,0.25,0.375,0,0,,,
0.25,0.375,0.375,0.5,0,0,,,
0.25,0.375,0.5,0.625,304,0.00142867884803,0.197578518552,0.101909877071,0.00941871796377
0.25,0.375,0.625,0.75,0,0,,,
0.25,0.375,0.75,0.875,0,0,,,
0.25,0.375,0.875,1,0,0,,,
0.25,0.375,1,1.125,308,0.00144747725393,0.239437073539,0.075312809321,-0.00775514575968
0.25,0.375,1.125,1.25,0,0,,,
0.25,0.375,1.25,1.375,0,0,,,
0.25,0.375,1.375,1.5,0,0,,,
0.25,0.375,1.5,1.625,138,0.000648545003384,0.281199655846,0.0528953167229,-0.00195958180748
0.25,0.375,1.625,1.75,0,0,,,
0.25,0.375,1.75,1.875,0,0,,,
0.25,0.375,1.875,2,0,0,,,
0.25,0.375,2,2.125,90,0.000422964132642,0.287730439729,0.0329270358287,0.00544469431121
0.25,0.375,2.125,2.25,0,0,,,
0.25,0.375,2.25,2.375,0,0,,,
0.25,0.375,2.375,2.5,0,0,,,
0.25,0.375,2.5,2.625,0,0,,,
