threshold_cells,acceptance_rate,mean_error_cells,median_error_cells,harm_rate,material_harm_rate_0p25cell,improvement_rate
0.1000000000,0.3666666667,0.4972734482,0.4203340353,0.0166666667,0.0000000000,0.3500000000
0.2500000000,0.5555555556,0.4542534348,0.3370056566,0.0388888889,0.0027777778,0.5166666667
0.5000000000,0.7944444444,0.4135536931,0.2923740283,0.1027777778,0.0222222222,0.6916666667
0.7500000000,0.8638888889,0.4034944633,0.2836701984,0.1138888889,0.0305555556,0.7500000000
1.0000000000,0.8694444444,0.4026217557,0.2836701984,0.1138888889,0.0305555556,0.7555555556
