pair,endpoint0_row,endpoint0_column,endpoint1_row,endpoint1_column,center_grid_row,center_grid_column,center_latitude,center_longitude,insertion_separation_scaled
1,57,64,59,66,58,65,-0.552,126.905,
2,14,133,16,135,15,134,1.34,122.558,17.3046727793
3,111,10,113,12,112,11,-2.928,130.307,16.4234588318
4,17,1,19,3,18,2,1.208,130.874,15.889395835
5,109,107,111,109,110,108,-2.84,124.196,14.5744468163
6,65,134,67,136,66,135,-0.904,122.495,11.2183465805
7,13,82,15,84,14,83,1.384,125.771,10.3918622008
8,64,5,66,7,65,6,-0.86,130.622,10.3740638132
9,103,58,105,60,104,59,-2.576,127.283,10.1981370848
10,30,37,32,39,31,38,0.636,128.606,8.08289552079
11,69,98,71,100,70,99,-1.08,124.763,7.61104460636
12,80,35,82,37,81,36,-1.564,128.732,6.99517690984
13,38,112,40,114,39,113,0.284,123.881,6.87942584814
14,55,30,57,32,56,31,-0.464,129.047,5.5993303171
15,38,82,40,84,39,83,0.284,125.771,5.5
16,79,75,81,77,80,76,-1.52,126.212,5.30743817675
17,111,82,113,84,112,83,-2.928,125.771,5.26840583099
18,13,108,15,110,14,109,1.384,124.133,5.25460750199
19,39,10,41,12,40,11,0.24,130.307,5.19593110039
20,111,35,113,37,112,36,-2.928,128.732,5.14067116241
21,28,61,30,63,29,62,0.724,127.094,4.92829585151
22,14,23,16,25,15,24,1.34,129.488,4.58628389876
23,90,99,92,101,91,100,-2.004,124.7,4.50497502768
24,75,55,77,57,76,56,-1.344,127.472,4.29120029828
25,13,48,15,50,14,49,1.384,127.913,4.28286119317
26,57,115,59,117,58,116,-0.552,123.692,4.22720948144
27,96,25,98,27,97,26,-2.268,129.362,3.91152144312
28,53,91,55,93,54,92,-0.376,125.204,3.80290678298
29,81,2,83,4,82,3,-1.608,130.811,3.79269033801
30,26,97,28,99,27,98,0.812,124.826,3.67637049275
31,44,128,46,130,45,129,0.02,122.873,3.60998614956
32,59,47,61,49,60,48,-0.64,127.976,3.59701264941
33,95,42,97,44,96,43,-2.224,128.291,3.57677228797
34,28,125,30,127,29,126,0.724,123.062,3.50612321518
35,43,59,45,61,44,60,0.064,127.22,3.25405900377
36,89,63,91,65,90,64,-1.96,126.968,3.25405900377
37,63,78,65,80,64,79,-0.816,126.023,3.22273176048
38,41,25,43,27,42,26,0.152,129.362,3.1805817078
39,13,67,15,69,14,68,1.384,126.716,3.15
40,97,82,99,84,98,83,-2.312,125.771,3.08
41,25,13,27,15,26,14,0.856,130.118,3.07375991255
42,72,23,74,25,73,24,-1.212,129.488,3.07375991255
43,26,76,28,78,27,77,0.812,126.149,2.92526921838
44,43,39,45,41,44,40,0.064,128.48,2.89067466174
45,67,36,69,38,68,37,-0.992,128.669,2.86769942637
46,25,112,27,114,26,113,0.856,123.881,2.77041513135
47,79,90,81,92,80,91,-1.52,125.267,2.76810404429
48,111,68,113,70,112,69,-2.928,126.653,2.74
49,13,95,15,97,14,96,1.384,124.952,2.73
50,50,16,52,18,51,17,-0.244,129.929,2.72836947645
