mode,time_index,anchor_rank,grid_latitude,grid_longitude,source_latitude,source_longitude,training_eigenvalue,training_g_score,weight
1,0,54,-2.312,129.299,-2.3137798,129.29619,1.54368593708,0.0547564573979,-6.54983541862e-05
1,0,55,-0.332,125.267,-0.3308977,125.28261,1.54368593708,0.0547564573979,-5.8947882021e-06
1,0,56,-0.42,125.141,-0.41751105,125.15724,1.54368593708,0.0547564573979,-1.97276393298e-06
1,0,57,-1.564,130.874,-1.5577885,130.85797,1.54368593708,0.0547564573979,-0.00114428742457
1,0,58,-1.652,130.748,-1.6445295,130.7326,1.54368593708,0.0547564573979,-0.000355686818949
1,0,59,0.856,124.889,0.8631922,124.85966,1.54368593708,0.0547564573979,1.08574768742e-05
1,0,60,0.768,124.763,0.77685314,124.734245,1.54368593708,0.0547564573979,7.01649731102e-06
1,0,61,0.064,122.936,0.06285566,122.91994,1.54368593708,0.0547564573979,1.66262306591e-07
1,0,62,-0.024,122.81,-0.023905147,122.79413,1.54368593708,0.0547564573979,6.13914286828e-08
1,0,63,-0.596,128.039,-0.5967832,128.0127,1.54368593708,0.0547564573979,0.000325139896954
1,0,64,-0.684,127.913,-0.683233,127.88748,1.54368593708,0.0547564573979,-1.39210916496e-05
1,0,65,-2.18,128.354,-2.181322,128.3659,1.54368593708,0.0547564573979,3.88250047259e-06
1,0,66,-2.268,128.228,-2.2677875,128.24045,1.54368593708,0.0547564573979,1.93625865943e-05
1,0,67,0.768,123.125,0.7574632,123.11406,1.54368593708,0.0547564573979,3.17906894688e-08
1,0,68,0.68,122.999,0.67056745,122.98842,1.54368593708,0.0547564573979,1.17714473337e-07
1,0,69,0.108,127.283,0.09893517,127.275444,1.54368593708,0.0547564573979,-0.000715178901355
1,0,70,0.02,127.157,0.012432622,127.15021,1.54368593708,0.0547564573979,-0.000287275069616
1,0,71,-1.916,127.031,-1.9177951,127.00229,1.54368593708,0.0547564573979,1.2514603649e-05
1,0,72,-2.004,126.905,-2.0043683,126.87685,1.54368593708,0.0547564573979,6.50960000027e-06
1,0,73,-0.772,126.086,-0.76683563,126.08528,1.54368593708,0.0547564573979,-4.59241508243e-05
1,0,74,-0.86,125.96,-0.8531471,125.96001,1.54368593708,0.0547564573979,-2.27605942553e-05
1,0,75,0.196,129.425,0.20264424,129.45016,1.54368593708,0.0547564573979,0.00874491168719
1,0,76,0.108,129.299,0.11592225,129.32497,1.54368593708,0.0547564573979,0.01163101282
1,0,77,1.428,126.779,1.4231304,126.7921,1.54368593708,0.0547564573979,-3.92144630788e-05
1,0,78,1.34,126.653,1.3365779,126.667015,1.54368593708,0.0547564573979,-2.41669532398e-05
1,0,79,-2.268,125.834,-2.2634404,125.817024,1.54368593708,0.0547564573979,-8.32783223209e-08
1,0,80,-2.356,125.708,-2.3498907,125.69129,1.54368593708,0.0547564573979,-1.116689223e-07
1,0,81,0.9,130.181,0.89464325,130.2033,1.54368593708,0.0547564573979,0.00107013408362
1,0,82,0.812,130.055,0.80804515,130.07808,1.54368593708,0.0547564573979,0.00144670196
1,0,83,-1.168,129.551,-1.1641237,129.5584,1.54368593708,0.0547564573979,0.000906384296475
1,0,84,-1.256,129.425,-1.2504156,129.43315,1.54368593708,0.0547564573979,0.00681030257919
1,0,85,0.856,126.212,0.85946995,126.227516,1.54368593708,0.0547564573979,-6.56252792588e-05
1,0,86,0.768,126.086,0.77304494,126.10234,1.54368593708,0.0547564573979,6.85885171702e-06
1,0,87,0.108,128.543,0.117562324,128.51778,1.54368593708,0.0547564573979,-0.000298935685067
1,0,88,0.02,128.417,0.0096122455,128.3923,1.54368593708,0.0547564573979,-0.000689271502373
1,0,89,-0.948,128.732,-0.9454363,128.75392,1.54368593708,0.0547564573979,0.0043587700403
1,0,90,-1.036,128.606,-1.0320597,128.62863,1.54368593708,0.0547564573979,0.00444813225622
1,0,91,0.9,123.944,0.90806746,123.92616,1.54368593708,0.0547564573979,2.30688748696e-06
1,0,92,0.812,123.818,0.8215161,123.80076,1.54368593708,0.0547564573979,8.81719415114e-07
1,0,93,-1.476,125.33,-1.4808103,125.33034,1.54368593708,0.0547564573979,-2.53091676441e-05
1,0,94,-1.564,125.204,-1.5674855,125.20485,1.54368593708,0.0547564573979,-5.96706858446e-06
1,0,95,-2.884,126.716,-2.8945048,126.74014,1.54368593708,0.0547564573979,6.33654348256e-07
1,0,96,-2.972,126.59,-2.9812531,126.61457,1.54368593708,0.0547564573979,4.94628396089e-07
1,0,97,1.428,125.015,1.4265375,124.98899,1.54368593708,0.0547564573979,8.92555507291e-06
1,0,98,1.34,124.889,1.3405591,124.8639,1.54368593708,0.0547564573979,1.46016628586e-05
1,0,99,-0.2,129.992,-0.1894879,130.00433,1.54368593708,0.0547564573979,0.143927327292
1,0,100,-0.288,129.866,-0.2975505,129.87885,1.54368593708,0.0547564573979,0.0696946339396
1,1,1,-0.42,126.779,-0.42211702,126.76753,1.54368593708,0.0547564573979,-0.000189625692
1,1,2,-0.508,126.653,-0.50846446,126.64239,1.54368593708,0.0547564573979,-2.16026939327e-05
1,1,3,1.472,122.432,1.4736798,122.426094,1.54368593708,0.0547564573979,-1.09375833945e-07
1,1,4,1.384,122.306,1.3871812,122.30041,1.54368593708,0.0547564573979,-7.27644421396e-08
1,1,5,-2.796,130.181,-2.794545,130.15573,1.54368593708,0.0547564573979,-5.96812072552e-06
1,1,6,-2.884,130.055,-2.8810833,130.03036,1.54368593708,0.0547564573979,-8.08313463965e-07
1,1,7,1.34,130.748,1.3485827,130.76341,1.54368593708,0.0547564573979,-1.92436708958e-05
