rank_by_g,eigenvalue,log2_eigenvalue,g_score,cumulative_g,cumulative_g_fraction,variance_direction
1,1.21165219241,0.27697562926,0.00983365795279,0.00983365795279,0.020001193631,true_gt_null
2,1.19345621166,0.255145634385,0.00830136727571,0.0181350252285,0.0368857807379,true_gt_null
3,1.18974874712,0.250656935246,0.00800329958118,0.0261383248097,0.0531641122986,true_gt_null
4,1.15946736951,0.213462219292,0.00575331702803,0.0318916418377,0.0648660861165,true_gt_null
5,1.15944156491,0.213430110933,0.00575154263318,0.0376431844709,0.0765644508995,true_gt_null
6,0.860007329543,-0.217579139432,0.00541084829471,0.0430540327656,0.0875698595654,true_lt_null
7,0.865663040783,-0.208122529511,0.00496129266208,0.0480153254277,0.0976608934076,true_lt_null
8,1.14380087951,0.193835919992,0.00472202903704,0.0527373544647,0.10726527639,true_gt_null
9,1.13650993968,0.184610301716,0.00427391476915,0.0570112692339,0.115958216217,true_gt_null
10,1.13595866911,0.183910344569,0.00424086614947,0.0612521353833,0.12458393672,true_gt_null
11,0.87657823921,-0.19004523005,0.00415377729864,0.065405912682,0.133032522632,true_lt_null
12,1.13165839187,0.178438524665,0.00398711579941,0.0693930284814,0.141142126964,true_gt_null
13,1.12975048592,0.176004177531,0.003876843249,0.0732698717304,0.149027442162,true_gt_null
14,1.12923807574,0.175349679629,0.00384746984714,0.0771173415775,0.156853013253,true_gt_null
15,1.12739024062,0.172986983793,0.0037424002646,0.0808597418421,0.1644648778,true_gt_null
16,1.1267376547,0.172151642992,0.00370561436371,0.0845653562058,0.17200192157,true_gt_null
17,1.12561009082,0.170707167157,0.00364244960294,0.0882078058088,0.179410491215,true_gt_null
18,1.12523927166,0.170231809742,0.00362178634919,0.091829592158,0.186777032781,true_gt_null
19,1.12400996433,0.168654825082,0.00355367391769,0.0953832660757,0.194005036894,true_gt_null
20,1.12342446324,0.167903123922,0.00352144314426,0.0989047092199,0.201167485144,true_gt_null
21,1.12316738706,0.167572950434,0.0035073344647,0.102412043685,0.208301237008,true_gt_null
22,1.12289561912,0.167223825528,0.00349244796451,0.105904491649,0.215404710438,true_gt_null
23,1.1223477837,0.166519795447,0.0034625284915,0.109367020141,0.222447329079,true_gt_null
24,0.886970261763,-0.173042360064,0.0034570428793,0.11282406302,0.229478790246,true_lt_null
25,1.12221237228,0.166345723582,0.00345515149208,0.116279214512,0.23650640442,true_gt_null
26,0.887536398536,-0.17212180816,0.00342107228732,0.119700286799,0.24346470311,true_lt_null
27,1.1209878756,0.164770674307,0.0033887736346,0.123089060434,0.250357307872,true_gt_null
28,1.11980489973,0.163247397719,0.00332521313326,0.126414273567,0.257120633591,true_gt_null
29,1.119500098,0.16285465448,0.00330892670201,0.129723200269,0.263850833482,true_gt_null
30,1.11917178735,0.162431499885,0.00329142558513,0.133014625854,0.270545436931,true_gt_null
31,1.11910548464,0.162346028265,0.00328789643587,0.13630252229,0.277232862258,true_gt_null
32,1.11895059075,0.162146332965,0.0032796586106,0.139582180901,0.28390353224,true_gt_null
33,1.11883010536,0.161990979331,0.00327325737994,0.142855438281,0.290561182422,true_gt_null
34,0.890063266395,-0.168020207269,0.00326299967018,0.146118437951,0.297197968909,true_lt_null
35,1.11786436161,0.160745146404,0.00322215829471,0.149340596246,0.303751685977,true_gt_null
36,1.11727437696,0.159983522148,0.00319112482575,0.152531721071,0.310242282441,true_gt_null
37,1.1172556434,0.159959331989,0.00319014171456,0.155721862786,0.316730879304,true_gt_null
38,1.11716654628,0.159844277656,0.00318546794639,0.158907330732,0.323209969944,true_gt_null
39,1.11689082623,0.159488172254,0.00317102464958,0.162078355382,0.329659683604,true_gt_null
40,1.11674699127,0.159302367746,0.0031635021036,0.165241857486,0.336094096762,true_gt_null
41,1.11653041812,0.159022555666,0.00315219100989,0.168394048495,0.342505503693,true_gt_null
42,1.11605865852,0.158412855237,0.00312761727197,0.171521665767,0.348866928807,true_gt_null
43,1.11558282228,0.157797625064,0.00310292168426,0.174624587452,0.355178124267,true_gt_null
44,0.892842729505,-0.163522021831,0.00309377894834,0.1777183664,0.361470723836,true_lt_null
45,1.11512158821,0.157201024174,0.00307907076051,0.180797437161,0.367733407649,true_gt_null
46,1.11486730933,0.156872011886,0.00306595829254,0.183863395453,0.373969421324,true_gt_null
47,1.11470898762,0.156667120978,0.00305780721176,0.186921202665,0.380188856088,true_gt_null
48,1.1146265342,0.156560402962,0.00305356615059,0.189974768815,0.386399664735,true_gt_null
49,1.11447498187,0.156364230837,0.00304577806486,0.19302054688,0.392594632785,true_gt_null
50,1.11422400659,0.156039305123,0.00303290109207,0.196053447972,0.398763409684,true_gt_null
51,1.1140993145,0.155877845016,0.00302651285577,0.199079960828,0.404919193213,true_gt_null
52,1.11339940522,0.154971217625,0.00299077132715,0.202070732155,0.411002280168,true_gt_null
53,1.11315887344,0.15465951323,0.00297853395087,0.205049266106,0.417060476882,true_gt_null
