date,time_index,anchor_rank,anchor_row,anchor_column,row_shift,column_shift,grid_row,grid_column,grid_latitude,grid_longitude,source_latitude,source_longitude,response,true_mean,true_residual
2023-07-04,0,44,16,25,0,0,16,25,1.296,129.425,1.287092,129.40053,260.730047256,261.787092,-1.05704474449
2023-07-04,0,45,90,99,0,0,90,99,-1.96,124.763,-1.957251,124.76384,252.911395622,258.542749,-5.6313533783
2023-07-04,0,46,92,101,0,0,92,101,-2.048,124.637,-2.0438774,124.63803,253.024156295,258.4561226,-5.43196630478
2023-07-04,0,47,75,55,0,0,75,55,-1.3,127.535,-1.2891515,127.507484,264.443463017,259.2108485,5.23261451721
2023-07-04,0,48,77,57,0,0,77,57,-1.388,127.409,-1.3976041,127.381836,260.594811686,259.1023959,1.49241578579
2023-07-04,0,49,13,48,0,0,13,48,1.428,127.976,1.4201212,127.97283,259.643343933,261.9201212,-2.27677726746
2023-07-04,0,50,15,50,0,0,15,50,1.34,127.85,1.33404,127.84772,263.006509974,261.83404,1.17246997356
2023-07-04,0,51,57,115,0,0,57,115,-0.508,123.755,-0.50200015,123.72465,257.529873791,259.99799985,-2.46812605858
2023-07-04,0,52,59,117,0,0,59,117,-0.596,123.629,-0.58873975,123.598816,261.160758737,259.91126025,1.24949848652
2023-07-04,0,53,96,25,0,0,96,25,-2.224,129.425,-2.226972,129.4215,260.080891832,258.273028,1.80786383152
2023-07-04,0,54,98,27,0,0,98,27,-2.312,129.299,-2.3137798,129.29619,262.160665305,258.1862202,3.9744451046
2023-07-04,0,55,53,91,0,0,53,91,-0.332,125.267,-0.3308977,125.28261,258.006669868,260.1691023,-2.16243243217
2023-07-04,0,56,55,93,0,0,55,93,-0.42,125.141,-0.41751105,125.15724,262.059643443,260.08248895,1.97715449333
2023-07-04,0,57,81,2,0,0,81,2,-1.564,130.874,-1.5577885,130.85797,264.637776724,258.9422115,5.69556522369
2023-07-04,0,58,83,4,0,0,83,4,-1.652,130.748,-1.6445295,130.7326,262.623013101,258.8554705,3.76754260063
2023-07-04,0,59,26,97,0,0,26,97,0.856,124.889,0.8631922,124.85966,260.362385868,261.3631922,-1.00080633163
2023-07-04,0,60,28,99,0,0,28,99,0.768,124.763,0.77685314,124.734245,260.005567725,261.27685314,-1.2712854147
2023-07-04,0,61,44,128,0,0,44,128,0.064,122.936,0.06285566,122.91994,260.3022359,260.56285566,-0.26061975956
2023-07-04,0,62,46,130,0,0,46,130,-0.024,122.81,-0.023905147,122.79413,265.821892392,260.476094853,5.34579753876
2023-07-04,0,63,59,47,0,0,59,47,-0.596,128.039,-0.5967832,128.0127,258.857856116,259.9032168,-1.04536068439
2023-07-04,0,64,61,49,0,0,61,49,-0.684,127.913,-0.683233,127.88748,257.102532409,259.816767,-2.71423459053
2023-07-04,0,65,95,42,0,0,95,42,-2.18,128.354,-2.181322,128.3659,264.734821417,258.318678,6.41614341736
2023-07-04,0,66,97,44,0,0,97,44,-2.268,128.228,-2.2677875,128.24045,261.000576929,258.2322125,2.76836442947
2023-07-04,0,67,28,125,0,0,28,125,0.768,123.125,0.7574632,123.11406,262.700059159,261.2574632,1.44259595871
2023-07-04,0,68,30,127,0,0,30,127,0.68,122.999,0.67056745,122.98842,260.420918343,261.17056745,-0.749649107456
2023-07-04,0,69,43,59,0,0,43,59,0.108,127.283,0.09893517,127.275444,257.71835546,260.59893517,-2.88057971001
2023-07-04,0,70,45,61,0,0,45,61,0.02,127.157,0.012432622,127.15021,255.915409135,260.512432622,-4.59702348709
2023-07-04,0,71,89,63,0,0,89,63,-1.916,127.031,-1.9177951,127.00229,259.526989064,258.5822049,0.944784164429
2023-07-04,0,72,91,65,0,0,91,65,-2.004,126.905,-2.0043683,126.87685,263.53978396,258.4956317,5.04415225983
2023-07-04,0,73,63,78,0,0,63,78,-0.772,126.086,-0.76683563,126.08528,262.81353122,259.73316437,3.0803668499
2023-07-04,0,74,65,80,0,0,65,80,-0.86,125.96,-0.8531471,125.96001,258.87881421,259.6468529,-0.76803869009
2023-07-04,0,75,41,25,0,0,41,25,0.196,129.425,0.20264424,129.45016,258.406311881,260.70264424,-2.29633235931
2023-07-04,0,76,43,27,0,0,43,27,0.108,129.299,0.11592225,129.32497,257.531980075,260.61592225,-3.08394217491
2023-07-04,0,77,13,67,0,0,13,67,1.428,126.779,1.4231304,126.7921,261.895482251,261.9231304,-0.0276481490582
2023-07-04,0,78,15,69,0,0,15,69,1.34,126.653,1.3365779,126.667015,264.774936207,261.8365779,2.93835830688
2023-07-04,0,79,97,82,0,0,97,82,-2.268,125.834,-2.2634404,125.817024,258.982875497,258.2365596,0.746315896511
2023-07-04,0,80,99,84,0,0,99,84,-2.356,125.708,-2.3498907,125.69129,258.186547076,258.1501093,0.0364377759397
2023-07-04,0,81,25,13,0,0,25,13,0.9,130.181,0.89464325,130.2033,260.532751921,261.39464325,-0.861891329288
2023-07-04,0,82,27,15,0,0,27,15,0.812,130.055,0.80804515,130.07808,267.237213851,261.30804515,5.92916870117
2023-07-04,0,83,72,23,0,0,72,23,-1.168,129.551,-1.1641237,129.5584,265.794547393,259.3358763,6.45867109299
