Year,N_slots,N_days,Total_obs,Total_miss,Overall%,p10_slot%,Median_slot%,p90_slot%,Max_slot%,Always-miss_cells,Never-miss_cells
2022,240,30,4350240,287072,6.6,1.11,4.3,15.11,39.18,0,37
2023,248,31,4495248,160798,3.58,0.34,1.5,11.11,16.96,0,70
2024,248,31,4495248,112648,2.51,0.13,0.5,7.18,24.85,0,1667
2025,247,31,4477122,158696,3.54,0.42,1.77,9.62,19.44,0,247
