key,day,hour,minute,slot_in_day,n_obs,n_miss,n_valid,pct_miss,slot_idx
2024_07_y24m07day01_hm00:53,1,0,53,53,18126,56,18070,0.31,0
2024_07_y24m07day01_hm01:53,1,1,53,113,18126,2206,15920,12.17,1
2024_07_y24m07day01_hm02:53,1,2,53,173,18126,3727,14399,20.56,2
2024_07_y24m07day01_hm03:53,1,3,53,233,18126,3784,14342,20.88,3
2024_07_y24m07day01_hm04:48,1,4,48,288,18126,3188,14938,17.59,4
2024_07_y24m07day01_hm05:48,1,5,48,348,18126,573,17553,3.16,5
2024_07_y24m07day01_hm06:48,1,6,48,408,18126,23,18103,0.13,6
2024_07_y24m07day01_hm07:48,1,7,48,468,18126,23,18103,0.13,7
2024_07_y24m07day02_hm00:53,2,0,53,53,18126,57,18069,0.31,0
2024_07_y24m07day02_hm01:53,2,1,53,113,18126,855,17271,4.72,1
2024_07_y24m07day02_hm02:53,2,2,53,173,18126,1173,16953,6.47,2
2024_07_y24m07day02_hm03:53,2,3,53,233,18126,1227,16899,6.77,3
2024_07_y24m07day02_hm04:48,2,4,48,288,18126,1119,17007,6.17,4
2024_07_y24m07day02_hm05:48,2,5,48,348,18126,341,17785,1.88,5
2024_07_y24m07day02_hm06:48,2,6,48,408,18126,22,18104,0.12,6
2024_07_y24m07day02_hm07:48,2,7,48,468,18126,23,18103,0.13,7
2024_07_y24m07day03_hm00:53,3,0,53,53,18126,59,18067,0.33,0
2024_07_y24m07day03_hm01:53,3,1,53,113,18126,456,17670,2.52,1
2024_07_y24m07day03_hm02:53,3,2,53,173,18126,1428,16698,7.88,2
2024_07_y24m07day03_hm03:53,3,3,53,233,18126,1263,16863,6.97,3
2024_07_y24m07day03_hm04:48,3,4,48,288,18126,1038,17088,5.73,4
2024_07_y24m07day03_hm05:48,3,5,48,348,18126,366,17760,2.02,5
2024_07_y24m07day03_hm06:48,3,6,48,408,18126,22,18104,0.12,6
2024_07_y24m07day03_hm07:48,3,7,48,468,18126,24,18102,0.13,7
2024_07_y24m07day04_hm00:53,4,0,53,53,18126,63,18063,0.35,0
2024_07_y24m07day04_hm01:53,4,1,53,113,18126,517,17609,2.85,1
2024_07_y24m07day04_hm02:53,4,2,53,173,18126,1901,16225,10.49,2
2024_07_y24m07day04_hm03:53,4,3,53,233,18126,1632,16494,9.0,3
2024_07_y24m07day04_hm04:48,4,4,48,288,18126,1226,16900,6.76,4
2024_07_y24m07day04_hm05:48,4,5,48,348,18126,357,17769,1.97,5
2024_07_y24m07day04_hm06:48,4,6,48,408,18126,18,18108,0.1,6
2024_07_y24m07day04_hm07:48,4,7,48,468,18126,22,18104,0.12,7
2024_07_y24m07day05_hm00:53,5,0,53,53,18126,62,18064,0.34,0
2024_07_y24m07day05_hm01:53,5,1,53,113,18126,214,17912,1.18,1
2024_07_y24m07day05_hm02:53,5,2,53,173,18126,519,17607,2.86,2
2024_07_y24m07day05_hm03:53,5,3,53,233,18126,536,17590,2.96,3
2024_07_y24m07day05_hm04:48,5,4,48,288,18126,495,17631,2.73,4
2024_07_y24m07day05_hm05:48,5,5,48,348,18126,455,17671,2.51,5
2024_07_y24m07day05_hm06:48,5,6,48,408,18126,21,18105,0.12,6
2024_07_y24m07day05_hm07:48,5,7,48,468,18126,22,18104,0.12,7
2024_07_y24m07day06_hm00:53,6,0,53,53,18126,57,18069,0.31,0
