iter,model,allocation,limit_A,limit_B,limit_C,lag1_ratio_actual,lag2_ratio_actual,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est,gim_j_method,gim_n_units,gim_n_blocks,gim_h_cond_abs,gim_score_mean_max_abs,gim_profile_grad_max_abs,gim_score_profile_diff_max_abs,gim_spatial_rel_se,gim_overall_rel_se,gim_advec_rel_se,gim_nugget_rel_se,gim_spatial_rel_se_block,gim_spatial_rel_se_perunit_centered,gim_spatial_rel_se_uncentered,gim_se_sigmasq,gim_se_range_lat,gim_se_range_lon,gim_se_range_time,gim_se_advec_lat,gim_se_advec_lon,gim_se_nugget
1,FullLag_A08_B08_C08,8/8/8,8,8,8,1.0,1.0,26,1.405122,0.081239,0.093215,0.112498,0.060254,0.01465,1.154,69.126,49.581,119.861,1,9.347004,0.269351,0.357356,1.775003,0.077818,-0.136172,2.463375,block,145008,601,154.1122494274952,5.658717477953246e-06,5.65871343907515e-06,4.157986114213663e-11,0.0401171579712578,0.047669091183816945,0.06536112454132087,0.019415331834296237,0.0401171579712578,0.014481857871036317,0.014481807936518914,0.3377276096862114,0.01293032929299437,0.017110722203672896,0.09288979225118049,0.005686608412599687,0.0074451143380600375,0.04853832958574059
1,RatioBudget_A11_B08_C05,x/0.75x/0.5x matched-total,11,8,5,0.7272727272727273,0.45454545454545453,26,1.395206,0.097229,0.117969,0.110034,0.072497,0.042482,1.164,74.913,49.924,126.002,2,9.243153,0.259776,0.346268,1.779932,0.079526,-0.138897,2.393795,block,145008,601,168.24154337170066,3.410180055798816e-06,3.4101899206713353e-06,1.2063616740177628e-10,0.03885738868807131,0.043017296212029425,0.05565968683726933,0.017636693970441115,0.03885738868807131,0.014265780160784473,0.014265730971077726,0.32775293799909017,0.012433740098392529,0.01667436700313782,0.08755957960004226,0.004891816377707617,0.006245533760886793,0.044091734926102785
1,CurrentRealloc_A12_B07_C05,"more-current, reduced t-1/t-2",12,7,5,0.5833333333333334,0.4166666666666667,26,1.397482,0.09494,0.117582,0.109895,0.064867,0.03355,1.229,89.483,50.26,140.972,1,9.251462,0.26185,0.343854,1.78021,0.079724,-0.137551,2.416125,block,145008,601,162.34715068667674,9.606807104838964e-06,9.606816818921057e-06,1.1498607231474986e-10,0.03750668826316517,0.04314535858997627,0.05785669952890088,0.017841987364615418,0.03750668826316517,0.014341996086326305,0.014341946635268759,0.32248961335433196,0.012058426151473433,0.015822218555332352,0.08478836966751001,0.005099460443645395,0.0064636805484493635,0.04460496841153854
