day,n_slots,n_obs,n_miss,pct_miss_mean,pct_miss_max,pct_miss_min,pct_miss_total
1,8,145008,13580,9.366249999999999,20.88,0.13,9.3650005516937
2,8,145008,4817,3.32125,6.77,0.12,3.3218856890654314
3,8,145008,4656,3.2125,7.88,0.12,3.2108573320092684
4,8,145008,5736,3.955,10.49,0.1,3.955643826547501
5,8,145008,2324,1.6025,2.96,0.12,1.6026701975063444
6,8,145008,5679,3.91625,8.52,0.13,3.916335650446872
7,8,145008,4299,2.96625,6.15,0.11,2.9646640185369084
8,8,145008,6515,4.492500000000001,9.73,0.13,4.492855566589429
9,8,145008,5905,4.07125,8.06,0.09,4.0721891206002425
10,8,145008,13098,9.0325,20.1,0.12,9.032605097649785
11,8,145008,15864,10.94,24.85,0.13,10.940086064217148
12,8,145008,1754,1.21,2.71,0.15,1.209588436500055
13,8,145008,3766,2.5975,5.45,0.13,2.597098091139799
14,8,145008,930,0.6387499999999999,1.15,0.11,0.6413439258523668
15,8,145008,1223,0.84375,1.65,0.12,0.8434017433520908
16,8,145008,1197,0.825,1.74,0.1,0.8254716981132075
17,8,145008,2241,1.5425,2.92,0.11,1.5454319761668323
18,8,145008,1298,0.89375,1.69,0.1,0.8951230276950238
19,8,145008,1488,1.0275,2.06,0.09,1.0261502813637868
20,8,145008,712,0.49000000000000005,0.92,0.11,0.4910073926955754
21,8,145008,1044,0.72,1.19,0.11,0.7199602780536246
22,8,145008,1387,0.9575,1.98,0.09,0.9564989517819706
23,8,145008,4146,2.86,7.02,0.11,2.8591525984773254
24,8,145008,5045,3.47875,8.87,0.15,3.479118393467947
25,8,145008,472,0.3275,0.52,0.18,0.32549928279819046
26,8,145008,339,0.23625000000000002,0.34,0.15,0.23378020523005627
27,8,145008,385,0.265,0.4,0.13,0.2655025929603884
28,8,145008,836,0.57625,1.21,0.14,0.5765199161425576
29,8,145008,315,0.2175,0.32,0.12,0.21722939424031776
30,8,145008,637,0.44,1.03,0.1,0.4392861083526426
31,8,145008,960,0.66375,0.98,0.35,0.66203243958954
