model,group,kernel,total_conditioning,pred_lag1_lon_offset,n_days,loss_mean,total_s_mean,fit_s_mean,gim_s_mean,sigmasq_est_mean,range_lat_est_mean,range_lon_est_mean,range_t_est_mean,advec_lat_est_mean,advec_lon_est_mean,nugget_est_mean,gim_se_range_lon_mean,gim_se_range_time_mean,gim_se_advec_lon_mean,gim_se_nugget_mean,gim_relse_est_range_lon_mean,gim_relse_est_range_time_mean,gim_relse_est_advec_lon_mean,gim_relse_est_nugget_mean,gim_h_cond_abs_mean,gim_n_blocks_mean,loss_median,total_s_median,fit_s_median,gim_s_median,sigmasq_est_median,range_lat_est_median,range_lon_est_median,range_t_est_median,advec_lat_est_median,advec_lon_est_median,nugget_est_median,gim_se_range_lon_median,gim_se_range_time_median,gim_se_advec_lon_median,gim_se_nugget_median,gim_relse_est_range_lon_median,gim_relse_est_range_time_median,gim_relse_est_advec_lon_median,gim_relse_est_nugget_median,gim_h_cond_abs_median,gim_n_blocks_median
BaseLocal_A20_B20_C20,local_baseline,std,62.0,0.0,4,1.4538697217223975,814.31025,511.05275,301.80025,14.713832156948566,0.29110005399593997,0.39329075775475425,2.2788594162227405,-0.017139713823832635,-0.19062110300781832,2.1166064927082164,0.02381087566013491,0.13387699015849763,0.011934585614182263,0.15420887583302828,0.06056845912719626,0.0589683664786125,0.0636141863970071,0.0714685449091681,209.05730352894773,600.0,1.471797070066966,804.6990000000001,506.3675,306.5345,14.76488492420538,0.28642301647781054,0.3805228515577905,2.1374891948728902,-0.01375793894482212,-0.18444490612252798,2.2075697148729834,0.023597273740462867,0.1269898231165625,0.012585511897570234,0.12999629893580122,0.060272062833728025,0.058500983643287034,0.05819379147514751,0.06586376263950547,191.00874043213196,600.5
NearLocal_L16F02_C12F02_Op0p063,near_local_hybrid,hybrid_fresh,54.0,0.063,5,1.417526095393019,470.0652,288.3178,174.8954,14.027736261637255,0.2676029514855145,0.34152896919313425,2.045082318936237,-0.01255834984079971,-0.23070315513506562,1.9513926907280503,0.021067866338281765,0.11603956092613452,0.007408461054872058,0.134519764093208,0.061934482638410115,0.05686202236588859,0.03254404262855804,0.06778972326688429,273.8615447470911,600.4,1.4162945576988122,470.103,283.293,176.746,14.384502115241006,0.2678782714677901,0.3472547368301817,1.9372307225494543,-0.027242902522878653,-0.238289773032076,1.9909940202814618,0.020765547086965444,0.11265730174431642,0.006495395707291665,0.11469491266269644,0.06131662731608918,0.057899662704373696,0.032716644164784196,0.0632579096814889,256.86723453034244,601.0
NearLocal_L16F02_C12F02_Op0p126,near_local_hybrid,hybrid_fresh,54.0,0.126,5,1.4315745652125504,461.06139999999994,279.03679999999997,175.2134,14.060151782751817,0.297661897607467,0.3816108925732603,2.1887936729280604,-0.013616477060289792,-0.23222436471602212,2.1542819716135333,0.024290855062764845,0.12622856666083956,0.007644949463836058,0.1471578256196551,0.06367239032773993,0.05763910731903606,0.03336662649486787,0.0662521955067717,284.57270068774784,600.4,1.4333467339656818,464.116,279.571,177.458,13.907919513381344,0.30586588097073986,0.37664237452721677,1.9974023534740852,-0.031951563472451615,-0.2437824172672641,2.1078157551938137,0.02385360366867547,0.11438837846471993,0.0059933837631892025,0.12005066096056848,0.06481844137465556,0.05745482417859464,0.03375918950086392,0.06003767068278581,260.6695340818829,601.0
