iter,model,lag2_nbs,limit_A,limit_B,limit_C,extra_current_nbs,lag1_ratio,lag2_ratio,is_quarter_baseline,is_half_baseline,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
4,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.409252,0.026029,0.032259,0.017875,0.023961,0.01237,1.144,58.735,0.0,59.879,1,10.384914,0.312144,0.399473,2.035749,0.077813,-0.123478,2.469074
4,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.403346,0.018026,0.018252,0.002104,0.02277,0.015293,1.145,56.05,0.0,57.194,1,10.267515,0.304362,0.403402,2.004209,0.077428,-0.125783,2.461769
4,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.400875,0.028004,0.024606,0.003071,0.041535,0.014616,1.118,53.751,0.0,54.87,1,10.128206,0.311152,0.406574,2.006143,0.075452,-0.127863,2.53654
4,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.401663,0.02579,0.018811,0.017928,0.040412,0.002548,1.189,52.748,0.0,53.937,1,10.219371,0.301844,0.409317,2.035857,0.075475,-0.127031,2.493629
5,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.550663,0.03725,0.031725,0.053944,0.037892,0.030202,1.17,84.144,0.0,85.314,1,10.183529,0.315298,0.403629,2.107888,0.078254,-0.119833,2.575505
5,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.428818,0.030638,0.02975,0.042909,0.032167,0.002236,1.154,71.542,0.0,72.696,4,10.292344,0.310989,0.408567,2.085818,0.077592,-0.121702,2.494409
5,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.418258,0.052934,0.045658,0.086494,0.054192,0.002321,1.152,64.07,0.0,65.222,1,10.399689,0.312957,0.421132,2.172989,0.074375,-0.129841,2.494198
5,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.40736,0.039265,0.018084,0.059215,0.056144,0.000334,1.149,61.515,0.0,62.665,1,10.23251,0.305489,0.404112,2.118429,0.077023,-0.117162,2.499166
5,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.404283,0.042535,0.024387,0.075011,0.050868,0.008856,1.158,70.519,0.0,71.677,4,10.350062,0.306602,0.403453,2.150023,0.074371,-0.124117,2.47786
5,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.399643,0.057996,0.048484,0.065608,0.076938,0.018679,1.237,81.987,0.0,83.224,4,10.603532,0.314587,0.412932,2.131215,0.077551,-0.112844,2.453302
5,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.402288,0.03989,0.031481,0.034229,0.058737,0.00967,1.258,72.715,0.0,73.973,1,10.420504,0.308539,0.407947,2.068458,0.078454,-0.115821,2.475825
6,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.549793,0.082619,0.088553,0.102972,0.072081,0.057111,1.283,109.044,0.0,110.327,4,9.660842,0.266294,0.3605,1.794057,0.086676,-0.118624,2.357223
