iter,model,kernel,limit_A,limit_B,limit_C,lag1_local_nbs,lag2_local_nbs,advec_cell_offsets,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
1,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.428843,0.084999,0.08806,0.0994,0.093341,0.002067,1.088,21.435,0.0,22.523,1,9.40542,0.277629,0.352388,1.8012,0.076922,-0.141911,2.494832
1,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.42917,0.082356,0.091914,0.105553,0.074135,0.000587,3.083,25.22,0.0,28.303,1,9.361738,0.279177,0.348693,1.788895,0.076578,-0.138061,2.498532
2,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.420823,0.068721,0.043568,0.039518,0.113298,0.011366,0.99,22.596,0.0,23.587,1,9.480011,0.286366,0.387833,1.920964,0.070186,-0.113013,2.528415
2,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.421212,0.043633,0.035087,0.012087,0.066238,0.026697,3.05,24.366,0.0,27.416,1,9.469192,0.291477,0.396685,2.024175,0.072526,-0.126856,2.566743
3,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.427302,0.03731,0.029833,0.014292,0.058512,0.004728,1.013,27.768,0.0,28.781,2,9.786318,0.289391,0.387589,1.971417,0.079458,-0.136391,2.511821
3,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.427493,0.021943,0.026381,0.023359,0.018878,0.004904,3.141,24.568,0.0,27.708,1,9.804173,0.289202,0.391912,1.953282,0.07897,-0.128947,2.512261
4,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.429351,0.031007,0.009996,0.019923,0.054744,0.006274,0.998,24.348,0.0,25.346,1,10.15966,0.300825,0.402443,2.039846,0.074599,-0.130774,2.515686
4,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.429244,0.025166,0.011864,0.005049,0.044492,0.005128,3.061,25.907,0.0,28.968,4,10.204713,0.299997,0.400711,2.010099,0.075293,-0.12881,2.487179
5,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.425187,0.042641,0.037281,0.076405,0.036316,0.009088,0.996,23.286,0.0,24.282,4,10.419985,0.310889,0.413196,2.152811,0.075905,-0.126528,2.477279
5,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.425569,0.049515,0.02794,0.092859,0.054635,0.015086,3.07,21.815,0.0,24.885,1,10.376384,0.307812,0.406288,2.185717,0.076066,-0.133509,2.462285
6,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.427284,0.10013,0.07896,0.118794,0.131712,0.051676,1.041,24.561,0.0,25.602,1,9.821361,0.268831,0.36515,1.762413,0.080476,-0.102542,2.370811
6,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.429176,0.100997,0.089122,0.133483,0.111999,0.068333,3.061,23.088,0.0,26.149,4,9.91548,0.264037,0.361247,1.733034,0.079019,-0.106103,2.329168
7,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.419454,0.073145,0.080136,0.124672,0.028554,0.031824,1.001,24.191,0.0,25.193,1,10.194171,0.333871,0.431347,2.249344,0.0798,-0.131078,2.579561
7,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.42171,0.075171,0.082303,0.123793,0.035809,0.036663,3.066,21.617,0.0,24.683,1,10.209478,0.334177,0.433235,2.247587,0.078128,-0.131659,2.591657
8,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.422175,0.091283,0.051227,0.065721,0.151147,0.021101,0.993,25.675,0.0,26.668,1,9.639494,0.281863,0.378393,1.868559,0.064608,-0.137736,2.447248
8,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.42152,0.100023,0.044094,0.043467,0.176382,0.009448,3.065,21.995,0.0,25.06,1,9.591502,0.283876,0.385715,1.913066,0.06254,-0.141219,2.47638
9,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.423186,0.032701,0.034104,0.059299,0.014161,0.008885,0.988,21.099,0.0,22.087,1,10.12672,0.317281,0.401309,2.118599,0.079614,-0.123551,2.522213
9,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.425902,0.025259,0.020756,0.032533,0.032513,0.000936,3.062,23.563,0.0,26.625,1,10.087388,0.308978,0.392839,2.065066,0.077487,-0.121769,2.50234
10,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.426563,0.075991,0.064117,0.075761,0.105709,0.00074,0.99,27.561,0.0,28.551,4,10.618795,0.320984,0.424038,2.151523,0.076521,-0.107978,2.501849
10,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.427798,0.069313,0.068267,0.107242,0.06255,0.017978,3.12,21.707,0.0,24.827,1,10.516387,0.323601,0.428638,2.214483,0.083201,-0.11606,2.544944
11,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.42823,0.073755,0.064612,0.126491,0.069106,0.001778,0.996,26.634,0.0,27.63,2,10.701019,0.314246,0.42927,2.252982,0.072202,-0.125102,2.495556
11,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.429169,0.074604,0.063769,0.10652,0.087748,0.003839,3.056,23.463,0.0,26.519,1,10.632927,0.311964,0.432504,2.213039,0.070074,-0.125702,2.509598
12,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.427173,0.049691,0.043983,0.068451,0.057845,0.010171,0.997,23.464,0.0,24.461,1,9.76627,0.288259,0.375585,1.863097,0.08654,-0.126385,2.474573
12,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.427451,0.051733,0.048091,0.066807,0.059608,0.015055,3.112,22.494,0.0,25.606,1,9.763459,0.284979,0.375111,1.866385,0.085882,-0.120804,2.462363
13,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.418667,0.034843,0.043036,0.045056,0.019258,0.013041,0.985,19.965,0.0,20.95,1,9.386872,0.290301,0.389032,1.909887,0.077964,-0.127221,2.532604
13,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.418483,0.044644,0.045235,0.044502,0.053547,0.009894,3.063,21.813,0.0,24.877,1,9.356363,0.288213,0.391495,1.910995,0.083296,-0.134006,2.524736
14,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.442575,0.028772,0.034229,0.0262,0.027346,0.00989,1.004,15.544,0.0,16.548,0,10.007735,0.316968,0.392898,2.052399,0.079899,-0.13087,2.524724
14,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.426344,0.040716,0.033416,0.040489,0.057103,0.009679,3.048,21.239,0.0,24.287,1,10.102933,0.316782,0.395719,2.080977,0.078863,-0.136016,2.524199
15,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.425908,0.086634,0.082337,0.133218,0.083964,0.018785,1.043,25.907,0.0,26.95,4,10.587176,0.32506,0.439825,2.266436,0.086974,-0.115841,2.546961
15,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.42552,0.089937,0.088739,0.153341,0.06685,0.023357,3.076,21.126,0.0,24.203,1,10.554603,0.32753,0.444049,2.306682,0.086644,-0.120309,2.558392
16,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.417716,0.027403,0.036602,0.016246,0.00717,0.029509,0.997,28.045,0.0,29.041,1,9.53972,0.312222,0.393793,2.032491,0.079335,-0.126731,2.573773
16,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.419344,0.027766,0.033267,0.023568,0.022455,0.022645,3.075,27.629,0.0,30.704,2,9.557588,0.308453,0.39046,2.047136,0.080526,-0.129915,2.556612
17,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.423797,0.034824,0.017439,0.070717,0.035721,0.00485,1.048,20.721,0.0,21.769,1,10.088135,0.308351,0.403096,2.141434,0.081716,-0.131763,2.512125
17,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.432452,0.029186,0.024878,0.062305,0.010483,0.002129,3.054,18.693,0.0,21.747,0,10.105833,0.311146,0.407634,2.124609,0.078888,-0.12665,2.505323
18,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.425315,0.056992,0.064445,0.050738,0.058267,0.030208,0.999,22.732,0.0,23.731,1,9.772972,0.281635,0.363786,1.898524,0.077561,-0.116354,2.42448
18,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.426297,0.049668,0.058215,0.027508,0.053238,0.026007,3.055,25.964,0.0,29.019,1,9.805087,0.284884,0.365945,1.944984,0.081856,-0.116975,2.434983
19,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.427273,0.047436,0.056193,0.07052,0.020055,0.022369,0.989,21.938,0.0,22.927,1,9.768268,0.279768,0.373504,1.85896,0.079172,-0.129327,2.444078
19,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.426642,0.051031,0.053662,0.087865,0.025716,0.023401,3.068,21.725,0.0,24.793,1,9.748218,0.281991,0.373463,1.824269,0.080965,-0.121677,2.441498
20,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.438325,0.05423,0.059886,0.036371,0.065055,0.006338,0.992,18.322,0.0,19.315,0,10.343593,0.327314,0.414362,2.072741,0.087013,-0.12952,2.484155
20,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.422254,0.052361,0.057737,0.017388,0.066665,0.000111,3.12,21.997,0.0,25.117,1,10.275153,0.324898,0.419416,2.034777,0.081746,-0.137556,2.500277
21,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.432787,0.027067,0.03023,0.027386,0.024744,0.020304,0.995,25.517,0.0,26.511,1,10.36759,0.291443,0.390393,2.054772,0.079963,-0.121591,2.449239
21,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.433495,0.028077,0.030995,0.012435,0.032234,0.020089,3.167,29.233,0.0,32.4,1,10.339273,0.29373,0.38561,2.024869,0.079855,-0.120261,2.449777
22,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.423036,0.117259,0.14114,0.177,0.050771,0.001343,1.017,24.563,0.0,25.58,1,8.780115,0.261372,0.332708,1.646001,0.085028,-0.130375,2.496642
22,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.422818,0.120224,0.138916,0.195051,0.050966,0.006633,3.115,22.489,0.0,25.604,1,8.788898,0.260942,0.335162,1.609899,0.085757,-0.125483,2.483417
23,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.420263,0.064537,0.090447,0.06664,0.009266,0.000874,1.01,23.765,0.0,24.775,1,9.152067,0.270906,0.364341,1.86672,0.079173,-0.127016,2.497814
23,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.420887,0.062548,0.084819,0.062195,0.030833,0.005832,3.12,20.329,0.0,23.449,1,9.14988,0.271893,0.370126,1.87561,0.076974,-0.128733,2.51458
24,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.430703,0.042745,0.026278,0.053519,0.06257,0.004867,1.007,23.499,0.0,24.506,1,10.353004,0.307541,0.405567,2.107038,0.087032,-0.127286,2.512167
24,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.431355,0.028197,0.021009,0.032658,0.039842,0.000152,3.078,23.471,0.0,26.55,1,10.323074,0.303816,0.404356,2.065315,0.084464,-0.126981,2.500379
25,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.422346,0.111908,0.101192,0.118834,0.144724,0.030549,1.021,21.23,0.0,22.251,1,9.347702,0.269929,0.348749,1.762333,0.064323,-0.118558,2.423629
25,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.42342,0.101863,0.107403,0.104482,0.113,0.039642,3.063,21.409,0.0,24.473,1,9.380385,0.266999,0.34535,1.791035,0.067272,-0.12411,2.400894
26,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.422934,0.065613,0.035736,0.07921,0.09918,0.018888,1.044,21.567,0.0,22.611,1,9.801336,0.300157,0.376552,1.84158,0.089589,-0.13518,2.45278
26,AdvecBand_A06_B02p23_C02,advec_band,6,2,2,2,2,"2,3",14,1.424322,0.076904,0.03538,0.071682,0.125804,0.029206,3.071,23.073,0.0,26.144,1,9.8823,0.297313,0.376212,1.856637,0.092322,-0.137221,2.426986
27,BaseLocal_A06_B04_C02,std,6,4,2,4,2,,14,1.42769,0.035186,0.035428,0.044021,0.038366,0.004411,0.995,21.39,0.0,22.386,1,9.82315,0.283002,0.393775,1.911959,0.083921,-0.128934,2.488973
