iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
5,Lag1Nbs_09,9,1.399178,0.173012,0.221386,0.178437,0.102281,0.09866,0.11,7.662,0.0,7.772,0,8.306012,0.225276,0.305092,1.643127,0.091028,-0.13152,2.25335
5,Lag1Nbs_11,11,1.399002,0.147963,0.198095,0.164962,0.057624,0.040887,0.114,6.842,0.0,6.955,0,8.244381,0.238479,0.315289,1.670076,0.084538,-0.118628,2.397783
5,Lag1Nbs_13,13,1.382981,0.163554,0.184191,0.156998,0.168229,0.064965,0.117,9.412,0.0,9.529,1,8.557039,0.243193,0.315051,1.686004,0.091473,-0.102082,2.337588
5,Lag1Nbs_15,15,1.398304,0.190685,0.174296,0.221766,0.237137,0.041701,0.174,9.768,0.0,9.942,0,8.425528,0.24317,0.330187,1.556467,0.105443,-0.112594,2.395748
6,Lag1Nbs_03,3,1.387754,0.123732,0.146345,0.117747,0.1038,0.086623,0.096,4.689,0.0,4.785,1,9.006119,0.245371,0.341741,1.764507,0.075007,-0.142742,2.283441
6,Lag1Nbs_05,5,1.381403,0.090349,0.105245,0.119131,0.06955,0.006627,0.097,5.714,0.0,5.811,1,8.80763,0.270071,0.361928,1.761739,0.085803,-0.134371,2.483432
6,Lag1Nbs_07,7,1.406884,0.157325,0.13691,0.087929,0.230747,0.052963,0.105,5.299,0.0,5.404,0,8.644187,0.255551,0.349565,1.824143,0.081991,-0.166997,2.367592
6,Lag1Nbs_09,9,1.39006,0.132467,0.151739,0.115345,0.139884,0.036301,0.109,8.331,0.0,8.44,1,8.751255,0.251628,0.333689,1.76931,0.093483,-0.139053,2.409248
6,Lag1Nbs_11,11,1.377089,0.135824,0.155372,0.157012,0.120369,0.055553,0.112,9.005,0.0,9.116,1,8.558161,0.24504,0.346229,1.685976,0.088464,-0.142802,2.361119
6,Lag1Nbs_13,13,1.408235,0.156465,0.15132,0.150984,0.189051,0.091647,0.115,8.621,0.0,8.736,0,8.968845,0.244131,0.338839,1.698032,0.070348,-0.156062,2.270882
6,Lag1Nbs_15,15,1.37971,0.198594,0.161688,0.175791,0.287435,0.038825,0.174,10.645,0.0,10.819,1,8.460635,0.245979,0.340258,1.648417,0.075051,-0.176622,2.402939
7,Lag1Nbs_03,3,1.384941,0.208867,0.277737,0.262555,0.019845,0.065119,0.096,5.241,0.0,5.337,1,7.677447,0.203505,0.29118,1.47489,0.081859,-0.124017,2.337202
7,Lag1Nbs_05,5,1.375889,0.198282,0.243068,0.311008,0.011484,0.031223,0.099,6.626,0.0,6.725,1,7.650016,0.216531,0.315517,1.377983,0.079647,-0.127969,2.421942
7,Lag1Nbs_07,7,1.387826,0.265751,0.315902,0.365358,0.172671,0.043208,0.102,6.882,0.0,6.984,1,7.330079,0.194812,0.270288,1.269284,0.092459,-0.102302,2.391981
7,Lag1Nbs_09,9,1.373427,0.278655,0.337428,0.330922,0.211299,0.056252,0.109,9.303,0.0,9.412,2,6.933423,0.191849,0.262845,1.338155,0.099247,-0.103668,2.35937
7,Lag1Nbs_11,11,1.377714,0.26162,0.32706,0.283042,0.186894,0.090772,0.112,10.772,0.0,10.884,1,7.36943,0.194849,0.256417,1.433917,0.099064,-0.111594,2.273069
7,Lag1Nbs_13,13,1.376451,0.265237,0.320322,0.396724,0.115172,0.026814,0.171,9.799,0.0,9.97,1,6.97116,0.193976,0.279217,1.206553,0.089217,-0.111493,2.432965
7,Lag1Nbs_15,15,1.376917,0.25335,0.323273,0.362125,0.045661,0.022009,0.118,11.488,0.0,11.605,1,6.97133,0.195464,0.273276,1.27575,0.084879,-0.123326,2.444977
8,Lag1Nbs_03,3,1.386175,0.160362,0.217753,0.191912,0.019945,0.011695,0.094,4.519,0.0,4.614,1,7.751802,0.228222,0.325747,1.616177,0.079184,-0.129314,2.529237
8,Lag1Nbs_05,5,1.374724,0.229629,0.269637,0.304903,0.162212,0.073497,0.098,4.802,0.0,4.9,0,7.631214,0.208686,0.29466,1.390194,0.061913,-0.121106,2.316257
8,Lag1Nbs_07,7,1.375681,0.186563,0.246202,0.240218,0.026333,0.051995,0.104,6.878,0.0,6.982,1,7.72848,0.215282,0.310109,1.519564,0.080341,-0.121339,2.370011
8,Lag1Nbs_09,9,1.380293,0.240932,0.253271,0.328478,0.225103,0.068247,0.109,6.986,0.0,7.095,0,7.762941,0.217536,0.29659,1.343043,0.061372,-0.098648,2.329382
8,Lag1Nbs_11,11,1.375561,0.258537,0.282945,0.282598,0.265323,0.084035,0.11,7.198,0.0,7.307,0,7.630178,0.20724,0.281066,1.434805,0.072222,-0.080336,2.289913
