iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
4,Lag1Nbs_05,5,1.411817,0.057709,0.064998,0.071185,0.049177,0.027091,0.088,3.677,3.765,1,9.965165,0.305972,0.355699,2.142371,0.076961,-0.11866,2.567727
4,Lag1Nbs_06,6,1.412144,0.063927,0.075765,0.000406,0.073649,0.023178,0.092,4.44,4.533,1,10.007434,0.28798,0.350016,2.000813,0.076743,-0.13808,2.442054
4,Lag1Nbs_07,7,1.40922,0.115241,0.09151,0.001216,0.181508,0.044158,0.093,3.873,3.966,1,9.219026,0.279318,0.352217,1.997568,0.060933,-0.113989,2.610394
4,Lag1Nbs_08,8,1.415186,0.046706,0.026571,0.072404,0.052038,0.049937,0.093,4.153,4.246,1,10.069602,0.311295,0.389785,2.144809,0.074868,-0.130545,2.624842
5,Lag1Nbs_00,0,1.529048,0.153778,0.117809,0.020332,0.244198,0.064943,0.081,4.53,4.61,2,8.239191,0.269988,0.390006,1.959337,0.102171,-0.100038,2.662357
5,Lag1Nbs_01,1,1.400623,0.126121,0.126645,0.021205,0.161801,0.102072,0.086,2.816,2.902,1,7.936193,0.309887,0.426647,2.042411,0.095527,-0.11073,2.75518
5,Lag1Nbs_02,2,1.381903,0.191188,0.223428,0.127377,0.208828,0.051634,0.14,2.997,3.137,1,7.64269,0.234897,0.313192,1.745246,0.077458,-0.089005,2.370915
5,Lag1Nbs_03,3,1.382503,0.156956,0.186989,0.097007,0.168742,0.034546,0.088,4.109,4.197,2,7.687474,0.249553,0.339153,1.805985,0.081926,-0.096085,2.586365
5,Lag1Nbs_04,4,1.381504,0.147015,0.108055,0.001195,0.23779,0.056361,0.092,4.577,4.668,1,8.319466,0.275874,0.392865,2.00239,0.087441,-0.085281,2.640902
5,Lag1Nbs_05,5,1.367781,0.176914,0.171433,0.096407,0.245635,0.030896,0.09,4.232,4.322,2,8.001908,0.251918,0.339925,1.807187,0.098852,-0.093841,2.422761
5,Lag1Nbs_06,6,1.378014,0.101492,0.145531,0.005507,0.063789,0.019952,0.088,4.68,4.768,1,8.142955,0.270841,0.343994,1.988987,0.082505,-0.11534,2.54988
5,Lag1Nbs_07,7,1.388718,0.121161,0.142179,0.055736,0.139629,0.003947,0.093,4.576,4.669,1,8.489427,0.26138,0.341684,1.888528,0.075997,-0.101932,2.509869
5,Lag1Nbs_08,8,1.375124,0.124181,0.171109,0.018493,0.096079,0.036157,0.152,4.108,4.26,1,8.158688,0.248112,0.338012,1.963014,0.084066,-0.110122,2.409608
