year,day,model,smooth,resolution_label,variant,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,lag0_block_count,lag1_block_count,lag2_block_count,n_clusters
2024,2024-07-01,nu=0.3 x1 nugget_free,0.3000,x1,nugget_free,14.8852,0.4265,0.4943,2.3470,-0.0217,-0.2035,0.0000,1.1917,51.5329,6,4,3,1160
2024,2024-07-01,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,11.6433,0.1814,0.2127,1.1799,-0.0178,-0.2031,0.5760,1.1908,19.4577,6,4,3,1160
2024,2024-07-02,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,14.7092,0.1797,0.2215,1.5233,-0.0226,-0.2545,1.6080,1.3972,23.4417,6,4,3,1160
2024,2024-07-03,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,12.9001,0.1617,0.1898,1.3173,-0.0685,-0.2796,1.4625,1.3778,21.9837,6,4,3,1160
2024,2024-07-04,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,12.6484,0.1556,0.2104,1.6102,0.0172,-0.1690,0.9021,1.2896,26.3339,6,4,3,1160
2024,2024-07-05,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,12.8036,0.1590,0.1955,1.2715,0.0544,-0.2259,1.2625,1.3517,20.0188,6,4,3,1160
2024,2024-07-06,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,12.6108,0.1931,0.2302,1.2987,0.0276,-0.3145,1.6027,1.3356,20.1172,6,4,3,1160
2024,2024-07-07,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,14.4928,0.1843,0.2590,1.4202,0.0008,-0.3608,1.1483,1.3175,20.3784,6,4,3,1160
2024,2024-07-08,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,13.2193,0.1643,0.1640,0.9240,0.0029,-0.3119,0.4740,1.2943,38.4631,6,4,3,1160
2024,2024-07-09,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,7.9028,0.1905,0.2157,1.0600,0.0211,-0.2888,1.6253,1.2145,18.5562,6,4,3,1160
2024,2024-07-10,nu=0.5 x1 nugget_free,0.5000,x1,nugget_free,5.4630,0.1503,0.1858,0.9502,-0.0003,-0.0512,0.6708,0.9822,17.6982,6,4,3,1160
