model,n,rmse_mean,rmse_median,mae_mean,mae_median,bias_mean,bias_median
nu=0.3 x1 nugget_free,2,1.0982,1.0982,0.9608,0.9608,-0.3882,-0.3882
nu=0.5 x1 nugget_free,20,1.5045,1.4916,1.2273,1.21,0.4619,0.3403
