dgp,replicate_count,observed_statistic,bootstrap_mean,bootstrap_sd,bootstrap_q025,bootstrap_q50,bootstrap_q975,lower_tail_p_value,upper_tail_p_value
joint,1,0.74155783193005653,0.9022206470976708,,0.9022206470976708,0.9022206470976708,0.9022206470976708,0.5,1
separable,1,0.74155783193005653,4.9223739039078751,,4.9223739039078751,4.9223739039078751,4.9223739039078751,0.5,1
