dgp,lat_index_hr,lon_index_hr,time_lag,lag_lat,lag_lon,analytic_covariance,generated_covariance,signed_error,absolute_error,error_over_signal_variance,relative_error
joint,0,0,0,0,0,23.377270598968181,23.377270598968185,3.5527136788005009e-15,3.5527136788005009e-15,1.5197298862414287e-16,1.5197298862414287e-16
joint,0,1,0,0,0.063,19.852569383542711,19.889411189871577,0.0368418063288658,0.0368418063288658,0.001575966970690407,0.0018557701835514927
joint,0,2,0,0,0.126,17.946327193560609,18.019964671959528,0.073637478398918432,0.073637478398918432,0.0031499604749482013,0.0041032060546260726
joint,0,3,0,0,0.189,16.52322544839587,16.642343410847527,0.11911796245165718,0.11911796245165718,0.0050954606504368723,0.0072091228691200573
joint,0,4,0,0,0.252,15.381323311940506,15.540652119580935,0.15932880764042956,0.15932880764042956,0.0068155436266996014,0.010358589076451099
joint,0,5,0,0,0.315,14.429281116909452,14.622992121240184,0.19371100433073174,0.19371100433073174,0.0082862968758757368,0.013424854832422995
joint,0,6,0,0,0.378,13.615638285526185,13.839664720922288,0.22402643539610345,0.22402643539610345,0.0095830877453243601,0.016453612434332219
joint,0,7,0,0,0.441,12.907860313412673,13.1569615900278,0.24910127661512682,0.24910127661512682,0.010655704033563336,0.019298417442299362
joint,0,8,0,0,0.504,12.283827735226369,12.554229102504525,0.270401367278156,0.270401367278156,0.011566849351955181,0.022012793821808915
joint,0,9,0,0,0.56699999999999995,11.727721775155819,12.015166935998248,0.2874451608424291,0.2874451608424291,0.0122959247798208,0.024509889162902657
joint,0,10,0,0,0.63,11.227797178597593,11.529082040955606,0.30128486235801333,0.30128486235801333,0.012887940064795732,0.02683383548576403
joint,0,11,0,0,0.69300000000000006,10.775075877383117,11.086865779217216,0.31178990183409994,0.31178990183409994,0.013337309867468516,0.028936214035257694
joint,0,12,0,0,0.75600000000000001,10.36253322197369,10.682204233512174,0.31967101153848354,0.31967101153848354,0.013674436893098765,0.030848732128609543
joint,0,13,0,0,0.81899999999999995,9.9845666615278361,10.309483771700512,0.32491711017267555,0.32491711017267555,0.013898847121486315,0.03254193408559574
