dgp,n_lat,n_lon,time_steps,embedding_lat,embedding_lon,embedding_time,embedding_size,spectrum_min_before_clip,spectrum_max_before_clip,spectrum_negative_count,spectrum_negative_fraction,spectrum_negative_mass_fraction,variance_before_renormalization,variance_target,variance_renormalization_scale,variance_after_renormalization,central_symmetry_max_adjustment_twice,fft_max_abs_imaginary_after_symmetrization,embedding_is_exact_nonnegative,generator_label
joint,119,163,8,238,326,16,1241408,-68464.596990879931,3700830.5191451451,6953,0.0056008983347940406,0.045740966794163666,24.554241093819133,23.377270598968181,0.95206650898499068,23.377270598968185,3.0414154762802252,1.9612671719800234e-10,False,spectrally_corrected_circulant_embedding
separable,119,163,8,238,326,16,1241408,-922.20330841801785,1870578.5240869294,4140,0.0033349229262257052,0.0030561858652027631,23.44915526876327,23.377270598968181,0.99693444522963914,23.377270598968181,5.0988655780557712,1.0207361788392262e-10,False,spectrally_corrected_circulant_embedding
