tile_y,tile_x,tile_id,tile_center_lat,tile_center_lon,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,dist_to_nadir_deg,dist_to_nadir_km,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget
0,0,0,15.6495,123.6927,15.0280,16.2710,123.0130,124.3723,4.6807,520.5165,30,240,0.6769,0.5338,0.6497
0,1,1,15.6495,125.0549,15.0280,16.2710,124.3743,125.7356,3.5403,393.3695,30,238,0.8486,0.6857,0.8544
0,2,2,15.6495,126.4113,15.0280,16.2710,125.7317,127.0910,2.6546,294.5122,30,240,0.8231,0.5855,0.7790
0,3,3,15.6495,127.7706,15.0280,16.2710,127.0910,128.4503,2.3171,256.8261,30,240,0.7673,0.6945,0.6105
0,4,4,15.6495,129.1389,15.0280,16.2710,128.4583,129.8196,2.4726,274.0676,30,238,0.8877,0.7454,0.8179
0,5,5,15.6495,130.4893,15.0280,16.2710,129.8096,131.1690,3.0983,343.8788,30,240,0.8296,0.5633,0.8080
0,6,6,15.6495,131.8549,15.0280,16.2710,131.1748,132.5351,4.0762,452.9849,30,239,0.7702,0.4804,0.7035
0,7,7,15.6495,133.2079,15.0280,16.2710,132.5283,133.8876,5.2015,578.4310,30,240,0.7662,0.4830,0.7199
1,0,8,16.8925,123.6927,16.2710,17.5140,123.0130,124.3723,4.3415,483.2355,30,240,0.8032,0.7451,0.9846
1,1,9,16.8925,125.0520,16.2710,17.5140,124.3723,125.7317,3.0660,341.2143,30,240,0.9359,0.6832,0.9309
1,2,10,16.8925,126.4113,16.2710,17.5140,125.7317,127.0910,1.9088,212.2886,30,240,0.9016,0.8984,0.6627
1,3,11,16.8925,127.7706,16.2710,17.5140,127.0910,128.4503,1.5057,167.4274,30,240,0.7864,0.6438,0.5631
1,4,12,16.8925,129.1300,16.2710,17.5140,128.4503,129.8096,1.4479,160.8255,30,240,0.8204,0.5528,0.7032
1,5,13,16.8925,130.4893,16.2710,17.5140,129.8096,131.1690,2.3233,258.4316,30,240,0.7234,0.6259,0.6162
1,6,14,16.8925,131.8486,16.2710,17.5140,131.1690,132.5283,3.5522,395.3274,30,240,0.9357,0.8213,0.7019
1,7,15,16.8925,133.2079,16.2710,17.5140,132.5283,133.8876,4.8250,537.0437,30,240,0.8267,0.6452,0.6384
2,0,16,18.1355,123.6927,17.5140,18.7570,123.0130,124.3723,4.3456,483.6765,30,240,0.8734,0.5162,1.0036
2,1,17,18.1355,125.0520,17.5140,18.7570,124.3723,125.7317,3.0719,341.8650,30,240,0.7096,0.5164,0.7629
2,2,18,18.1355,126.4162,17.5140,18.7570,125.7356,127.0969,1.9178,213.2712,30,238,0.6394,0.5150,0.5088
2,3,19,18.1355,127.7706,17.5140,18.7570,127.0910,128.4503,1.5176,168.7342,30,240,0.5711,0.5517,0.4427
2,4,20,18.1355,129.1034,17.5140,18.7570,128.4266,129.7800,1.4487,160.8987,30,238,0.5314,0.4259,0.4230
2,5,21,18.1355,130.5110,17.5140,18.7570,129.8294,131.1927,2.3555,262.0036,30,236,0.7849,0.7029,0.6956
2,6,22,18.1355,131.8486,17.5140,18.7570,131.1690,132.5283,3.5589,396.0628,30,240,0.7215,0.6833,0.4904
2,7,23,18.1355,133.2303,17.5140,18.7570,132.5492,133.9115,4.8507,539.9061,30,237,0.8236,0.7906,0.5108
3,0,24,19.3785,123.6927,18.7570,20.0000,123.0130,124.3723,4.6919,521.7432,30,240,0.5549,0.2823,0.6256
3,1,25,19.3785,125.0579,18.7570,20.0000,124.3763,125.7396,3.5530,394.7653,30,236,0.3929,0.2036,0.4979
3,2,26,19.3785,126.4162,18.7570,20.0000,125.7356,127.0969,2.6727,296.5079,30,238,0.4530,0.3676,0.4124
3,3,27,19.3785,127.7706,18.7570,20.0000,127.0910,128.4503,2.3397,259.3170,30,240,0.5656,0.5850,0.4276
3,4,28,19.3785,129.1300,18.7570,20.0000,128.4503,129.8096,2.4915,276.1437,30,240,0.5497,0.4243,0.4940
3,5,29,19.3785,130.4893,18.7570,20.0000,129.8096,131.1690,3.1191,346.1739,30,240,0.5368,0.4637,0.3987
3,6,30,19.3785,131.8743,18.7570,20.0000,131.1927,132.5560,4.1088,456.5997,30,236,0.6096,0.5845,0.4064
3,7,31,19.3785,133.2079,18.7570,20.0000,132.5283,133.8876,5.2136,579.7637,30,240,0.6376,0.5087,0.4552
