tile_y,tile_x,tile_id,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget,mean_ratio_to_global,median_ratio_to_global,mean_tile_n,tile_center_x,tile_center_y,tile_center_lon,tile_center_lat,tile_x_min,tile_x_max,tile_y_min,tile_y_max,tile_lon_min,tile_lon_max,tile_lat_min,tile_lat_max,dist_to_nadir_deg,dist_to_nadir_km
0,0,0,30,240,0.6769,0.5338,0.6497,9727.9765,1.6147,576.3000,123.6927,15.6495,123.6927,15.6495,123.0130,124.3723,15.0280,16.2710,123.0130,124.3723,15.0280,16.2710,4.6807,520.5165
0,1,1,30,238,0.8486,0.6857,0.8544,9834.7924,1.6977,582.8333,125.0549,15.6495,125.0549,15.6495,124.3743,125.7356,15.0280,16.2710,124.3743,125.7356,15.0280,16.2710,3.5403,393.3695
0,2,2,30,240,0.8231,0.5855,0.7790,18348.0250,1.6554,590.3167,126.4113,15.6495,126.4113,15.6495,125.7317,127.0910,15.0280,16.2710,125.7317,127.0910,15.0280,16.2710,2.6546,294.5122
0,3,3,30,240,0.7673,0.6945,0.6105,26701.7031,1.4336,591.0625,127.7706,15.6495,127.7706,15.6495,127.0910,128.4503,15.0280,16.2710,127.0910,128.4503,15.0280,16.2710,2.3171,256.8261
0,4,4,30,238,0.8877,0.7454,0.8179,61976.0374,1.6997,585.8778,129.1389,15.6495,129.1389,15.6495,128.4583,129.8196,15.0280,16.2710,128.4583,129.8196,15.0280,16.2710,2.4726,274.0676
0,5,5,30,240,0.8296,0.5633,0.8080,12302.6994,1.7733,592.4375,130.4893,15.6495,130.4893,15.6495,129.8096,131.1690,15.0280,16.2710,129.8096,131.1690,15.0280,16.2710,3.0983,343.8788
0,6,6,30,239,0.7702,0.4804,0.7035,23956.3305,2.3044,587.4554,131.8549,15.6495,131.8549,15.6495,131.1748,132.5351,15.0280,16.2710,131.1748,132.5351,15.0280,16.2710,4.0762,452.9849
0,7,7,30,240,0.7662,0.4830,0.7199,14502.2751,1.9739,527.7500,133.2079,15.6495,133.2079,15.6495,132.5283,133.8876,15.0280,16.2710,132.5283,133.8876,15.0280,16.2710,5.2015,578.4310
1,0,8,30,240,0.8032,0.7451,0.9846,4142.5396,1.6284,557.3708,123.6927,16.8925,123.6927,16.8925,123.0130,124.3723,16.2710,17.5140,123.0130,124.3723,16.2710,17.5140,4.3415,483.2355
1,1,9,30,240,0.9359,0.6832,0.9309,14339.3811,1.9157,565.9083,125.0520,16.8925,125.0520,16.8925,124.3723,125.7317,16.2710,17.5140,124.3723,125.7317,16.2710,17.5140,3.0660,341.2143
