tile_y,tile_x,tile_id,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget,mean_ratio_to_global,median_ratio_to_global,mean_tile_n,tile_center_x,tile_center_y,tile_center_lon,tile_center_lat,tile_x_min,tile_x_max,tile_y_min,tile_y_max,tile_lon_min,tile_lon_max,tile_lat_min,tile_lat_max,dist_to_nadir_deg,dist_to_nadir_km
0,0,0,31,241,0.6220,0.1804,0.7587,17925.4472,0.6302,638.7210,123.8094,15.6495,123.8094,15.6495,123.0130,124.6057,15.0280,16.2710,123.0130,124.6057,15.0280,16.2710,4.5790,509.1753
0,1,1,31,242,0.5322,0.4094,0.5901,64747.1160,0.6389,661.4000,125.4226,15.6495,125.4226,15.6495,124.6195,126.2258,15.0280,16.2710,124.6195,126.2258,15.0280,16.2710,3.2544,361.4729
0,2,2,31,246,0.8591,0.8077,0.7492,32114.7059,1.2478,659.3844,127.0093,15.6495,127.0093,15.6495,126.2101,127.8086,15.0280,16.2710,126.2101,127.8086,15.0280,16.2710,2.3822,264.0597
0,3,3,31,248,0.6797,0.5072,0.6663,22845.9931,1.5539,675.1532,128.5944,15.6495,128.5944,15.6495,127.7972,129.3918,15.0280,16.2710,127.7972,129.3918,15.0280,16.2710,2.4401,270.5768
0,4,4,31,248,0.5333,0.4682,0.4303,75367.1636,97.4004,664.9315,130.1891,15.6495,130.1891,15.6495,129.3918,130.9864,15.0280,16.2710,129.3918,130.9864,15.0280,16.2710,3.0890,342.8788
0,5,5,31,248,0.5894,0.4707,0.6130,11855.2294,672.7527,686.8427,131.7837,15.6495,131.7837,15.6495,130.9864,132.5810,15.0280,16.2710,130.9864,132.5810,15.0280,16.2710,4.1224,458.0869
0,6,6,31,248,0.6493,0.2980,0.6719,64214.7738,1.5945,683.7379,133.3783,15.6495,133.3783,15.6495,132.5810,134.1757,15.0280,16.2710,132.5810,134.1757,15.0280,16.2710,5.4042,600.9751
0,7,7,31,248,0.6525,0.5239,0.6336,38617.5231,2.1865,599.9758,134.9729,15.6495,134.9729,15.6495,134.1757,135.7702,15.0280,16.2710,134.1757,135.7702,15.0280,16.2710,6.8005,756.5567
1,0,8,31,248,1.2191,0.9232,1.3339,2997.5600,1.7894,594.4516,123.8106,16.8925,123.8106,16.8925,123.0133,124.6079,16.2710,17.5140,123.0133,124.6079,16.2710,17.5140,4.2302,470.8464
1,1,9,31,242,1.0829,0.8202,1.1454,95016.7225,1.7933,626.4387,125.4226,16.8925,125.4226,16.8925,124.6195,126.2258,16.2710,17.5140,124.6195,126.2258,16.2710,17.5140,2.7219,302.8984
1,2,10,31,239,1.1634,1.3462,0.9450,35856.7362,101.2554,642.2513,127.0243,16.8925,127.0243,16.8925,126.2221,127.8266,16.2710,17.5140,126.2221,127.8266,16.2710,17.5140,1.4570,161.9010
1,3,11,31,243,1.0601,0.9750,1.0062,88332.8403,1.9981,641.7758,128.6282,16.8925,128.6282,16.8925,127.8261,129.4303,16.2710,17.5140,127.8261,129.4303,16.2710,17.5140,1.6909,188.0603
1,4,12,31,248,1.0690,0.7404,1.1355,100102.6048,1238.8132,643.1815,130.1891,16.8925,130.1891,16.8925,129.3918,130.9864,16.2710,17.5140,129.3918,130.9864,16.2710,17.5140,2.2865,254.2724
1,5,13,31,247,1.0574,1.0057,0.9358,20291.9361,1.5092,653.6895,131.7732,16.8925,131.7732,16.8925,130.9768,132.5696,16.2710,17.5140,130.9768,132.5696,16.2710,17.5140,3.5118,390.7866
1,6,14,31,246,0.9925,0.8396,0.8079,39363.1572,1368.3756,651.1774,133.4031,16.8925,133.4031,16.8925,132.6039,134.2023,16.2710,17.5140,132.6039,134.2023,16.2710,17.5140,5.0181,558.5362
1,7,15,31,248,0.9253,0.6800,0.9202,105901.8492,825.6798,601.9234,134.9729,16.8925,134.9729,16.8925,134.1757,135.7702,16.2710,17.5140,134.1757,135.7702,16.2710,17.5140,6.4982,723.3294
2,0,16,31,243,1.4967,1.4927,1.5332,24719.5333,1.3958,618.6895,123.8115,18.1355,123.8115,18.1355,123.0133,124.6098,17.5140,18.7570,123.0133,124.6098,17.5140,18.7570,4.2335,471.1976
2,1,17,31,246,1.1052,0.9732,1.1232,17850.5772,1.7646,630.3710,125.4052,18.1355,125.4052,18.1355,124.6079,126.2025,17.5140,18.7570,124.6079,126.2025,17.5140,18.7570,2.7449,305.4396
