date,method,band,wavelet_detail_level,orientation,orientation_label,n_coefficients,observed_energy_ratio,null_mean,null_q025,null_q975,monte_carlo_two_sided_p,native_nll_per_observation
2024-07-03,adapted,low,3,H,lat detail (cH),2353,0.8902199670671509,1.015013147083564,0.9496677130212825,1.095298632087651,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,low,3,V,lon detail (cV),2353,0.914986466352857,1.0017241459366089,0.9471195756733469,1.0595565306284191,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,low,3,D,diagonal (cD),2353,0.8633289090519545,1.0122346972751837,0.9505208693091803,1.0692054957530113,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,low,3,all,pooled,7059,0.8895117808239875,1.009657330098452,0.9560933889786706,1.0543342566610214,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,middle,2,H,lat detail (cH),8218,1.0283440474736012,1.0063355090389814,0.964742811312488,1.0479657101511917,0.27692307692307694,1.3771604850377008
2024-07-03,adapted,middle,2,V,lon detail (cV),8218,0.9376626393364038,1.0026998825252802,0.9599882967057158,1.040253163473394,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,middle,2,D,diagonal (cD),8218,1.0516651890254292,1.0119818270423986,0.9648980746739534,1.0428409995063568,0.07692307692307693,1.3771604850377008
2024-07-03,adapted,middle,2,all,pooled,24654,1.005890625278478,1.0070057395355534,0.9794944387216296,1.0308637383987682,0.8307692307692308,1.3771604850377008
2024-07-03,adapted,high,1,H,lat detail (cH),29122,1.071401962996261,0.9976582034680406,0.9837720264957882,1.0173888078808184,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,high,1,V,lon detail (cV),29122,1.0866257827603396,1.001032197606688,0.9809891188924243,1.0218914888049297,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,high,1,D,diagonal (cD),29122,0.9539210050821475,1.0011118766247948,0.9843954594413511,1.0216574103917861,0.015384615384615385,1.3771604850377008
2024-07-03,adapted,high,1,all,pooled,87366,1.0373162502795832,0.9999340925665079,0.9874473635205424,1.0116740732850007,0.015384615384615385,1.3771604850377008
2024-07-03,fixed,low,3,H,lat detail (cH),2353,0.8596391048503345,1.0152066113691152,0.9475707346298157,1.091113336760229,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,low,3,V,lon detail (cV),2353,0.8758683085653787,1.0021657509519235,0.947571241003162,1.0625002847514233,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,low,3,D,diagonal (cD),2353,0.8459785410535713,1.0109718392568021,0.9514745517257596,1.0634495523647465,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,low,3,all,pooled,7059,0.8604953181564282,1.0094480671926134,0.9558114764241226,1.0540493138082232,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,middle,2,H,lat detail (cH),8218,1.0174202842728777,1.0062964480511378,0.9654763807517128,1.0472054393791776,0.5076923076923077,1.3816898837122225
2024-07-03,fixed,middle,2,V,lon detail (cV),8218,0.9247776512555229,1.0031996451701506,0.9620220833973827,1.0409441422784038,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,middle,2,D,diagonal (cD),8218,1.0484611460745867,1.0124298212326288,0.964749978099781,1.0433440518039485,0.09230769230769231,1.3816898837122225
2024-07-03,fixed,middle,2,all,pooled,24654,0.9968863605343291,1.0073086381513057,0.9783378637133707,1.0317003956290345,0.4307692307692308,1.3816898837122225
2024-07-03,fixed,high,1,H,lat detail (cH),29122,1.067886383070856,0.9979115760799631,0.984028630418516,1.0180486703384088,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,high,1,V,lon detail (cV),29122,1.0836921674763316,1.0010995570723333,0.9811931291709536,1.0224272305673243,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,high,1,D,diagonal (cD),29122,0.9493990992314788,1.00131448880381,0.9846296849566492,1.0213428647421772,0.015384615384615385,1.3816898837122225
2024-07-03,fixed,high,1,all,pooled,87366,1.033659216592889,1.0001085406520354,0.9872532236348867,1.012168242489442,0.015384615384615385,1.3816898837122225
