lanczos_steps,n_slq_probes,mode_fraction_rmse,mode_fraction_max_abs_error,energy_per_n_rmse,energy_per_n_max_abs_error,endpoint_energy_relative_error,shape_D_exact,shape_D_lanczos_slq
64,16,0.0638300059615921,0.17309747419686694,0.25115234368893596,0.7344916356850149,3.552713678800501e-15,4.787674565583961,45.673093494528516
128,16,0.034479566669912746,0.1001988590375828,0.14378246905653547,0.4021779371167554,8.659739592076221e-15,4.787674565583961,29.92290139491605
256,16,0.015467930516846095,0.04669073338912014,0.05925388294065868,0.1966967433466732,1.8207657603852567e-14,4.787674565583961,14.530018368991886
512,16,0.005984563463138514,0.019738224395800544,0.02416215096251122,0.0801528841162758,1.8207657603852567e-14,4.787674565583961,7.599798882703112
