rank,rank_fraction,precision_eigenvalue,implied_covariance_eigenvalue,standardized_energy,cumulative_energy,cumulative_energy_per_n,threshold_above_rank
1,0.0003125,0.14256512614892422,7.014338127512301,5.191058735769183,5.191058735769183,0.0016222058549278699,0.1431960295487548
2,0.000625,0.14382972492942017,6.952665733670268,8.478480741132522,13.669539476901704,0.004271731086531783,0.1475413964057188
3,0.0009375,0.15134885131728945,6.607251996274413,5.872871706436127,19.542411183337833,0.006107003494793073,0.1532307609060634
4,0.00125,0.1551360706308113,6.445954160975067,1.1427751394162122,20.685186322754046,0.006464120725860639,0.15744488657576655
5,0.0015625,0.15978806352423314,6.258289749211098,4.570166325143784,25.25535264789783,0.007892297702468071,0.1605916774720373
6,0.001875,0.16139933299443004,6.195812469897322,2.1401569047661315,27.39550955266396,0.008561096735207488,0.16145462131066302
7,0.0021875,0.16150992856624263,6.191569824079602,0.3617798504280053,27.757289403091963,0.008674152938466238,0.16339314911929426
8,0.0025,0.1652983281964002,6.04966796041545,0.012082520946902053,27.769371924038865,0.008677928726262146,0.1662346236139186
9,0.0028125,0.16717622246746344,5.981711904003719,1.4785882767700105,29.247960200808876,0.009139987562752774,0.16729810147816843
10,0.003125,0.1674200693441725,5.972999556846783,2.7325186530191834,31.98047885382806,0.009993899641821269,0.168104945674334
11,0.0034375,0.16879262367331246,5.92442950549449,1.2420894512878553,33.222568305115914,0.010382052595348723,0.16995663132890118
12,0.00375,0.17112866607591595,5.843556330628913,9.838117972382255,43.06068627749817,0.013456464461718179,0.17123299880229775
13,0.0040625,0.17133739513764726,5.836437510892647,3.470006032883129,46.5306923103813,0.014540841346994156,0.1714217825598199
14,0.004375,0.17150621154464746,5.83069260870283,0.08045416613217779,46.611146476513476,0.014565983273910461,0.17195027882061475
15,0.0046875,0.17239549588435832,5.8006155837783195,8.058812368200005,54.66995884471348,0.01708436213897296,0.17243985528179043
16,0.005,0.17248422609341948,5.797631601734921,5.322521869157121,59.9924807138706,0.018747650223084562,0.17273831980699397
17,0.0053125,0.17299278783662472,5.7805878066107885,3.059951285769509,63.052431999640106,0.019703884999887532,0.1731908406722158
18,0.005625,0.173389120250934,5.767374553563508,3.274780168774359,66.32721216841446,0.02072725380262952,0.1735680436431847
19,0.0059375,0.17374715166974375,5.755490034741902,0.2695510134889733,66.59676318190344,0.020811488494344825,0.1739974137527732
20,0.00625,0.17424803630853325,5.738945592645558,1.5137974482096574,68.1105606301131,0.021284550196910345,0.17464741353924818
21,0.0065625,0.17504770614425247,5.712728387174208,11.031895852850376,79.14245648296347,0.024732017650926082,0.1751061708432309
22,0.006875,0.17516465506900636,5.708914276148054,0.8944138300764012,80.03687031303987,0.025011521972824958,0.17582902435337877
23,0.0071875,0.17649591347570506,5.665853561746355,0.7353586412523694,80.77222895429225,0.025241321548216327,0.1765930414849738
24,0.0075,0.1766902229450562,5.659622718971616,0.17971984531142385,80.95194879960367,0.025297483999876146,0.17672311224473522
25,0.0078125,0.17675600766646227,5.657516331139337,0.4010844258184482,81.35303322542212,0.025422822882944413,0.17678465266931942
26,0.008125,0.17681330231437345,5.655683067453847,14.149705476919516,95.50273870234165,0.029844605844481766,0.17688491704131015
27,0.0084375,0.1769565607743739,5.651104404515618,3.596023700872958,99.09876240321461,0.030968363251004563,0.1770676735543413
28,0.00875,0.1771788561031255,5.644014314089251,0.09769981842539112,99.19646222164,0.0309988944442625,0.17720594315684524
29,0.0090625,0.17723303435162613,5.642288999103992,7.614749938237009,106.81121215987702,0.033378503799961566,0.17770068368820094
30,0.009375,0.1781695669702577,5.612630804490491,0.7011175368397887,107.5123296967168,0.033597603030224,0.17819025604780991
31,0.0096875,0.17821094752778102,5.611327552389067,7.230987464145012,114.74331716086182,0.03585728661276932,0.1783760439833858
32,0.01,0.1785412933860459,5.600945198922571,3.672831982774768,118.41614914363659,0.03700504660738643,0.17863734612747473
33,0.0103125,0.17873345054394724,5.594923596879357,0.08102614707784044,118.49717529071442,0.037030367278348256,0.17916364099026344
34,0.010625,0.17959486685451365,5.568087871966189,0.8212385718139638,119.31841386252839,0.03728700433204012,0.17981491993426577
35,0.0109375,0.1800352426395298,5.554468032696355,7.3309848725718325,126.64939873510022,0.03957793710471882,0.18010341617745465
36,0.01125,0.18017161553049882,5.550263825162424,1.406227319473959,128.0556260545742,0.040017383142054434,0.18041086757612415
37,0.0115625,0.18065043732740563,5.5355526108560085,6.576786708144556,134.63241276271876,0.04207262898834961,0.180718342339212
38,0.011875,0.18078627287595314,5.531393418825289,11.945933240965083,146.57834600368383,0.045805733126151195,0.1815060609732551
39,0.0121875,0.18222871485730505,5.487609352801803,0.08440175705416798,146.662747760738,0.045832108675230625,0.18270725219623446
40,0.0125,0.18318704618664675,5.458901275044928,0.4351320835042985,147.0978798442423,0.04596808745132572,0.1832420467912404
41,0.0128125,0.18329706390937345,5.4556247583672395,0.059226965829632654,147.15710681007192,0.045986595878147477,0.18363735469959674
42,0.013125,0.1839782772392842,5.435424306639141,0.3388140284110603,147.495920838483,0.046092475262025936,0.18410712013926742
43,0.0134375,0.18423605326997308,5.427819269090805,4.853954436502393,152.34987527498538,0.04760933602343293,0.1842837367609679
44,0.01375,0.1843314325932785,5.425010731655672,9.577920652774592,161.92779592775997,0.05060243622742499,0.1843383337567532
45,0.0140625,0.18434523517859983,5.42460454175106,0.12110396803909707,162.04889989579908,0.050640281217437216,0.18439533198219155
46,0.014375,0.1844454423998576,5.421657412559477,0.3351715839401348,162.38407147973922,0.050745022337418504,0.1844886928994409
47,0.0146875,0.18453195354080754,5.419115664316962,5.874373569493462,168.25844504923268,0.052580764077885214,0.18454184139643703
48,0.015,0.18455172978189177,5.418534961345673,5.024478634748938,173.2829236839816,0.054150913651244255,0.18457181449658686
49,0.0153125,0.18459190139709597,5.417355758467377,2.12889271519904,175.41181639918065,0.05481619262474395,0.18466071713146529
50,0.015625,0.18472955852029324,5.413318843016378,0.9365290349106277,176.34834543409127,0.055108857948153525,0.1847537043905528
51,0.0159375,0.184777853416902,5.4119039782530995,0.5238955683142892,176.87224100240556,0.055272575313251734,0.18478628296007635
52,0.01625,0.1847947128878054,5.411410231239305,0.30442960277227277,177.17667060517783,0.05536770956411807,0.1848941700226536
53,0.0165625,0.18499368068566566,5.405590052014602,4.55097857743555,181.7276491826134,0.056789890369566685,0.1850716718207529
54,0.016875,0.1851496958359749,5.401035067785935,0.5065490616541957,182.2341982442676,0.05694818695133362,0.18515376534744382
55,0.0171875,0.18515783494835888,5.400797650711908,3.5153334417442306,185.7495316860118,0.05804672865187869,0.18516880114301046
56,0.0175,0.18517976798714805,5.400157970115842,5.780463539718334,191.52999522573015,0.05985312350804067,0.18519397261986248
57,0.0178125,0.1852081783421754,5.399329602780727,1.6832572361385065,193.21325246186865,0.06037914139433395,0.1852236721327681
58,0.018125,0.18523916721951064,5.398426342604898,2.2676693970996595,195.48092185896832,0.0610877880809276,0.18524429762689015
59,0.0184375,0.18524942817636209,5.398127324031332,6.990735935457204,202.4716577944255,0.06327239306075798,0.18534666251911794
60,0.01875,0.18544394789856258,5.392465008062693,1.9980481467175006,204.46970594114302,0.0638967831066072,0.18544423345848737
61,0.0190625,0.1854445190188519,5.392448400690355,11.448950804312352,215.91865674545537,0.0674745802329548,0.18555604665801384
62,0.019375,0.18566764137068306,5.385968134336951,2.5050049315198035,218.42366167697517,0.06825739427405474,0.18567631830118148
63,0.0196875,0.1856849956371847,5.385464757496771,20.087198239283282,238.51085991625845,0.07453464372383077,0.18570183003425364
64,0.02,0.18571866595754669,5.384488386474784,8.302936910597467,246.81379682685593,0.07712931150839247,0.1857662812835604
65,0.0203125,0.18581390881738993,5.381728452754082,3.425662472325353,250.23945929918128,0.07819983103099415,0.1858407823831806
66,0.020625,0.18586765983559386,5.38017211216052,2.293537275172137,252.5329965743534,0.07891656142948544,0.18589352266882136
67,0.0209375,0.18591938910077146,5.378675160437317,1.1094712938985325,253.64246786825194,0.07926327120882873,0.18593187326428104
68,0.02125,0.18594435826608044,5.3779528958282885,4.2985659990658134e-06,253.64247216681795,0.07926327255213061,0.1859507425262291
69,0.0215625,0.18595712700557654,5.37758361888443,0.5618449048873906,254.20431707170533,0.07943884908490792,0.1859916435292569
70,0.021875,0.18602616645973877,5.375587848908491,2.292764007597556,256.4970810793029,0.08015533783728217,0.18612063103763848
71,0.0221875,0.1862151435849,5.37013252922728,2.033853591461767,258.5309346707647,0.08079091708461396,0.18622094415398668
72,0.0225,0.1862267449037601,5.369797987484498,3.489544468092535,262.02047913885724,0.08188139973089288,0.1862782436591728
73,0.0228125,0.1863297566559439,5.366829313508364,0.4963707640537003,262.51684990291096,0.08203651559465967,0.1863392109038055
74,0.023125,0.1863486656313694,5.366284736259806,18.707849335616533,281.2246992385275,0.08788271851203984,0.1863610792748835
75,0.0234375,0.1863734937453343,5.36556985601411,0.4753062253089522,281.7000054638364,0.08803125170744888,0.18637796313171268
76,0.02375,0.18638243262527057,5.3653125239036905,10.568975060474742,292.26898052431113,0.09133405641384723,0.18639891687539648
77,0.0240625,0.18641540258344147,5.36436359947451,4.695944223013622,296.96492474732474,0.09280153898353899,0.1864230349427501
78,0.024375,0.1864306676145485,5.36392436284964,1.6315978905329707,298.59652263785773,0.09331141332433054,0.18644902236865069
79,0.0246875,0.18646737892984291,5.362868324417448,2.740943823270201,301.3374664611279,0.09416795826910247,0.1864887036668046
80,0.025,0.18651003084250067,5.361641920720366,14.216335491132494,315.5538019522604,0.09861056311008137,0.18659704092856275
81,0.0253125,0.18668409160630262,5.356642825832724,0.046722006937364245,315.6005239591978,0.09862516373724932,0.18669612896664747
82,0.025625,0.1867081671031594,5.355952101696136,5.106386705644054,320.70691066484187,0.10022090958276308,0.1867777225938875
83,0.0259375,0.18684730399653132,5.351963761909908,4.658646890248083,325.36555755508994,0.10167673673596561,0.1868497712440923
84,0.02625,0.18685223852423238,5.35182242341888,19.30400536794543,344.66956292303536,0.10770923841344855,0.18685339872202994
85,0.0265625,0.18685455892703137,5.351755963259694,0.023968256824122635,344.69353117985946,0.10771672849370609,0.18688364198388363
86,0.026875,0.1869127295673806,5.350090399485112,0.06908702733699487,344.76261820719645,0.1077383181897489,0.18693506211597
87,0.0271875,0.18695739733287808,5.348812158630437,0.8119940770586517,345.5746122842551,0.10799206633882973,0.1869768019631962
88,0.0275,0.18699620860755428,5.347702006614919,2.2822586644009357,347.8568709486561,0.10870527217145502,0.1870112396887961
89,0.0278125,0.18702627197826244,5.346842395041843,4.103693982447506,351.9605649311036,0.10998767654096987,0.18704323400901435
90,0.028125,0.18706019757810888,5.345872681346013,0.3672049573958181,352.3277698884994,0.11010242809015607,0.18708101421352397
91,0.0284375,0.18710183316547838,5.344683069543047,0.07515993751238813,352.4029298260118,0.11012591557062869,0.1871377061143565
92,0.02875,0.18717358594113875,5.342634191527827,0.08210883058142675,352.48503865659325,0.11015157458018539,0.18721787215066718
93,0.0290625,0.18726216883853497,5.340106900407847,0.5725923939567688,353.05763105055,0.11033050970329689,0.18727274100820301
94,0.029375,0.18728331377473892,5.339503983802756,2.572964795051068,355.6305958456011,0.11113456120175033,0.18730466508197693
95,0.0296875,0.18732601882337907,5.338286727498613,0.15069267508778006,355.78128852068886,0.11118165266271526,0.18734018983727885
96,0.03,0.18735436192320074,5.33747914772283,1.9186028547571994,357.69989137544604,0.11178121605482688,0.18736240500864093
97,0.0303125,0.1873704484393692,5.337020903398157,1.0562054017442633,358.7560967771903,0.11211128024287197,0.18738045189869673
98,0.030625,0.18739045589209566,5.3364510761200465,17.80268549465143,376.5587822718417,0.11767461945995054,0.1873995094026476
99,0.0309375,0.18740856335060738,5.335935466989209,7.1038275099169965,383.6626097817587,0.1198945655567996,0.18750680105060993
100,0.03125,0.18760509024583516,5.330345774145113,0.056571760376011165,383.7191815421347,0.1199122442319171,0.18760988898670194
101,0.0315625,0.18761468785031551,5.330073095331583,5.133782503280131,388.85296404541486,0.12151655126419214,0.1876390759593699
102,0.031875,0.18766346723864444,5.328687648770436,0.1510968753752623,389.00406092079015,0.12156376903774692,0.18768688652722107
103,0.0321875,0.18771030873838612,5.327357920409746,4.834673824012651,393.8387347448028,0.12307460460775088,0.18771273868897562
104,0.0325,0.18771516867102134,5.327219995484445,4.566858802014588,398.4055935468174,0.12450174798338043,0.1877451663645096
105,0.0328125,0.18777516885175866,5.325517778069272,0.050626338156363054,398.45621988497373,0.1245175687140543,0.1878080500618312
106,0.033125,0.18784093702971502,5.323653170670712,0.03614016355291019,398.4923600485266,0.12452886251516457,0.18788845566313064
107,0.0334375,0.1879359863174644,5.320960714308246,1.1804702162539271,399.67283026478054,0.12489775945774392,0.18803047479053794
108,0.03375,0.18812501076952942,5.315614313638991,0.001087556416307682,399.6739178211968,0.124898099319124,0.18812578773423624
109,0.0340625,0.18812656470215197,5.315570406461374,0.7807096834588653,400.45462750465566,0.1251420710952049,0.18813940297123147
110,0.034375,0.18815224211642942,5.314844982719875,4.9631953374075755,405.41782284206323,0.12669306963814475,0.18816122657193776
111,0.0346875,0.18817021145646273,5.314337440872631,0.369765373235451,405.7875882152987,0.12680862131728085,0.18817493668099608
112,0.035,0.18817966202418662,5.3140705496190686,0.1890275628499167,405.9766157781486,0.12686769243067142,0.18820418508440678
113,0.0353125,0.18822871134040528,5.312685789956526,2.49347963348818,408.47009541163675,0.1276469048161365,0.18829355726903965
114,0.035625,0.18835842553748836,5.309027175962316,3.5509321557944906,412.02102756743125,0.12875657111482228,0.18836699167343338
115,0.0359375,0.1883755581989478,5.308544322633814,2.4370851019474813,414.45811266937875,0.12951816020918086,0.18837913815993387
116,0.03625,0.18838271818895488,5.308342557181719,3.3346377592983827,417.79275042867715,0.13056023450896162,0.18841267368204037
117,0.0365625,0.18844263393846922,5.306654758001963,9.092175852227046e-06,417.792759520853,0.13056023735026656,0.18844368564627229
118,0.036875,0.18844473735994496,5.306595525084458,1.9184384349098942,419.7111979557629,0.13115974936117591,0.1884461970376986
119,0.0371875,0.1884476567267588,5.306513317116795,2.7077203023532865,422.41891825811615,0.1320059119556613,0.18845236456085596
120,0.0375,0.1884570725125651,5.306248190464311,0.04319714762286693,422.46211540573904,0.13201941106429346,0.1884639625408947
121,0.0378125,0.18847085282112513,5.305860216747069,0.7747592469442872,423.23687465268335,0.13226152332896354,0.18862367677914582
122,0.038125,0.18877662465639217,5.297266024435928,0.3826137395461918,423.6194883922295,0.13238109012257174,0.18877925108730312
123,0.0384375,0.18878187755475537,5.297118626812864,11.414989985894211,435.03447837812377,0.13594827449316368,0.1887895631137495
124,0.03875,0.18879724898563285,5.296687347791272,0.08404968072295112,435.1185280588467,0.1359745400183896,0.1888323842042679
125,0.0390625,0.18886752596157658,5.294716468110252,0.19730151172156085,435.31582957056827,0.13603619674080258,0.18887084546952193
126,0.039375,0.18887416503581048,5.294530354696209,1.460653702472353,436.77648327304064,0.1364926510228252,0.18889305126061165
127,0.0396875,0.18891193937391618,5.293471674231692,0.32801965105857755,437.1045029240992,0.136595157163781,0.18891402258547688
128,0.04,0.18891610582001003,5.293354929477272,2.554727716277097,439.65923064037634,0.13739350957511762,0.18892760312236193
129,0.0403125,0.1889391011244316,5.292710688516611,2.6476774570177146,442.30690809739406,0.13822090878043564,0.18897230471273654
130,0.040625,0.18900551413614006,5.290850928717896,11.079396490997144,453.3863045883912,0.14168322018387225,0.18900931518195405
131,0.0409375,0.18901311630421,5.290638128999127,3.3647943460254046,456.75109893441663,0.1427347184170052,0.18903663196708695
132,0.04125,0.18906015055561484,5.289321927763065,0.5005578645881644,457.2516567990048,0.142891142749689,0.1890992597749812
133,0.0415625,0.18913837708452966,5.287134295083225,0.2187703426045251,457.4704271416093,0.1429595084817529,0.18919249673319394
134,0.041875,0.18924663186753815,5.2841098947533345,0.49169037942753085,457.9621175210369,0.143113161725324,0.18925589745451615
135,0.0421875,0.18926516349514083,5.283592508695738,14.21246316565422,472.1745806866911,0.14755455646459098,0.18927481830530712
136,0.0425,0.1892844736079854,5.283053495824672,1.7753728444911354,473.94995353118225,0.14810936047849446,0.1892876202066058
137,0.0428125,0.18929076685753418,5.28287785295217,6.499005243582878,480.4489587747651,0.1501402996171141,0.18930684356517524
138,0.043125,0.1893229216382317,5.281980604075259,0.3003916150463141,480.7493503898114,0.15023417199681607,0.1893244515200573
139,0.0434375,0.18932598141424561,5.281895239787497,2.1304886088994985,482.8798389987109,0.15089994968709716,0.18934158737300363
140,0.04375,0.18935719461814585,5.2810245843395665,0.9771486071936287,483.8569876059045,0.15120530862684517,0.18944930558798267
141,0.0440625,0.18954146136430697,5.275890524437586,2.394257797660874,486.2512454035654,0.1519535141886142,0.1895464589238081
142,0.044375,0.18955145661507772,5.275612321094956,6.71471012450332,492.9659555280687,0.15405186110252148,0.1895641115419423
143,0.0446875,0.18957676731368128,5.274907965623024,0.00015837173585104232,492.96611389980455,0.15405191059368892,0.1896052006238837
144,0.045,0.18963363819860196,5.273326027488367,2.7773126780514286,495.743426577856,0.15491982080558,0.18965928314828945
145,0.0453125,0.1896849315660507,5.271900048907086,0.17728438828561127,495.9207109661416,0.15497522217691925,0.18969619189348427
146,0.045625,0.18970745288936827,5.271274189650157,4.755144834523475,500.6758558006651,0.15646120493770785,0.18971881751704958
147,0.0459375,0.18973018282554105,5.270642683771147,0.9733109417386517,501.64916674240374,0.15676536460700116,0.1897322382036295
148,0.04625,0.1897342936039842,5.270528490159046,1.3189746492233454,502.96814139162706,0.15717754418488344,0.18975074162667765
149,0.0465625,0.18976719107524648,5.269614807142717,2.6053943497861924,505.57353574141325,0.15799172991919164,0.1897797513046945
150,0.046875,0.18979231236547356,5.268917310382678,0.14603432908651928,505.7195700704998,0.1580373656470312,0.18980892378998557
151,0.0471875,0.1898255366683996,5.267995115677556,0.030053333111107985,505.7496234036109,0.1580467573136284,0.18982845195016593
152,0.0475,0.18983136727670424,5.267833310932056,6.355290289995147,512.104913693606,0.16003278552925188,0.18985453773366262
153,0.0478125,0.18987771101876305,5.266547582834425,0.08916237805277576,512.1940760716587,0.16006064877239334,0.1898973230677848
154,0.048125,0.18991693714249175,5.2654598112527236,1.6498580998151917,513.843934171474,0.16057622942858563,0.1899169958503158
155,0.0484375,0.18991705455815797,5.26545655589752,3.868066335909694,517.7120005073837,0.1617850001585574,0.1899199108300156
156,0.04875,0.18992276714483036,5.265298179008865,0.007761845783175352,517.7197623531669,0.16178742573536464,0.18992303585159395
157,0.0490625,0.18992330455873774,5.265283280129159,1.9593107509874133,519.6790731041543,0.16239971034504821,0.18992465164632483
158,0.049375,0.18992599874346652,5.2652085897450105,0.287018295048052,519.9660913992024,0.16248940356225072,0.189931469068167
159,0.0496875,0.18993693955042595,5.264905301554109,0.008346647007588522,519.9744380462099,0.1624920118894406,0.18993792128988624
160,0.05,0.1899389030344209,5.264850875856533,12.085558995140783,532.0599970413507,0.1662687490754221,0.18996565028025483
161,0.0503125,0.1899924012926429,5.263368393663875,1.0416344795601187,533.1016315209108,0.16659425985028464,0.1900004144372886
162,0.050625,0.19000842791989778,5.2629244447071155,3.1161763427718685,536.2178078636827,0.16756806495740084,0.1900523671713173
163,0.0509375,0.19009631658364298,5.260491197155821,3.4721896585589724,539.6899975222416,0.1686531242257005,0.19009703085795696
164,0.05125,0.19009774513495475,5.260451665484391,0.8324615768635761,540.5224590991052,0.16891326846847035,0.19010085529943663
165,0.0515625,0.1901039655148035,5.260279538577692,1.7740486280758747,542.296507727181,0.1694676586647441,0.19011240663450057
166,0.051875,0.1901208481290057,5.2598124289949215,1.308926859892395,543.6054345870734,0.16987669830846044,0.19012591587598401
167,0.0521875,0.19013098375804513,5.259532035412858,1.6060345261154738,545.2114691131889,0.17037858409787152,0.1901401011328602
168,0.0525,0.19014921894488188,5.259027649700037,0.4223426279506669,545.6338117411395,0.1705105661691061,0.19015925015385576
169,0.0528125,0.19016928189202012,5.258472819852205,2.953706148010226,548.5875178891498,0.17143359934035932,0.19017083369352794
170,0.053125,0.1901723855076986,5.258387001510888,0.6873833496877069,549.2749012388375,0.17164840663713674,0.19018075161698836
171,0.0534375,0.190189118094322,5.25792437558947,0.4619632501195036,549.736864488957,0.1717927701527991,0.1901917096236401
172,0.05375,0.19019430118827052,5.257781088877709,0.46580601887788536,550.2026705078349,0.17193833453369842,0.19023538859391376
173,0.0540625,0.19027648487561105,5.255510162770388,1.34538538480003,551.5480558926349,0.1723587674664484,0.190276723753673
174,0.054375,0.19027696263203484,5.25549696698617,1.0849408265792544,552.6329967192141,0.1726978114747544,0.1902825925473064
175,0.0546875,0.1902882226291559,5.255185981472194,4.374185315318683,557.0071820345328,0.1740647443857915,0.19028835542574343
176,0.055,0.1902884882224236,5.255178646598549,0.03289321202065403,557.0400752465534,0.17407502351454796,0.19028999736077615
177,0.0553125,0.19029150651109733,5.255095292136343,4.968040934746915,562.0081161813004,0.17562753630665637,0.19030162516245117
178,0.055625,0.19031174435185902,5.254536462821464,4.311105586415971,566.3192217677163,0.17697475680241134,0.19031742799022258
179,0.0559375,0.19032311179832734,5.254222624626026,3.3358933480782795,569.6551151157945,0.1780172234736858,0.19033687757335957
180,0.05625,0.1903506443440489,5.253462647557693,7.344902023268839,577.0000171390633,0.18031250535595728,0.19035793889343688
181,0.0565625,0.19036523372236397,5.253060028063941,0.019023698001895316,577.0190408370652,0.18031845026158286,0.19036849548396761
182,0.056875,0.19037175730145905,5.252880018418235,0.7580165559791686,577.7770573930444,0.18055533043532637,0.19037326363193696
183,0.0571875,0.1903747699743338,5.2527968918088215,0.23922438164698595,578.0162817746914,0.18063008805459105,0.19037663617869874
184,0.0575,0.19037850240135767,5.252693909167281,0.7251554801038017,578.7414372547952,0.1808566991421235,0.1903934613532256
185,0.0578125,0.1904084214804901,5.251868547749415,3.5038117371585455,582.2452489919538,0.18195164030998556,0.19040913011982757
186,0.058125,0.1904098387618024,5.251829456412561,1.105792590058351,583.3510415820122,0.1822972004943788,0.19041129245015295
187,0.0584375,0.1904127461496017,5.251749266902171,1.6815409757049655,585.0325825577171,0.1828226820492866,0.19041389237102382
188,0.05875,0.19041503859934578,5.251686039904181,1.736553374757553,586.7691359324747,0.18336535497889833,0.1904231517348802
189,0.0590625,0.19043126521609618,5.2512385446015255,8.702593374325732,595.4717293068004,0.18608491540837513,0.19043535182379387
190,0.059375,0.19043943851918915,5.251013171303997,4.808446490680341,600.2801757974808,0.18758755493671272,0.19044350941595833
