lanczos_steps,threshold_index,precision_threshold,mode_count_slq,mode_count_slq_se,mode_fraction_slq,cumulative_energy_lanczos,cumulative_energy_per_n,shape_bridge
64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,0.00028419534962158515,0.0,0.0,0.0,0.0,0.0,0.0
64,2,0.0002859283426197223,0.0,0.0,0.0,0.0,0.0,0.0
64,3,0.000287671903224738,0.0,0.0,0.0,0.0,0.0,0.0
64,4,0.0002894260958767749,0.0,0.0,0.0,0.0,0.0,0.0
64,5,0.00029119098540892415,0.0,0.0,0.0,0.0,0.0,0.0
64,6,0.00029296663704962185,0.0,0.0,0.0,0.0,0.0,0.0
64,7,0.00029475311642506135,0.0,0.0,0.0,0.0,0.0,0.0
64,8,0.0002965504895616165,0.0,0.0,0.0,0.0,0.0,0.0
64,9,0.00029835882288828294,0.0,0.0,0.0,0.0,0.0,0.0
64,10,0.0003001781832391342,0.0,0.0,0.0,0.0,0.0,0.0
64,11,0.0003020086378557897,0.0,0.0,0.0,0.0,0.0,0.0
64,12,0.0003038502543899023,0.0,0.0,0.0,0.0,0.0,0.0
64,13,0.00030570310090565644,0.0,0.0,0.0,0.0,0.0,0.0
64,14,0.0003075672458822848,0.0,0.0,0.0,0.0,0.0,0.0
64,15,0.00030944275821660007,0.0,0.0,0.0,0.0,0.0,0.0
64,16,0.0003113297072255394,0.0,0.0,0.0,0.0,0.0,0.0
64,17,0.0003132281626487272,0.0,0.0,0.0,0.0,0.0,0.0
64,18,0.0003151381946510537,0.0,0.0,0.0,0.0,0.0,0.0
64,19,0.0003170598738252663,0.0,0.0,0.0,0.0,0.0,0.0
64,20,0.00031899327119457916,0.0,0.0,0.0,0.0,0.0,0.0
64,21,0.0003209384582152998,0.0,0.0,0.0,0.0,0.0,0.0
64,22,0.0003228955067794674,0.0,0.0,0.0,0.0,0.0,0.0
64,23,0.0003248644892175114,0.0,0.0,0.0,0.0,0.0,0.0
64,24,0.00032684547830092527,0.0,0.0,0.0,0.0,0.0,0.0
64,25,0.0003288385472449544,0.0,0.0,0.0,0.0,0.0,0.0
64,26,0.000330843769711303,0.0,0.0,0.0,0.0,0.0,0.0
64,27,0.00033286121981085745,0.0,0.0,0.0,0.0,0.0,0.0
64,28,0.0003348909721064235,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,29,0.0003369331016154828,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,30,0.0003389876838129668,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,31,0.00034105479463404404,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,32,0.0003431345104769274,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,33,0.0003452269082056993,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,34,0.0003473320651531494,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,35,0.0003494500591236363,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,36,0.0003515809683959598,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,37,0.0003537248717262559,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,38,0.00035588184835090786,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,39,0.00035805197798947317,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,40,0.0003602353408476305,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,41,0.0003624320176201454,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,42,0.0003646420894938504,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,43,0.00036686563815064666,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,44,0.0003691027457705241,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,45,0.00037135349503459626,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,46,0.0003736179691281573,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,47,0.00037589625174375764,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,48,0.00037818842708429475,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,49,0.0003804945798661265,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,50,0.0003828147953222032,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,51,0.00038514915920521514,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,52,0.00038749775779076476,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,53,0.00038986067788055297,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,54,0.0003922380068055886,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,55,0.0003946298324294151,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,56,0.00039703624315135975,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,57,0.0003994573279097981,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,58,0.00040189317618544374,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,59,0.00040434387800465313,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,60,0.00040680952394275377,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,61,0.0004092902051273932,0.0,0.0,0.0,175.67923244831488,0.0012517045175581031,0.33158595333389485
64,62,0.00041178601324190435,13.498422225818095,9.122464392556259,9.617548895504229e-05,175.67923244831488,0.0012517045175581031,0.306108257490459
64,63,0.00041429704052869536,13.498422225818095,9.122464392556259,9.617548895504229e-05,175.67923244831488,0.0012517045175581031,0.306108257490459
64,64,0.00041682337979265997,13.498422225818095,9.122464392556259,9.617548895504229e-05,175.67923244831488,0.0012517045175581031,0.306108257490459
64,65,0.0004193651244046051,13.498422225818095,9.122464392556259,9.617548895504229e-05,175.67923244831488,0.0012517045175581031,0.306108257490459
64,66,0.00042192236830470296,13.498422225818095,9.122464392556259,9.617548895504229e-05,175.67923244831488,0.0012517045175581031,0.306108257490459
64,67,0.000424495206005964,23.691798662715346,10.286072343978283,0.00016880271505012644,175.67923244831488,0.0012517045175581031,0.28686869451544816
64,68,0.00042708373259772796,23.691798662715346,10.286072343978283,0.00016880271505012644,175.67923244831488,0.0012517045175581031,0.28686869451544816
64,69,0.00042968804374917893,23.691798662715346,10.286072343978283,0.00016880271505012644,175.67923244831488,0.0012517045175581031,0.28686869451544816
64,70,0.0004323082357128831,29.076474140443707,10.564231514283737,0.00020716822090489418,175.67923244831488,0.0012517045175581031,0.2767053493672446
64,71,0.00043494440532834303,40.890251070699165,10.62842384371187,0.0002913407081530663,175.67923244831488,0.0012517045175581031,0.2544073496191292
64,72,0.00043759665002557845,40.890251070699165,10.62842384371187,0.0002913407081530663,175.67923244831488,0.0012517045175581031,0.2544073496191292
64,73,0.00044026506782872816,48.207462629811765,10.587941369343723,0.00034347542343402134,175.67923244831488,0.0012517045175581031,0.2405964250972564
64,74,0.00044294975735967,48.207462629811765,10.587941369343723,0.00034347542343402134,175.67923244831488,0.0012517045175581031,0.2405964250972564
64,75,0.00044565081784166935,48.207462629811765,10.587941369343723,0.00034347542343402134,175.67923244831488,0.0012517045175581031,0.2405964250972564
