date,method,residual_lanczos_steps,target_mode_fraction,estimated_mode_fraction,cumulative_energy_per_n,precision_threshold
2024-07-03,adapted,128,0.0,0.0,0.0,-inf
2024-07-03,adapted,128,0.008333333333333333,0.00844052526972445,0.009482482771215607,0.00443163216120668
2024-07-03,adapted,128,0.016666666666666666,0.016691047657207664,0.01597799681900461,0.00917741424185929
2024-07-03,adapted,128,0.025,0.025051017991627098,0.02235792063443558,0.014465045619657852
2024-07-03,adapted,128,0.03333333333333333,0.033583734211812745,0.027346163587733834,0.018265661988443992
2024-07-03,adapted,128,0.041666666666666664,0.04190286159936155,0.036039290009722655,0.023869958759815697
2024-07-03,adapted,128,0.05,0.0501850830118631,0.04245619045878398,0.0285638316211632
2024-07-03,adapted,128,0.058333333333333334,0.05847992103607354,0.04608799595641139,0.03198850592242947
2024-07-03,adapted,128,0.06666666666666667,0.06677640912517531,0.05342452750402543,0.037329545482931235
2024-07-03,adapted,128,0.075,0.0750508062111598,0.061487294480404256,0.04302797683211464
2024-07-03,adapted,128,0.08333333333333333,0.08366065822969555,0.06599330256633934,0.04713185890761857
2024-07-03,adapted,128,0.09166666666666666,0.09183798629591877,0.07478839941037518,0.05338939379843417
2024-07-03,adapted,128,0.1,0.10038682926394993,0.08477852795224211,0.05781612229340167
2024-07-03,adapted,128,0.10833333333333334,0.10837316228891834,0.09537956764088773,0.06465517300420671
2024-07-03,adapted,128,0.11666666666666667,0.11671874985838493,0.10078603080539891,0.06942796962318241
2024-07-03,adapted,128,0.125,0.12510433196056892,0.10612014643418174,0.07429814813560799
2024-07-03,adapted,128,0.13333333333333333,0.13339432287686867,0.11812617267747487,0.07932877715328288
2024-07-03,adapted,128,0.14166666666666666,0.1419979713662828,0.12419890645737462,0.08446370402701542
2024-07-03,adapted,128,0.15,0.15022275778296823,0.13083340466487692,0.0897052511666438
2024-07-03,adapted,128,0.15833333333333333,0.15873033263860584,0.1444017148786573,0.09508052226321714
2024-07-03,adapted,128,0.16666666666666666,0.1668249110703554,0.1513113168502681,0.10051745885112859
2024-07-03,adapted,128,0.175,0.17532199148796998,0.15800762856314637,0.10605795655614984
2024-07-03,adapted,128,0.18333333333333332,0.18389836948910054,0.17211594294543267,0.11168569075271241
2024-07-03,adapted,128,0.19166666666666665,0.19222183246881647,0.17922111696267629,0.11736023696491872
2024-07-03,adapted,128,0.2,0.200096185853581,0.18622609236420895,0.12034655601873492
2024-07-03,adapted,128,0.20833333333333334,0.20833394950772535,0.19362997470883114,0.12614196983456288
2024-07-03,adapted,128,0.21666666666666667,0.2172806339808175,0.20208185370070153,0.13201678107497508
2024-07-03,adapted,128,0.225,0.2251763509639189,0.21119143108778626,0.1350737316978449
2024-07-03,adapted,128,0.23333333333333334,0.23394194160564466,0.22058167521905683,0.1410253254637056
2024-07-03,adapted,128,0.24166666666666667,0.24209620486139444,0.22951325296539407,0.1441109712782153
2024-07-03,adapted,128,0.25,0.25052580022111304,0.23860821317790742,0.15014440525120057
