dataset_id,data_kind,date,method,index,frac_index,eigenvalue,whitened_score,squared_score,leverage,expected_increment,cumulative_squared_score,expected,scaled_cumulative,scaled_expected,scaled_band_lower,scaled_band_upper
real_20240703,real,2024-07-03,adapted,27,0.00800013854,62.74623862,3.421301538,11.70530421,0.00838696939,0.9916130306,166.5463187,25.52844208,0.05219251606,0.00800013854,-0.02600024606,0.04200052314
real_20240703,real,2024-07-03,adapted,28,0.008307139755,62.19614672,0.8295188958,0.6881015985,0.02035912369,0.9796408763,167.2344203,26.50808296,0.05240815429,0.008307139755,-0.02569324485,0.04230752435
real_20240703,real,2024-07-03,adapted,29,0.00861936618,61.3258297,0.7009092103,0.4912737211,0.00368547591,0.9963145241,167.7256941,27.50439748,0.05256211033,0.00861936618,-0.02538101842,0.04261975078
real_20240703,real,2024-07-03,adapted,30,0.008930832274,60.56541939,1.062340886,1.128568159,0.006111694378,0.9938883056,168.8542622,28.49828579,0.05291578258,0.008930832274,-0.02506955233,0.04293121687
real_20240703,real,2024-07-03,adapted,31,0.009241790546,60.33363503,-1.17561441,1.382069242,0.007732154924,0.9922678451,170.2363315,29.49055363,0.05334889735,0.009241790546,-0.02475859405,0.04324217515
real_20240703,real,2024-07-03,adapted,32,0.00955209915,59.40302213,-0.722277774,0.5216851828,0.009805245032,0.990194755,170.7580166,30.48074839,0.05351238378,0.00955209915,-0.02444828545,0.04355248375
real_20240703,real,2024-07-03,adapted,33,0.009860943866,58.84431793,-1.218167311,1.483931598,0.01447650875,0.9855234913,172.2419482,31.46627188,0.05397742032,0.009860943866,-0.02413944073,0.04386132847
real_20240703,real,2024-07-03,adapted,34,0.01016626445,58.11368667,1.277021601,1.630784168,0.02572201783,0.9742779822,173.8727324,32.44054986,0.05448847772,0.01016626445,-0.02383412015,0.04416664905
real_20240703,real,2024-07-03,adapted,35,0.01047457683,57.68571728,-3.270148075,10.69386843,0.01617519296,0.983824807,184.5666008,33.42437467,0.05783973702,0.01047457683,-0.02352580777,0.04447496143
real_20240703,real,2024-07-03,adapted,36,0.01078495848,57.51564293,-1.859187262,3.456577275,0.009572142102,0.9904278579,188.0231781,34.41480252,0.058922964,0.01078495848,-0.02321542612,0.04478534309
real_20240703,real,2024-07-03,adapted,37,0.01109702688,56.69239623,0.1831198556,0.0335328815,0.004189742821,0.9958102572,188.056711,35.41061278,0.05893347258,0.01109702688,-0.02290335772,0.04509741148
real_20240703,real,2024-07-03,adapted,38,0.01140871979,56.40258891,1.476484998,2.18000795,0.005387937795,0.9946120622,190.2367189,36.40522484,0.05961664649,0.01140871979,-0.02259166481,0.04540910439
