strategy,time_idx,status,n_obs,mean_rank,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_y2,mean_y2,max_abs_bridge_scaled,brown_bridge_width,curve_csv,curve_png
standard_432,0,ok,300,2,298,4.104699011934571e-08,7.6656841122587585,410.4699011934571,252.00946364206035,0.8456693410807397,2.16497386200838,33.15548336740022,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time00_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time00_x8_eigen_curve.png
standard_432,1,ok,266,2,264,3.514646324297978e-08,7.674012859851104,351.4646324297978,234.1435305876795,0.8869073128321187,1.2993360526024362,31.206796950120967,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time01_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time01_x8_eigen_curve.png
standard_432,2,ok,242,2,240,3.2728970434099355e-08,7.707162929563174,327.2897043409935,232.6262467068797,0.9692760279453324,0.9388359524870447,29.75451342212379,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time02_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time02_x8_eigen_curve.png
standard_432,3,ok,241,2,239,3.3838620458113714e-08,7.696109305439303,338.3862045811371,200.47178117666374,0.8387940635006855,1.9815674965614953,29.692460146192516,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time03_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time03_x8_eigen_curve.png
standard_432,4,ok,250,2,248,3.520573280976812e-08,7.7003123705796765,352.0573280976812,220.73159489793323,0.8900467536206982,1.2463223395951628,30.246356881784227,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time04_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time04_x8_eigen_curve.png
standard_432,5,ok,284,2,282,3.879083459947077e-08,7.674912370178435,387.9083459947077,276.68099186237475,0.9811382690155137,0.8064360085738891,32.25312397365765,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time05_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time05_x8_eigen_curve.png
standard_432,6,ok,298,2,296,4.078169660953173e-08,7.665768595672563,407.81696609531724,283.49609703705124,0.9577570845846326,1.0523370814891977,33.04403604915303,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time06_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time06_x8_eigen_curve.png
standard_432,7,ok,298,2,296,4.078169660953173e-08,7.665768595672563,407.81696609531724,252.00955620643725,0.851383635832558,1.9132340737141984,33.04403604915303,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time07_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/standard_432_time07_x8_eigen_curve.png
heads200_points_x8_plus_432,0,ok,300,2,298,3.845913905301552e-08,7.608164182624576,384.5913905301552,256.076389668639,0.8593167438544937,2.027361740387485,33.15548336740022,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/heads200_points_x8_plus_432_time00_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/heads200_points_x8_plus_432_time00_x8_eigen_curve.png
heads200_points_x8_plus_432,1,ok,266,2,264,3.294102335883791e-08,7.616288824720888,329.4102335883791,238.1699890088657,0.9021590492760062,1.1567744230935935,31.206796950120967,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/heads200_points_x8_plus_432_time01_x8_eigen_curve.csv,/Users/joonwonlee/Documents/GEMS_TCO-1/Exercises/st_model/day/local_computer/space_time/spectrum_diagnostics/outputs/real_july2024_st_heads_vecchia_lag432_one_day_gc_a075_b1_nugget0_061626/x8_sparse_time_eigen/heads200_points_x8_plus_432_time01_x8_eigen_curve.png
