strategy,frac_index,scaled_cumsum_mean,scaled_cumsum_std,n_curves,n_eigen_mean
heads200_points_x8_plus_432,0.005,0.0038891464963739493,0.0034496219745931826,8,270.375
heads200_points_x8_plus_432,0.01,0.008365304487641298,0.00543681943865858,8,270.375
heads200_points_x8_plus_432,0.015,0.011384289553695574,0.0039184640192983875,8,270.375
heads200_points_x8_plus_432,0.02,0.019348498918881414,0.004085736603366118,8,270.375
heads200_points_x8_plus_432,0.025,0.02341267052738423,0.0048738289206265144,8,270.375
heads200_points_x8_plus_432,0.030000000000000002,0.03209395426558304,0.008171285074381543,8,270.375
heads200_points_x8_plus_432,0.034999999999999996,0.035079142266530874,0.007559388736655745,8,270.375
heads200_points_x8_plus_432,0.04,0.03832709118604872,0.008503762376762545,8,270.375
heads200_points_x8_plus_432,0.045,0.04630095127532198,0.01361832069193699,8,270.375
heads200_points_x8_plus_432,0.049999999999999996,0.05801055130443629,0.019505968049460136,8,270.375
heads200_points_x8_plus_432,0.055,0.06758327453735653,0.01914186988444878,8,270.375
heads200_points_x8_plus_432,0.06,0.07442794810067051,0.021137036070161826,8,270.375
heads200_points_x8_plus_432,0.065,0.07998192928099628,0.02452221476041944,8,270.375
heads200_points_x8_plus_432,0.07,0.0827378305015529,0.025655009547205804,8,270.375
heads200_points_x8_plus_432,0.07500000000000001,0.08628649418516111,0.023799694446090508,8,270.375
heads200_points_x8_plus_432,0.08,0.09148079690612185,0.022161076013508783,8,270.375
heads200_points_x8_plus_432,0.085,0.09656086025665046,0.02652072595448391,8,270.375
heads200_points_x8_plus_432,0.09000000000000001,0.09934998715930499,0.026906979307225527,8,270.375
heads200_points_x8_plus_432,0.095,0.10354011445611484,0.027404020727304048,8,270.375
heads200_points_x8_plus_432,0.1,0.10635431960215898,0.029432871423249823,8,270.375
heads200_points_x8_plus_432,0.10500000000000001,0.11124026120915553,0.02596186256482023,8,270.375
heads200_points_x8_plus_432,0.11,0.1154704534204592,0.027598390980680423,8,270.375
heads200_points_x8_plus_432,0.115,0.11711364535834508,0.027765987735692003,8,270.375
heads200_points_x8_plus_432,0.12000000000000001,0.12093488149604473,0.028332658836467163,8,270.375
heads200_points_x8_plus_432,0.125,0.1263263327954705,0.025028583937779496,8,270.375
heads200_points_x8_plus_432,0.13,0.13239078676281,0.02519038847870704,8,270.375
heads200_points_x8_plus_432,0.135,0.1360971014559427,0.02658166286358781,8,270.375
heads200_points_x8_plus_432,0.14,0.14013521347237,0.024604431695220957,8,270.375
heads200_points_x8_plus_432,0.14500000000000002,0.14488338786911867,0.02657239908355743,8,270.375
heads200_points_x8_plus_432,0.15,0.14662338022082883,0.02634346662853108,8,270.375
heads200_points_x8_plus_432,0.155,0.14848656567468135,0.02693554013429574,8,270.375
heads200_points_x8_plus_432,0.16,0.151631775778971,0.02575383843139077,8,270.375
heads200_points_x8_plus_432,0.165,0.15674619994435904,0.026113406031012313,8,270.375
heads200_points_x8_plus_432,0.17,0.16122708425864613,0.026982068582266407,8,270.375
heads200_points_x8_plus_432,0.17500000000000002,0.16628417965630946,0.026560951122958934,8,270.375
heads200_points_x8_plus_432,0.18000000000000002,0.17077044232532068,0.028699112612514597,8,270.375
heads200_points_x8_plus_432,0.185,0.173002625085544,0.030044445946144215,8,270.375
