year,domain_group,domain_label,model_variant,rank_hi,rank_lo,n_days,lambda_iqr_gap_mean,overlap_rate
2023,full,full,fine_tuned_gc,1,2,1,6.703671,0.000000
2023,full,full,fine_tuned_gc,2,3,1,-4.304541,1.000000
2023,full,full,fine_tuned_gc,3,4,1,1.306777,0.000000
2023,full,full,fine_tuned_gc,4,5,1,-0.290491,1.000000
2023,full,full,fine_tuned_gc,5,6,1,-0.890834,1.000000
2023,full,full,fine_tuned_gc,6,7,1,0.216084,0.000000
2023,full,full,fine_tuned_gc,7,8,1,-0.320859,1.000000
2023,full,full,fine_tuned_gc,8,9,1,0.215364,0.000000
2023,full,full,fine_tuned_gc,9,10,1,-0.084108,1.000000
2023,full,full,fine_tuned_gc,10,11,1,0.002347,0.000000
2023,full,full,fine_tuned_gc,11,12,1,-0.020958,1.000000
2023,full,full,fine_tuned_gc,12,13,1,-0.028898,1.000000
2023,full,full,fine_tuned_gc,13,14,1,0.224546,0.000000
2023,full,full,fine_tuned_gc,14,15,1,-0.013745,1.000000
2023,full,full,fine_tuned_gc,15,16,1,0.181600,0.000000
2023,full,full,gc_a075_b1,1,2,1,6.448338,0.000000
2023,full,full,gc_a075_b1,2,3,1,-4.156959,1.000000
2023,full,full,gc_a075_b1,3,4,1,1.294601,0.000000
2023,full,full,gc_a075_b1,4,5,1,-0.233097,1.000000
2023,full,full,gc_a075_b1,5,6,1,-0.839486,1.000000
2023,full,full,gc_a075_b1,6,7,1,0.232485,0.000000
2023,full,full,gc_a075_b1,7,8,1,-0.284343,1.000000
2023,full,full,gc_a075_b1,8,9,1,0.228690,0.000000
2023,full,full,gc_a075_b1,9,10,1,-0.085132,1.000000
2023,full,full,gc_a075_b1,10,11,1,0.014074,0.000000
2023,full,full,gc_a075_b1,11,12,1,-0.007807,1.000000
2023,full,full,gc_a075_b1,12,13,1,-0.031349,1.000000
2023,full,full,gc_a075_b1,13,14,1,0.215221,0.000000
2023,full,full,gc_a075_b1,14,15,1,-0.013358,1.000000
2023,full,full,gc_a075_b1,15,16,1,0.168848,0.000000
2023,full,full,matern_s03,1,2,1,6.156941,0.000000
2023,full,full,matern_s03,2,3,1,-3.820414,1.000000
2023,full,full,matern_s03,3,4,1,1.300112,0.000000
2023,full,full,matern_s03,4,5,1,-0.142403,1.000000
2023,full,full,matern_s03,5,6,1,-0.747214,1.000000
2023,full,full,matern_s03,6,7,1,0.262264,0.000000
2023,full,full,matern_s03,7,8,1,-0.241331,1.000000
2023,full,full,matern_s03,8,9,1,0.245802,0.000000
2023,full,full,matern_s03,9,10,1,-0.088955,1.000000
2023,full,full,matern_s03,10,11,1,0.029395,0.000000
2023,full,full,matern_s03,11,12,1,0.007152,0.000000
2023,full,full,matern_s03,12,13,1,-0.034340,1.000000
2023,full,full,matern_s03,13,14,1,0.207356,0.000000
2023,full,full,matern_s03,14,15,1,-0.014388,1.000000
2023,full,full,matern_s03,15,16,1,0.155610,0.000000
