variant,label,smooth,nugget,source_model_variant,source_vecchia_loss_per_obs,est_sigmasq,est_range_lat,est_range_lon,est_range_time,est_advec_lat,est_advec_lon,est_nugget,n_obs,mean_rank,residual_df,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_score2,score2_per_df,loss,loss_per_obs,max_abs_bridge,max_abs_bridge_scaled,brown_bridge_band_width,cov_seconds,eig_seconds,beta_intercept,beta_lat_centered,beta_hour_1,beta_hour_2,beta_hour_3,beta_hour_4,beta_hour_5,beta_hour_6,beta_hour_7,total_seconds,subset_mode,tile_grid,tile_row,tile_col,maxmin_points_per_hour,n_hours
s05_n1_rangelon_short,Matern s=0.5 nugget1 range_lon=0.15,0.50000000,1.00000000,matern_s05_n1_rangelon_short,1.16064200,5.77200100,0.10740700,0.15000000,1.04540200,0.08017000,-0.19397500,1.00000000,3113,9,3104.00000000,3113,0.00000000,4.35483344,22.52811736,4173.34728283,1.34450621,7851.08829597,2.52203286,0.35461649,13.97026954,0.03447358,0.12369609,5.36538815,260.09528177,1.14092296,0.02964018,0.23115018,0.65921294,0.92309958,0.49460048,0.21075988,0.07195355,5.51988816,maxmin,5x5,3,3,400,8
s05_n1_rangelon_true,Matern s=0.5 nugget1 range_lon true,0.50000000,1.00000000,matern_s05_n1_rangelon_true,1.12637400,9.96552500,0.19889800,0.30000000,1.99476800,0.08163200,-0.19619400,1.00000000,3113,9,3104.00000000,3113,0.00000002,4.28576411,158.36087271,3041.23539355,0.97977944,7693.35971799,2.47136515,0.02201894,0.86744545,0.03447358,0.13517809,1.57398891,260.10468746,1.12611793,0.02204050,0.20025557,0.61380884,0.87822481,0.47209493,0.19523458,0.04053684,1.74342299,maxmin,5x5,3,3,400,8
s05_n1_rangelon_long,Matern s=0.5 nugget1 range_lon=0.60,0.50000000,1.00000000,matern_s05_n1_rangelon_long,1.12710100,19.37257700,0.39662400,0.60000000,4.08508100,0.08224600,-0.19763700,1.00000000,3113,9,3104.00000000,3113,0.00000013,4.25367073,1298.51323552,2689.05840820,0.86632036,7755.73306458,2.49140156,0.13690432,5.39340488,0.03447358,0.12103415,1.61579108,260.09268353,1.08036148,0.01452681,0.18710375,0.60244973,0.87993450,0.49538403,0.23241459,0.07237472,1.76908803,maxmin,5x5,3,3,400,8
