maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
647,3,10.324304,7.999987,8,8,7.740885,7.743867,0.000002,10059,10059,75516.125797,74433.484990,0.556329,0.564421,0.556329,73730.953896,75136.016084,0.551078,0.561580
647,4,19.327732,7.999979,8,8,5.304013,5.159537,0.000003,10060,10060,75535.453528,74441.484969,0.556389,0.564565,0.556389,73738.953875,75144.016063,0.551138,0.561640
647,5,14.193251,7.999994,8,8,4.590979,4.544755,0.000001,10061,10061,75549.646779,74449.484963,0.556449,0.564671,0.556449,73746.953869,75152.016057,0.551198,0.561699
647,6,20.961643,7.999977,8,8,4.208971,4.146743,0.000003,10062,10062,75570.608422,74457.484940,0.556508,0.564828,0.556508,73754.953846,75160.016034,0.551258,0.561759
647,7,9.706553,7.999999,8,8,3.660874,3.646173,0.000000,10063,10063,75580.314976,74465.484939,0.556568,0.564901,0.556568,73762.953845,75168.016033,0.551317,0.561819
647,8,5.095721,7.999998,8,8,3.425669,3.442687,0.000000,10064,10064,75585.410697,74473.484937,0.556628,0.564939,0.556628,73770.953843,75176.016031,0.551377,0.561879
647,9,10.771118,8.000000,8,8,3.139051,3.144673,0.000000,10065,10065,75596.181815,74481.484937,0.556688,0.565019,0.556688,73778.953843,75184.016031,0.551437,0.561939
647,10,20.777253,7.999999,8,8,2.988768,2.980571,0.000000,10066,10066,75616.959068,74489.484936,0.556748,0.565175,0.556748,73786.953842,75192.016030,0.551497,0.561998
647,11,32.024679,7.999997,8,8,2.876394,2.885164,0.000000,10067,10067,75648.983747,74497.484933,0.556807,0.565414,0.556807,73794.953839,75200.016026,0.551557,0.562058
647,12,28.971973,8.000000,8,8,2.714838,2.734650,0.000000,10068,10068,75677.955720,74505.484933,0.556867,0.565630,0.556867,73802.953839,75208.016026,0.551616,0.562118
647,13,6.929379,8.000000,8,8,2.620890,2.665031,0.000000,10069,10069,75684.885099,74513.484932,0.556927,0.565682,0.556927,73810.953839,75216.016026,0.551676,0.562178
647,14,21.327648,8.000000,8,8,2.437596,2.445069,0.000000,10070,10070,75706.212747,74521.484932,0.556987,0.565842,0.556987,73818.953839,75224.016026,0.551736,0.562238
647,15,32.711973,7.000000,7,7,2.347267,2.396144,0.000000,10071,10071,75738.924720,74528.484932,0.557039,0.566086,0.557039,73825.953839,75231.016026,0.551788,0.562290
