maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
0,1,11.885816,7.933652,8,8,70.402752,78.987142,0.008293,1,1,11.885816,7.933652,0.000059,0.000089,0.000059,-694.597441,710.464746,-0.005192,0.005310
0,2,8.641799,7.999641,8,8,13.990163,15.065738,0.000045,2,2,20.527614,15.933294,0.000119,0.000153,0.000119,-686.597800,718.464388,-0.005132,0.005370
0,3,9.693241,7.999357,8,8,12.080468,14.674196,0.000080,3,3,30.220855,23.932651,0.000179,0.000226,0.000179,-678.598443,726.463745,-0.005072,0.005430
0,4,8.210763,7.999867,8,8,6.087813,6.703431,0.000017,4,4,38.431618,31.932518,0.000239,0.000287,0.000239,-670.598576,734.463612,-0.005012,0.005490
0,5,3.650728,7.997011,8,8,4.985782,5.456106,0.000374,5,5,42.082345,39.929529,0.000298,0.000315,0.000298,-662.601564,742.460623,-0.004952,0.005549
0,6,2.850932,6.999721,7,7,4.778221,5.089702,0.000040,6,6,44.933277,46.929250,0.000351,0.000336,0.000351,-655.601843,749.460344,-0.004900,0.005602
0,7,5.214291,6.999977,7,7,3.846326,3.891345,0.000003,7,7,50.147569,53.929227,0.000403,0.000375,0.000403,-648.601867,756.460321,-0.004848,0.005654
0,8,1.620172,6.999977,7,7,3.614069,3.858365,0.000003,8,8,51.767741,60.929205,0.000455,0.000387,0.000455,-641.601889,763.460298,-0.004795,0.005706
0,9,6.543917,6.999985,7,7,3.139644,3.228865,0.000002,9,9,58.311658,67.929189,0.000508,0.000436,0.000508,-634.601905,770.460283,-0.004743,0.005759
0,10,5.807250,5.999992,6,6,3.142756,3.209874,0.000001,10,10,64.118908,73.929181,0.000553,0.000479,0.000553,-628.601913,776.460274,-0.004698,0.005803
0,11,5.955968,5.999908,6,6,2.972094,3.031282,0.000015,11,11,70.074876,79.929088,0.000597,0.000524,0.000597,-622.602005,782.460182,-0.004653,0.005848
0,12,7.447765,4.999989,5,5,2.929924,2.924269,0.000002,12,12,77.522641,84.929077,0.000635,0.000579,0.000635,-617.602016,787.460171,-0.004616,0.005886
0,13,7.108678,4.999993,5,5,2.851797,2.876830,0.000001,13,13,84.631319,89.929071,0.000672,0.000633,0.000672,-612.602023,792.460164,-0.004579,0.005923
0,14,14.233623,5.000000,5,5,2.630623,2.616047,0.000000,14,14,98.864943,94.929070,0.000710,0.000739,0.000710,-607.602024,797.460164,-0.004541,0.005960
0,15,9.784093,4.999999,5,5,2.577951,2.608529,0.000000,15,15,108.649035,99.929069,0.000747,0.000812,0.000747,-602.602024,802.460163,-0.004504,0.005998
0,16,6.450964,4.999998,5,5,2.377367,2.426259,0.000000,16,16,115.099999,104.929068,0.000784,0.000860,0.000784,-597.602026,807.460161,-0.004467,0.006035
1,1,3.547948,4.903204,5,5,56.493585,63.784027,0.019359,17,17,118.647947,109.832271,0.000821,0.000887,0.000821,-592.698822,812.363365,-0.004430,0.006072
1,2,1.947540,4.999751,5,5,8.400041,9.358596,0.000050,18,18,120.595486,114.832023,0.000858,0.000901,0.000858,-587.699071,817.363117,-0.004393,0.006109
1,3,2.205655,3.998884,4,4,6.560946,6.277707,0.000279,19,19,122.801141,118.830907,0.000888,0.000918,0.000888,-583.700187,821.362001,-0.004363,0.006139
1,4,1.217020,3.998654,4,4,3.901343,3.767740,0.000337,20,20,124.018160,122.829560,0.000918,0.000927,0.000918,-579.701533,825.360654,-0.004333,0.006169
1,5,3.233541,2.999791,3,3,3.819834,3.822831,0.000070,21,21,127.251701,125.829351,0.000940,0.000951,0.000940,-576.701742,828.360445,-0.004310,0.006191
1,6,0.778950,1.999883,2,2,3.533649,3.533649,0.000058,22,22,128.030651,127.829235,0.000955,0.000957,0.000955,-574.701859,830.360329,-0.004295,0.006206
1,7,1.681400,1.999994,2,2,3.200001,3.200001,0.000003,23,23,129.712052,129.829228,0.000970,0.000969,0.000970,-572.701865,832.360322,-0.004280,0.006221
1,8,0.122220,1.999985,2,2,3.039450,3.039450,0.000008,24,24,129.834272,131.829213,0.000985,0.000970,0.000985,-570.701881,834.360307,-0.004266,0.006236
1,9,1.748568,1.999953,2,2,2.776175,2.776175,0.000024,25,25,131.582840,133.829166,0.001000,0.000983,0.001000,-568.701928,836.360260,-0.004251,0.006251
1,10,0.037798,0.999987,1,1,2.881157,2.881157,0.000013,26,26,131.620638,134.829153,0.001008,0.000984,0.001008,-567.701941,837.360247,-0.004243,0.006259
1,11,0.049649,0.999999,1,1,2.144540,2.144540,0.000001,27,27,131.670287,135.829152,0.001015,0.000984,0.001015,-566.701942,838.360246,-0.004236,0.006266
2,1,2.034627,7.894697,8,8,90.784177,80.462906,0.013163,28,28,133.704914,143.723849,0.001074,0.000999,0.001074,-558.807245,846.254943,-0.004177,0.006325
2,2,8.649710,7.999479,8,8,15.598003,15.284400,0.000065,29,29,142.354624,151.723328,0.001134,0.001064,0.001134,-550.807765,854.254422,-0.004117,0.006385
2,3,9.349279,7.998496,8,8,14.468800,15.051372,0.000188,30,30,151.703903,159.721825,0.001194,0.001134,0.001194,-542.809269,862.252918,-0.004057,0.006445
2,4,13.295854,7.999722,8,8,6.690648,6.736087,0.000035,31,31,164.999757,167.721547,0.001254,0.001233,0.001254,-534.809547,870.252640,-0.003997,0.006504
