year,month,model_variant,model_label,direction,bin_idx,k_mid,n_days,loss_median,loss_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,ratio_EI_over_continuous_p10,ratio_EI_over_continuous_p90,whitened_ratio_mean,whitened_ratio_median,whitened_ratio_p10,whitened_ratio_p90,global_scale_mean,profile_sigmasq_mean
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,0,0.086451,30,,,703.894221,999.091162,966.790887,2901.143164,2805.290611,1.150220,1.037316,0.240623,2.120058,1.177646,1.054842,0.255038,2.139838,0.903735,0.901434,0.829981,0.973294,4.012221,2.291831,1.014990,8.830695,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,1,0.259354,30,,,62.684478,86.400971,83.759151,84.288370,81.724636,0.795205,0.533663,0.429566,1.528372,0.815522,0.541557,0.431352,1.587351,1.015722,1.013580,0.990064,1.048417,2.048620,1.416700,0.758653,3.974438,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,2,0.432257,30,,,15.485615,26.117040,25.347666,25.596395,24.845601,0.589126,0.524094,0.319096,1.022042,0.602306,0.524428,0.321733,1.057496,1.015374,1.010035,0.998365,1.037864,1.319086,0.930781,0.573438,2.723072,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,4,0.778063,30,,,6.487602,9.634473,9.357197,9.503129,9.231064,0.647228,0.538543,0.278562,1.126924,0.664865,0.556784,0.284022,1.205528,1.010934,1.007148,0.995019,1.028282,0.970726,0.847264,0.631147,1.368218,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,5,0.950966,30,,,3.638836,5.794162,5.630674,5.700831,5.540904,0.629506,0.582873,0.435013,0.954372,0.645230,0.588917,0.451190,0.973730,1.013977,1.010006,0.997007,1.037353,0.857468,0.793105,0.552272,1.226087,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,6,1.123869,30,,,2.877315,4.113999,3.999556,4.025758,3.914718,0.731360,0.556347,0.376419,1.160289,0.747932,0.572676,0.391158,1.198467,1.019425,1.013245,0.999857,1.041634,0.810999,0.795328,0.398100,1.222982,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,7,1.296772,30,,,2.142247,3.538906,3.440635,3.478861,3.382824,0.619409,0.560496,0.306736,1.020219,0.633670,0.558020,0.320296,1.040173,1.015174,1.011218,0.998083,1.038458,0.743165,0.683758,0.377437,1.215827,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,8,1.469674,30,,,1.679316,2.375805,2.310506,2.328812,2.265409,0.690725,0.675181,0.423608,0.928778,0.707789,0.693914,0.438734,0.948294,1.018079,1.011478,0.998573,1.044786,0.803355,0.758454,0.478381,1.144570,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,9,1.642577,30,,,1.169094,1.784860,1.736257,1.743832,1.696928,0.674068,0.610652,0.441342,0.935478,0.690595,0.625478,0.454692,0.945265,1.021681,1.010848,1.000472,1.045698,0.769484,0.789955,0.440924,1.092278,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,11,1.988383,30,,,0.819580,1.256376,1.222580,1.228948,1.196241,0.650445,0.664444,0.342036,0.847311,0.665829,0.679016,0.349269,0.874044,1.021279,1.012367,1.000739,1.045361,0.692056,0.705659,0.444015,0.873181,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,12,2.161286,30,,,0.721059,1.010815,0.983868,0.986950,0.960935,0.703494,0.564694,0.384657,1.120313,0.720620,0.597658,0.401034,1.144890,1.023669,1.013829,1.001746,1.049876,0.726345,0.669948,0.432088,1.121521,0.975359,21.945009
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,13,2.334189,30,,,0.613373,0.863700,0.840790,0.838984,0.817065,0.708841,0.644340,0.439323,1.056515,0.725784,0.666767,0.444558,1.067451,1.028928,1.014592,1.002723,1.058913,0.783724,0.683212,0.446032,1.296873,0.975359,21.945009
