date,method,residual_lanczos_steps,frequency_bin,mode_fraction_lower,mode_fraction_upper,precision_lower,precision_upper,estimated_mode_count,estimated_residual_energy,energy_per_mode,known_parameter_chi2_standard_error
2024-07-13,true,128,1,0.0,0.08333333333333333,-inf,0.08122106412286233,11648.794913580134,11443.34821062887,0.9823632655158385,0.013103113358017367
2024-07-13,true,128,2,0.08333333333333333,0.16666666666666666,0.08122106412286233,0.1744922162926016,11679.095553506815,11641.855871956135,0.9968114241911911,0.013086104739013688
2024-07-13,true,128,3,0.16666666666666666,0.25,0.1744922162926016,0.2524719097608967,11672.211417936825,11797.408393123966,1.0107260715818382,0.013089963186946116
2024-07-13,true,128,4,0.25,0.3333333333333333,0.2524719097608967,0.3191152894024036,11603.969436939471,11736.29345641865,1.0114033409169405,0.013128397256331303
2024-07-13,true,128,5,0.3333333333333333,0.41666666666666663,0.3191152894024036,0.3660840258436464,11657.825009470493,9849.809011262369,0.8449096639605294,0.013098037570215873
2024-07-13,true,128,6,0.41666666666666663,0.5,0.3660840258436464,0.40223040455153575,11622.169607605734,12682.6193900441,1.0912437021865857,0.013118113776743712
2024-07-13,true,128,7,0.5,0.5833333333333333,0.40223040455153575,0.42805064887392996,11876.560278844365,11957.569572009132,1.006820938997722,0.01297686119122157
2024-07-13,true,128,8,0.5833333333333333,0.6666666666666666,0.42805064887392996,0.44841420269198984,11558.166617291514,11080.592837179167,0.958680836163248,0.013154384209205002
2024-07-13,true,128,9,0.6666666666666666,0.75,0.44841420269198984,0.46771430151744925,11578.510523349149,11024.177030945619,0.952123937592347,0.013142822738906443
2024-07-13,true,128,10,0.75,0.8333333333333333,0.46771430151744925,0.4860986474032572,11617.5680812543,12585.409225877767,1.0833084116963465,0.013120711453372572
2024-07-13,true,128,11,0.8333333333333333,0.9166666666666666,0.4860986474032572,0.5094990529294026,11698.99340892215,12725.66557786228,1.087757308090895,0.013074971463601382
