date,method,residual_lanczos_steps,target_mode_fraction,estimated_mode_fraction,cumulative_energy_per_n,precision_threshold
2024-07-13,true,128,0.0,0.0,0.0,-inf
2024-07-13,true,128,0.008333333333333333,0.008366828976765038,0.00884277369893807,0.006440804598396377
2024-07-13,true,128,0.016666666666666666,0.01666777345585034,0.01772416823727969,0.015142019139864876
2024-07-13,true,128,0.025,0.02522332102762305,0.028944083295397806,0.023594688707027186
2024-07-13,true,128,0.03333333333333333,0.033480516213947785,0.03530381598913698,0.03167678250306858
2024-07-13,true,128,0.041666666666666664,0.041728911715651476,0.0418996044224266,0.03851956344416346
2024-07-13,true,128,0.05,0.05028893130324064,0.0494423736501028,0.04592522039361491
2024-07-13,true,128,0.058333333333333334,0.05859312879150573,0.06063512720752696,0.05662207218738954
2024-07-13,true,128,0.06666666666666667,0.06680010809769406,0.06483371766888904,0.06248063913467955
2024-07-13,true,128,0.075,0.07537123802492257,0.07311321032953,0.07158856611330415
2024-07-13,true,128,0.08333333333333333,0.08336168339020263,0.08189145551409688,0.08122106412286233
2024-07-13,true,128,0.09166666666666666,0.09196762462497271,0.0907782620628551,0.09133847694842208
2024-07-13,true,128,0.1,0.10028080053419373,0.10016912825583091,0.1019457620715258
2024-07-13,true,128,0.10833333333333334,0.10849484863560102,0.10995899389662875,0.10935292303371283
2024-07-13,true,128,0.11666666666666667,0.11704677574427622,0.12006338253587634,0.12066228223319007
2024-07-13,true,128,0.125,0.12528537840192897,0.1251464333207147,0.12857383458906538
2024-07-13,true,128,0.13333333333333333,0.1335796772144177,0.13045030475054353,0.1365926996809153
2024-07-13,true,128,0.14166666666666666,0.14184713206923905,0.14165881279416945,0.14481452850691728
2024-07-13,true,128,0.15,0.1502733057349247,0.15315118837411337,0.1572140453631636
2024-07-13,true,128,0.15833333333333333,0.15871910656568605,0.15913160019639738,0.16580227529868932
2024-07-13,true,128,0.16666666666666666,0.16694020572132812,0.16520348139078136,0.1744922162926016
2024-07-13,true,128,0.175,0.17540511578097484,0.17746849558251923,0.18330249395906137
2024-07-13,true,128,0.18333333333333332,0.18357757975715747,0.18405671493299927,0.19221988732037606
